word analysis, grammar gutenberg, text mining, word frequency, trends english, grammar books, keyword analysis, mining word, english words, mining english
identify tomato, tomato, tomato production, tomato ripeness, tomatoes, mq135 sensors, unripe tomatoes, tomatoes researchers, tomato fruit, determination tomato
sensing routing, cognitive radio, routing algorithm, routing protocol, logic cluster, sensor networks, overhead cluster, hop routing, cluster connectivity, aware routing
feedback controllers, pi control, controllers fuzzy, feedback control, control variable, converter fuzzy, power controller, pi controller, fed boost, boost converter
mamdani fuzzy, microcontroller implement, fuzzy logic, logic mamdani, microcontroller, implement fuzzy, microcontroller using, matlab microcontroller, microcontroller programming, programming microcontroller
based sentiment, classify reviews, sentiment classification, sentiment analysis, extract sentiments, opinion polarity, documents sentiment, reviews classify, polarity sentiment, sentiment opinion
fiber wire, winding machines, precision fiber, winding machine, filament winding, filament spool, precision winding, optic winding, control filament, winding pattern
wireless sensor, cluster considered, wsn clustering, sensor networks, cluster head, energy sensor, network sensor, radius cluster, sensor node, sensor nodes
transformer presented, transformer putting, transformer, transformer fault, diagnosis using, using fuzzy, power transformer, power transformers, transformers using, fault diagnosis
hvdc fuzzy, current hvdc, hvdc systems, systems hvdc, dependability hvdc, simulated hvdc, fault classification, classify faults, classification hvdc, hvdc
navigation satellite, gnss positioning, signal reception, gnss signal, satellite gnss, satellite, gnss based, based satellite, gps signal, positioning gps
instagram seller, involving instagram, assessing instagram, trustworthiness sellers, instagram sellers, trust model, trustworthiness instagram, quantify trustworthiness, sellers trust, assessing trustworthiness
designing fish, fish, fish feed, using fuzzy, duration fish, ornamental fish, automatic fish, fish feeding, smart fish, fish feeder
obstacle avoidance, navigation autonomous, labyrinth environment, mobile robot, successfully labyrinth, obstacles controller, p3dx robot, robot obstacle, avoidance labyrinth, robot navigate
applying fuzzy, fuzzy logic, score similarity, logic scoring, question analyzer, answering indonesian, question answering, answers qas, using fuzzy, answer fuzzy
fuzzy logic, fuzzy inference, climate modelling, fuzzy regression, study fuzzy, temperature fuzzy, global temperature, fuzzy model, emissions fuzzy, using fuzzy
heating, heating rules, learning heating, heating widely, logical managing, heating systems, based heating, controlled heating, intelligent heating, optimization heating
fuzzy logic, logic fuzzy, students testing, tasks distribution, implementation tasks, testing based, fuzzy rules, based fuzzy, students, distribution students
optimize fuzzy, clustering algorithms, efficient cluster, optimal fuzzy, lifetime clustering, cluster head, optimized fuzzy, cluster formation, cluster, clustering
alzheimer disease, mri brain, predict alzheimer, alzheimer, brain images, identification alzheimer, based fuzzy, disease fuzzy, published alzheimer, images classification
position autonomous, controlling autonomous, movement autonomous, autonomous vehicle, vehicle movement, control autonomous, driving control, implemented autonomous, autonomous electric, compass fuzzy
logic controller, ifoc fuzzy, matlab simulink, classic ifoc, speed control, simulink environment, controller ifoc, ifoc speed, pi controller, fuzzy controller
wireless sensor, network energy, dissipation wireless, limitations sensor, sensor network, logic lifetime, lifetime sensor, sensor, lifetime wireless, sensor nodes
simulation bldc, control bldc, pid controller, pid control, conventional pid, fuzzy pid, bldc motor, synchronous motor, motor controller, controller motor
automation regulation, fuzzy logic, improving automation, intelligent systems, fuzzy process, automation, systems automation, process control, systems fuzzy, automation control
wireless sensor, nodes clustering, leach efficient, clustering using, sensor network, leach method, clustering wireless, clustering strategies, leach algorithm, clustering
things iot, iot monitoring, iot, conditions fuzzy, fuzzy logic, water pollution, monitoring classification, classification river, water quality, using fuzzy
soil test, soil sample, soil nutrient, using soil, image soil, soil testing, nutrient detection, determining nutrient, vision soil, soil samples
transformer, faults transformer, transformer normal, transformers faults, transformer complexity, transformer observed, using fuzzy, power transformer, power transformers, transformers using
fuzzy logic, implementation time, use cases, cases goals, project estimation, fuzzy membership, functions fuzzy, calculate use, goals fuzzy, using fuzzy
healthcare systems, cloud based, cloud, fuzzy logic, applications cloud, using cloud, cloud computing, models cloud, developing cloud, fuzzy model
tracking mppt, photovoltaic solar, solar pv, pv, photovoltaic, mppt control, logic mppt, mppt, pv comparative, power photovoltaic
transformer, obtained transformer, transformers use, forecasting transformer, transformer company, analysis transformer, transformer costs, transformer main, materials transformers, transformer costliest
control induction, speed sensorless, sensorless vector, fuzzy logic, vector control, sensorless induction, induction motor, motor adaptive, mras speed, type fuzzy
fuzzy logic, extension fuzzyr, fuzzy inference, toolboxes fuzzytoolkituon, fuzzyr extended, language fuzzyr, extended fuzzy, fuzzyr toolbox, fuzzy toolboxes, fuzzyr complete
ignoring doubts, incorporate doubts, fuzzy logic, mean doubts, fuzzy, logic fuzzy, doubts affect, doubts fuzzy, doubts incorporated, membership functions
automated recommendations, fuzzy logic, monitoring fuzzy, fuzzy expert, intelligent monitoring, fuzzy rules, improve fuzzy, recommendations data, health monitoring, recommendations continuous
classifier, classification data, classification, probabilistic fuzzy, classification stochastic, fuzzy classification, data classification, proposed classifier, fuzzy method, stochastic fuzzy
result shiphandling, shiphandling difficulty, shiphandling fuzzy, condition shiphandling, ferry operation, criteria ferry, operation shiphandling, shiphandling aspect, ferry smdf, complexity shiphandling
voltage control, islanded microgrid, logic controller, microgrid, adaptive fuzzy, micro grid, microgrid adaptive, current controller, pi controller, controlling current
switch iron, logic controller, fuzzy logic, switch timer, logic control, timer iron, iron current, switching iron, fuzzy controller, controller intelligent
diabetes dataset, classifier, fuzzy logic, fuzzy inference, logic fuzzy, risk classifier, classification coronary, type fuzzy, risk classification, using fuzzy
converter, converter based, converter pfc, correction converter, converter fuzzy, dc boost, fuzzy controller, converter different, boost converter, rectifier fuzzy
fuzzy logic, signal acquisition, study gps, gps, acquisition algorithm, fast gps, gps signal, gps widely, logic gps, fft algorithm
fuzzy logic, fuzzy inference, fuzzy, installations wind, use fuzzy, wind power, installation fuzzy, power plant, type fuzzy, using fuzzy
heuristic algorithms, swarm optimization, algorithm sea, fuzzy logic, firefly algorithm, genetic algorithm, optimal fuzzy, optimization genetic, optimization algorithm, tsk fuzzy
gait tracking, recognition sift, gait, feature transform, develop gait, sift type, gaits validation, gait models, gait using, behavior gait
inference fuzzy, function fuzzy, proposed fuzzy, fuzzy inference, fuzzy certainty, fuzzy membership, fuzzy conditional, fuzzy set, fuzzy control, network fuzzy
hybrid renewable, automation platform, application fuzzy, photovoltaic, wind photovoltaic, energy systems, exergy analysis, systems fuzzy, renewable energy, application exergy
air conditioning, cooling devices, neural networks, fuzzy logic, fuzzy, networks neural, usage cooling, smart air, using fuzzy, technique fuzzy
fuzzy numbers, fuzzy id3, proposed fuzzy, fuzzy logic, defined fuzzy, fuzzy variables, fuzzy means, fuzzy decision, using fuzzy, method fuzzy
evaluate difficulty, programming questions, difficulty evaluation, fuzzy logic, assess difficulty, fuzzy rules, logic programming, difficulty questions, difficulty programming, programming question
storage controller, consistency battery, converter battery, power command, energy storage, power control, batteries topology, energy batteries, battery clusters, phase battery
path planning, planning navigation, obstacles avoidance, robot navigating, path obstacles, mobile robot, robot surrounding, mobile robots, obstacle environment, robot obstacles
handoff wlan, initiate handoff, handoff decision, subsequently handoff, handoff, handoff initiations, wlan cellular, reduces handoff, networks handoff, reducing handoff
voltage sags, implementation voltage, restorer dvr, dynamic voltage, epll control, epll fuzzy, mitigate voltage, voltage restorer, restorer voltage, voltage sag
explainable ai, fuzzy logic, ai, ai situations, predictions ai, ai recent, reasoning predictions, interpretable models, logic explainable, intelligence ai
lung ventilators, ventilators pid, ventilator research, pneumatic lung, pneumatic ventilator, ventilators, pulmonary ventilator, electro pneumatic, ventilator pid, ventilator
cylinder controlling, implemented pneumatic, trajectory control, robot polishing, pneumatic robot, pneumatic cylinders, flow control, rodless pneumatic, tracking fuzzy, control valves
value leanness, bank study, leanness level, assess leanness, lean implementation, banking organization, evaluate leanness, leanness assessment, cooperative bank, using fuzzy
machine dynamics, numerical control, jerk parameter, cnc machine, mamdani fuzzy, fuzzy logic, control cnc, optimise cnc, machine motion, acceleration parameters
detection method, fuzzy logic, fuzzy inference, image processing, fuzzy, fuzzy edge, inference edge, edge detection, type fuzzy, logic edge
select players, teams select, fuzzy logic, ipl player, bid players, players position, player acquisitions, player teams, teams manually, player selection
fuzzy based, control induction, ac motors, induction motors, induction motor, motors induction, neuro fuzzy, conventional fuzzy, fuzzy controller, fuzzy controllers
manage explosion, distributed algorithm, explosion management, intelligent mines, adaptive fuzzy, explosion minimum, marine mines, distributed explosion, targets explosion, mines mapped
energy wind, wind electrical, turbine fuzzy, control wind, testing wind, wind turbine, voltage wind, designing wind, turbine pitch, wind energy
servo motor, programmable dsp, motor program, based servo, dsp based, control motor, logic servo, servo, debugger servo, control fuzzy
logic computer, making fuzzy, fuzzy logic, introduction fuzzy, fuzzy, drawbacks fuzzy, development fuzzy, developments fuzzy, logic machine, using fuzzy
phase locked, fuzzy phase, particle swarm, phase power, loop phase, fuzzy pll, power converters, phase jumps, tracking phase, phase jump
dab converter, mvdc fuzzy, active bridge, fuzzy logic, mvdc bus, power management, energy storage, mvdc power, mvdc based, power mvdc
transformer uses, transformer presented, transformer, faults transformers, fault transformer, logic transformer, transformer form, protection transformer, transformer protection, currents transformer
pv panel, photovoltaic, fuzzy logic, photovoltaic panels, controller pv, fuzzy control, controllers photovoltaic, concepts solar, based fuzzy, solar tracking
generator ig, induction generator, wind conversion, fuzzy logic, wind power, based fuzzy, power controller, fuzzy power, enhancement wind, wind energy
products area, competitiveness sula, development region, approach regional, regional competitiveness, regional sula, competitiveness regions, regional industrial, determination regional, competitiveness district
optical networks, fragmentation fuzzy, available spectrum, spectrum utilization, spectrum blocks, spectrum fragmentation, spectrum assignment, dynamic spectrum, spectrum block, reduce spectrum
pooling convolutional, convolutional neural, pooling image, convolved features, performance cnn, classification pooling, cnn uses, network cnn, image classification, cnn proposed
test robot, logic robot, robots fuzzy, robot compared, robot technology, navigation robot, control robot, tracer robot, robot wall, implemented robot
diagnoses patients, detection covid, fuzzy logic, infected covid, diagnosis, 19 patients, covid, suspected covid, covid 19, diagnosing covid
delay type, interval, fuzzy logic, interval type, fuzzy t1, stabilization interval, plant interval, type fuzzy, tsk fuzzy, stabilization algorithm
results fuzzy, transformer oil, transformer, condition monitoring, fuzzy logic, dga transformer, transformer condition, quantification classification, power transformer, using fuzzy
mode converter, pid controller, controller fuzzy, converter incorporating, logic controller, mode converters, converter controller, converter application, electronic converter, integral controller
classification gait, kinematics electromyography, gait, investigate gait, fuzzy logic, kinematics emg, gait pattern, recognizing gait, gait patterns, gait analysis
metrics arousal, arousal, arousals fuzzy, searching arousals, arousals subject, arousal density, related arousals, arousals estimating, arousals, arousal index
application fuzzy, fuzzy logic, evaluate business, processes fuzzy, business process, processes enterprise, enterprise processes, business processes, intelligent management, enterprise analysis
wireless sensor, sensor data, smart environment, monitoring decision, sensor network, obtained sensor, fuzzy algorithm, fuzzy algorithms, sensor, using fuzzy
select network, network selection, access networks, fuzzy logic, logic network, preference network, available networks, network desired, network parameters, implementation fuzzy
fuzzy logic, fuzzy inference, logic vulnerability, vulnerability assessment, vulnerability risk, fuzzy rules, risk assessment, vulnerabilities important, vulnerability scoring, using fuzzy
optimizing fuzzy, objective genetic, objective systems, genetic algorithms, fuzzy logic, genetic algorithm, pareto objective, multi objective, objective problem, multiobjective genetic
fuzzy logic, fuzzy rule, damages bridge, bridge modal, diagnosis bridge, damage detection, bridge structure, structure fuzzy, bridge using, supported bridge
logic controllers, mamdani fuzzy, fuzzy logic, ultrasonic sensors, wall tracking, mobile robot, mimo mamdani, controllers wall, robot controllers, motors controllers
xml, granularity xml, xml retrieval, xml elements, information retrieval, xml information, xml documents, retrieved xml, retrieval results, rank xml
temperature, fuzzy logic, temperature treatment, logic fuzzy, based temperature, temperature control, desired temperature, design temperature, using fuzzy, study temperature
straight microchannels, microchannel systems, microchannels, microchannels using, microenvironment microchannel, flow control, microchannels fluid, flow rate, microchannel, pressure fuzzy
predict insulation, insulation, polyethylene xlpe, insulation properties, used insulation, thermal aging, insulation high, insulation proprieties, fuzzy parameters, xlpe insulation
converter utilizing, converters transform, fuzzy logic, voltage fuzzy, control converters, power grids, utilizing fuzzy, converters operation, boost converters, boost converter
sensor data, multiple sensors, sensors cluster, distributed sensors, fuzzy logic, sensor network, multi sensor, sensor networks, sensor detect, sensor nodes
pv complete, solar pv, pv array, pv, stand pv, pv compiled, logic control, based fuzzy, standalone pv, point solar
logic controllers, uncertainties quantum, traditional fuzzy, quantum fuzzy, fuzzy logic, type quantum, fuzzy sets, type fuzzy, fuzzy set, controller t2qflc
ontologies kind, fuzzy ontologies, kind ontologies, fuzzy logic, logic ontologies, ontologies, ontologies applications, ontology languages, unranked fuzzy, ontologies obtained
diagnose diesel, method fuzzy, condition diesel, fuzzy logic, diagnosis diesel, diesel engine, automatically diesel, based fuzzy, engine fault, fault diagnosis
proposed switching, fuzzy logic, level inverter, inverter letter, logic controller, inverter symmetric, logic gate, pulsewidth modulation, using fuzzy, inverter
construction fuzzy, constructing fuzzy, algorithm developed, fuzzy logic, theories fuzzy, logic model, fuzzy, fuzzy logical, fuzzy sets, logical model
disturbance observer, fuzzy feedback, fuzzy models, fuzzy weight, stochastic control, fuzzy identification, disturbance estimation, observer design, observer based, fuzzy controller
pendulum cart, inverted pendulum, lqg controller, lqg linear, conventional lqg, pendulum, lqr kalman, kalman filter, controller lqg, cart lqg
intelligence mechanism, fuzzy logic, fuzzy, game fuzzy, fuzzy input, character fuzzy, game artificial, logic artificial, using fuzzy, artificial intelligence
ph controller, pumps controlling, controlling ph, logic controller, fuzzy logic, control ph, wastewater ph, ph fuzzy, ph wastewater, solution fuzzy
efficient clusters, based cluster, distributed sensor, latency cluster, sensor networks, cluster head, leach protocol, cluster, dsns clusters, sensor nodes
wireless sensor, sensor field, mobile sink, mobile sinks, data sensor, sensor networks, energy sensor, sensor, sink wsns, sensor nodes
humidity fuzzy, control tarantula, control temperature, tarantula terrarium, humidity invertebrates, humidity control, controlling temperature, tarantula invertebrates, using fuzzy, automatic temperature
sustainability assessment, sustainability management, corporate sustainability, assess corporate, corporate environmental, environmental performance, management fuzzy, assessment sustainability, corporate sustainable, sustainable performance
controlled fuzzy, motor inverter, dc motors, brushless dc, dc motor, motors study, control wheel, controller inverter, speed motor, using fuzzy
monitoring fuzzy, inverter characterized, inverter protection, inverters, power inverter, inverter country, power inverters, inverters minimum, protection fuzzy, inverter
conditional inference, fuzzy inference, fuzzy, fuzzy conditional, inference form, inference reasoning, inference method, inference, consider fuzzy, method fuzzy
supervising security, composite intrusion, detection cids, intrusion detection, fuzzy description, intrusion, use fuzzy, detection systems, description logics, using fuzzy
undervoltage overvoltage, circuit control, voltage stability, control undervoltage, controller fuzzy, factor voltage, regulation electrical, voltage regulation, stability electrical, undervoltage settings
wireless sensor, efficient cluster, clustering scheme, propose cluster, scalability energy, sensor networks, cluster head, clustering proved, cluster, sensor nodes
missile based, missile control, trajectory missile, missile flight, cruise missiles, missile simulator, missile, simulator flight, missile fuzzy, cruise missile
best cooling, cooling schedule, annealing cooling, fuzzy logic, cooling variants, appropriate cooling, adaptive cooling, optimization fuzzy, cooling schedules, simulated annealing
classifier sarcasm, logic sarcasm, bert based, indicators sarcasm, sarcastic expressions, techniques sarcasm, identify sarcastic, sarcasm detection, sentimental classifier, transformer bert
logic controllers, tuning fuzzy, intelligent controllers, logic controller, particle swarm, performance fuzzy, use fuzzy, conventional fuzzy, fuzzy controller, fuzzy controllers
fuzzy balanced, balanced fuzzy, concepts fuzzy, fuzzy logic, sets operations, sets balanced, fuzzy sets, sets operators, fuzzy set, balanced sets
detection autonomous, autonomous vehicle, sensors, lidar sensor, vehicle fuzzy, sensor, fusing lidar, sensor rgb, lidar, self driving
servo motor, disturbance servo, motor servo, control rudder, controls servo, controllers servo, aircraft servo, dc servo, rudder control, control fuzzy
anemia diagnosis, anemia implementing, anemia types, labview anemia, diagnosing anemia, anemia defined, population anemia, anemia aware, anemia, diagnosis fuzzy
vertical handoff, fuzzy logic, reduce handoff, complexity fuzzy, make handoff, logic decision, handoff decision, decision vhd, algorithm rough, decision algorithm
using svpwm, drive svpwm, techniques fuzzy, control speed, induction motors, svpwm induction, speed control, induction motor, fuzzy controller, svpwm technique
power stabilizer, stabilizer damping, fpss controller, variables fuzzy, logic controller, fuzzy logic, power fuzzy, fuzzy rules, controlling stabilizer, fuzzy set
diet linguistic, experts diet, fuzzy logic, adaptive dietary, fuzzy knowledge, based fuzzy, type fuzzy, personalized diet, dietary assessment, dietary health
events video, data soccer, video sequences, video clips, video activity, videos sequences, event detection, video event, detection soccer, soccer videos
control voltage, genetic algorithm, optimization fuzzy, sag fuzzy, optimized fuzzy, sag improvement, fuzzy controlled, simulink fuzzy, fuzzy controller, voltage sag
vehicle robot, logic robot, implemented robot, ultrasonic sensors, distance robot, obstacle autonomous, obstacle robot, robot obstacle, robot navigation, robot arduino
tracking mppt, conventional mppt, pv panel, trackers photovoltaic, mppt algorithms, photovoltaic, photovoltaic photovoltaic, mppt controllers, photovoltaic produced, mppt controller
membership function, fuzzy logic, fuzzy, particle swarm, fuzzy neuro, fuzzy membership, type fuzzy, kalman filter, extended kalman, learning algorithm
hierarchical fuzzy, subsystems multi, fuzzy logic, approach hierarchical, fuzzy systems, output hierarchical, hierarchical systems, logic multi, data hierarchical, systems fuzzy
braking make, regenerative braking, braking, braking electric, braking characteristic, braking energy, assurance braking, braking force, braking safety, braking sugeno
clustering using, efficient leach, clusters cluster, clusters network, clustering network, clustering wireless, cluster head, cluster selects, selecting cluster, cluster
design fuzzy, pi fuzzy, controller control, logic controller, fuzzy logic, produce steam, steam generator, controller heat, pi controller, pressure controller
wireless sensor, using zigbee, wireless xbee, zigbee wireless, logic wireless, zigbee, sensor network, greenhouse fuzzy, sensor networks, greenhouse using
modifications fuzzy, multiobjective genetic, fuzzy dominance, fuzzy logic, workforce optimization, genetic algorithm, type fuzzy, optimization logic, optimized type, genetically optimized
clustering routing, efficient cluster, routing algorithm, routing protocol, routing solution, sensor networks, cluster head, leach protocol, cluster, sensor nodes
power hvdc, lfc control, pi fuzzy, controller fuzzy, logic controller, fuzzy logic, controller tunisian, based fuzzy, pi controller, control lfc
distributed pv, local pv, photovoltaic, pv systems, photovoltaic systems, photovoltaic pv, connected photovoltaic, voltage regulation, regulation grid, fuzzy controllers
aircraft aerodynamics, unsteady aircraft, aerodynamics using, aerodynamics study, aerodynamics, unsteady aerodynamics, aerodynamics investigated, aerodynamic inputs, aerodynamics appropriate, appropriate aerodynamic
fuzzy adaptive, anfis control, logic controller, power systems, power oscillations, statcom based, statcom control, oscillation statcom, fuzzy anfis, compensator statcom
growth monitoring, annual aquaculture, based shrimp, shrimp farming, aquaculture production, logic shrimp, scale farming, using fuzzy, shrimp feed, farming feed
concepts multidimensional, intuitionistic, fuzzy, multidimensional, fuzzy sets, intuitionistic fuzzy, fuzzy quantifiers, concept multidimensional, fuzzy quantifier, multidimensional intuitionistic
detect web, protect web, web attack, application attacks, firewalls web, detecting web, maliciousness classification, attacks using, detect malicious, web attacks
residential load, loads forecasting, proposed fuzzy, fuzzy logic, forecasting load, forecasting proposed, predicting building, based fuzzy, fuzzy artificial, load forecasting
pumping equipment, consumption pumping, application fuzzy, fuzzy logic, operation pumps, pumping units, implementation pumping, pumps, using fuzzy, fuzzy control
process model, fuzzy logic, fuzzy inference, business process, complexity assessment, complexity metrics, process models, assess complexity, business processes, complexity business
equipment faults, detect faults, associative kernel, accident detecting, faults multivariate, kernel regression, fault detection, fault data, detecting fault, fault object
control buck, pid controller, converter output, loop buck, logic controller, converter research, buck converter, controlled buck, voltage regulation, loop converter
radio resource, radio access, radio resources, selection algorithm, heterogeneous wireless, rat selection, utilization radio, wireless networks, nextg networks, rats selection
evolutionary algorithm, design fuzzy, fuzzy logic, logic rule, algorithm automated, genetic heuristic, configuring evolutionary, heuristic method, rule base, method fuzzy
using svpwm, drive svpwm, techniques fuzzy, control speed, induction motors, svpwm induction, speed control, induction motor, fuzzy controller, svpwm technique
protection relay, faults lockout, circuit breaker, transient faults, breaker, fault classifier, fault classification, fault type, fuzzy fault, identify fault
doctor diagnosis, healthcare systems, fuzzy models, fuzzy logic, fuzzy systems, making diagnosis, diseases systems, medical diagnosis, diagnosis making, describes fuzzy
fuzzy intelligent, classification patients, fuzzy logic, predict life, cirrhosis patients, liver survival, based fuzzy, disease fuzzy, classifying patients, liver disease
pid controller, controller pwm, control pwm, pid control, switching converter, fuzzy logic, buck converter, ccm converter, dc buck, simulink fuzzy
reluctance generator, srg optimized, srg based, voltage optimizing, voltage srg, voltage switched, generator srg, srg model, switched reluctance, control srg
learning using, satisfaction online, fuzzy logic, students based, distance learning, online distance, study fuzzy, students satisfied, students satisfaction, using fuzzy
agriculture present, soil sensing, crops recommendation, classify crop, crops planted, crop cultivation, agriculture resources, recommended crops, precision agriculture, agriculture
discriminate convective, doppler weather, precipitation rain, weather detection, weather radar, convective precipitation, precipitation estimation, convective weather, precipitation doppler, radar doppler
discriminative pose, human pose, human poses, recognizing yoga, poses identifying, estimating poses, poses, classification yoga, yoga poses, yoga pose
fuzzy logic, lithium batteries, evaluate battery, development battery, based fuzzy, battery state, battery management, electric vehicle, ion battery, using fuzzy
power stabilizer, fuzzy logic, logic controller, stabilizer, stabilizer using, power systems, neuro fuzzy, synchronous generator, stabilizer pss, damping torque
diode led, illumination sensor, leds lamp, led radiation, illumination input, led driver, lamp led, illumination leds, led lighting, control illumination
microgrid meet, dc bus, microgrid, dc microgrid, microgrid phase, microgrid based, dc converters, current equalization, control dc, fuzzy controllers
fuel cell, fuzzy logic, power management, powered fuel, based fuzzy, battery state, energy management, using fuzzy, hybrid electric, electric vehicle
underground petroleum, fuzzy logic, fuzzy inference, hydrocarbon drilling, hydrocarbon prospect, predict hydrocarbon, petroleum reserves, based fuzzy, zone hydrocarbon, refinery wells
expert cardio, cardiovascular, design fuzzy, fuzzy logic, expert cardiovascular, fuzzy variables, fuzzy expert, disease diagnosis, cardiovascular disease, using fuzzy
control algorithm, logic controller, control scheme, twisting sliding, throttle control, electronic throttle, varying sliding, mode controller, throttle, sliding mode
smart load, controller fuzzy, fuzzy logic, novel fuzzy, regulation electric, controller smart, smart grid, smart loads, based fuzzy, voltage regulation
make lighting, fuzzy logic, lighting systems, rgb lighting, lighting built, lighting smart, lighting, rgb light, smart lighting, smart rgb
complexity complexity, fuzzy logic, compute complexity, complexity fuzzy, predicting complexity, logic complexity, complexity, predict software, complexity prediction, software complexity
transformer integrating, situations transformer, transformer, fuzzy logic, prevailing transformer, transformers monitored, transformer power, power transformer, power transformers, transformer reducing
microstimulation isms, single electrode, input stimulation, intraspinal microstimulation, logic control, electrode isms, control ankle, electrode intraspinal, ankle movement, flexor muscles
logic controllers, known pmsm, synchronous machines, torque speed, pmsm fuzzy, magnet synchronous, speed control, machines pmsm, synchronous motor, pmsm
jitter packet, packet loss, fuzzy logic, network condition, performance fuzzy, delay network, delay, network quality, network behavior, network jitter
controlled wind, wind speed, simulate turbine, turbine nominal, turbine behavior, turbine wind, turbine rpm, wind turbine, turbine aeroelastic, speed wind
rotating machines, shaft, fault diagnostic, shaft using, rotating shaft, shaft experimental, shaft real, industrial rotating, shaft employing, diagnostic rotating
minimizing drying, drying clothes, drying efficiency, clothes drying, dryer fuzzy, dryer offers, clothes dryer, dryer, measures humidity, manage humidity
reasoning fuzzy, squared deviation, fuzzy reasoning, choosing fuzzy, fuzzy logic, fuzzy, robustness type, type fuzzy, logic controls, uncertainty models
pid controller, logic controller, pid logic, fuzzy pid, speed control, algorithm pid, control model, marine engine, based fuzzy, pid
mppt methods, mppt photovoltaic, conventional mppt, photovoltaic maximum, photovoltaic, photovoltaic gives, photovoltaic pv, power photovoltaic, mppt strategy, based mppt
functions cooperative, cooperative control, adaptive fuzzy, leader cooperative, dynamics agents, fuzzy systems, control uncertain, cooperative adaptive, fuzzy controller, fuzzy control
type reduction, reduction algorithms, type reducers, fuzzy logic, logic systems, algorithms type, fuzzy, reducing computational, reduce computational, type fuzzy
turbine dfig, converter rsc, induction generator, wind generation, power control, rotor converter, wind power, wind turbine, level converter, conventional controller
classifier, classifier based, developed classifier, classifiers fuzzy, classifiers developed, chd classifier, classifier results, classifiers, based classifiers, developed classifiers
path planning, robot path, mobile robot, moving robot, optimized ant, robots path, heuristic method, nearest obstacles, mobile robots, robot navigation
voltaic pv, converter battery, fuzzy logic, battery load, fuzzy membership, pv battery, pv module, controlled pv, dc converter, boost dc
logic calculus, negations, medium negation, negation established, fuzzy propositional, negations say, kinds negations, logic negative, propositional logic, negation
intuitionistic, logic programs, fuzzy logic, logics intuitionistic, combining intuitionistic, fuzzy description, fuzzy, fuzzy sets, intuitionistic fuzzy, description logics
cluster based, distributed fuzzy, clustering hierarchy, efficient cluster, module cluster, sensor network, routing protocol, sensor networks, cluster head, cluster
buck boost, converter solar, design fuzzy, fuzzy logic, logic controller, solar energy, energy battery, pi controller, dc converter, boost dc
fuzzy logic, fuzzy interface, fault class, fault classification, neuro fuzzy, based fuzzy, faulty steel, fuzzy model, using fuzzy, error classification
combination fuzzy, network selection, selection based, fuzzy logic, use fuzzy, access network, based fuzzy, networks selection, attribute decision, fuzzy method
considered cluster, clustering hierarchy, cffl cluster, divided cluster, sensor networks, cluster formation, wsns sensor, leach protocol, lifetime wsns, cluster
herbs produce, herbs, identify herbaceous, algorithm herbs, identifying oregano, evaluated oregano, nose fuzzy, plants analyzed, plant samples, herbaceous plants
transformer, technique transformer, transformer using, transformer fault, transformer identified, transformer faults, power transformer, voltage transformer, types transformer, using fuzzy
irrigation, evenly irrigation, sprinkler irrigation, irrigation systems, irrigation irrigation, irrigation method, irrigation control, manual irrigation, irrigation using, irrigation technique
tracking mppt, pv panel, solar pv, implement mppt, logic mppt, mppt model, power pv, using mppt, mppt controller, mppt solar
rooftop photovoltaic, fuzzy logic, battery minimize, battery storage, homes battery, household energy, solar power, renewable energy, smart homes, fuzzy control
dengue disease, fuzzy logic, logic approach, disease fuzzy, data dengue, notify disease, logic dengue, dengue notification, using fuzzy, technique fuzzy
robot walk, optimal walking, bipedal robot, robot bipedal, controller walking, walking phase, controller bipedal, bipedal walking, walking robot, robot hybrid
temperature humidity, fan fuzzy, humidity input, fuzzy logic, using fuzzy, detecting temperature, based fuzzy, humidity control, fuzzy designed, humidity arduino
interpolating, interpolation able, fuzzy rule, interpolation, sets fuzzy, functions fuzzy, fuzzy sets, interpolation interval, fuzzy interpolation, rule interpolation
echocardiography probe, echocardiography, echocardiography motorized, logic toolbox, fuzzy logic, ultrasound probe, echocardiography motor, transesophageal echocardiography, control fuzzy, guide fuzzy
proposed fuzzy, logic controller, fuzzy logic, pid frequency, lfc fuzzy, using fuzzy, load frequency, fuzzy controller, control lfc, frequency control
distributed generation, detection fuzzy, fuzzy logic, power distributed, islanding detection, fuzzy rule, detect islanding, features islanding, developed fuzzy, using fuzzy
gesture recognition, gesture better, human game, gesture, gesture pattern, game gesture, hand gesture, gesture classification, input game, opponent gesture
discharge machine, discharge machining, gap controllers, machine controller, tool electrode, electrical discharge, gap controller, determines machining, electro discharge, discharge machines
control quadrotor, t2fnns trajectory, quadrotor vertical, quadrotor, problem quadrotor, unmanned aerial, aerial vehicles, applications quadrotor, constraints quadrotor, quadrotor vtol
fitted apparel, marketing online, size apparels, desirable apparel, apparel, online marketing, apparels differ, apparel product, online shoppers, apparel size
proposed microgrid, microgrid approaches, microgrid main, microgrid, power management, microgrid using, using petri, dc microgrid, strategies microgrid, based petri
detect fraud, optimize fuzzy, neural fuzzy, fuzzy logic, fuzzy deduction, fuzzy method, fraud detection, fraud fuzzy, fuzzy training, fuzzy logics
temperature sensor, sensor using, firefighting, sensor detection, detection notification, fuzzy logic, multi sensor, smoke sensor, logic microcontroller, flame sensor
