books named, Grammar Books, important materials, Gutenberg Project, Text Mining, English, English Grammar, unstructured data, Century English, Books
transesophageal, echocardiography motorized, logic, fuzzy logic, logic based, fuzzy, growing demand, transesophageal echocardiography, control, exists growing
control suitable, Fuzzy Logic, Load Frequency, broadly expended, Multi-Area Power, power plant, Frequency Control, Power, Power System, Logic Controller
Distributed Generation, power industry, fuel cell, Fuzzy Logic, Distributed, Logic Technique, wind turbine, Islanding Detection, photo voltaic, customer demands
Conditional Responses, Motion input, Responses Algorithm, Logic Classifier, paper presents, Fuzzy Logic, Logic, Fuzzy, Responses, Gestural Input
discharge machine, controller, fuzzy logic, fuzzy, ARM Cortex, gap, electrical discharge, Application, logic, gap-width controller
Elliptic Membership, VTOL Aircraft, Trajectory Tracking, Membership Functions, Logic Trajectory, inter alia, Emerging applications, Fuzzy Logic, Functions Emerging, Quadrotor VTOL
usage proportion, dramatic increase, fuzzy logic, increase related, apparel, showed dramatic, online marketing, marketing Online, logic Approach, online
power flow, fuzzy logic, flow management, MicroGrid, Petri Nets, paper aimed, strategies, real time, time operation, management strategies
Neural-fuzzy Takagi-Sugeno, article proposes, Fuzzy logic, training method, Takagi-Sugeno Neural-Fuzzy, Fuzzy, logic, Takagi-Sugeno, Neural-Fuzzy, Deutsche bank
Hardware module, Notwithstanding massive, fire detection, fire, outbreaks continue, notification system, safety campaigns, fire outbreaks, multi-sensor fire, logic Notwithstanding
proper input, distribution system, DWT, fuzzy logic, underground cable, fault type, logic algorithm, input pattern, paper present, logic
level, uncertainty, fuzzy, fuzzy systems, systems based, research proposes, Footprint, response integration, Case, membership functions
Junior Science, MARA, students' academic, Science College, academic performance, Majlis Amanah, Amanah Rakyat, MARA Junior, academic, results MARA
fuzzy logic, logic controller, fuzzy, quadrotor, Hover position, proposes fuzzy, controller algorithm, logic, paper proposes, hovering mode
Fuzzy Sets, Zadeh, Zadeh fuzzy, Antanassov, Picture Fuzzy, Fuzzy, intuitionistic fuzzy, Sets, Logic Operators, Antanassov intuitionistic
complex systems, Trajectory Tracking, FLC, controller, controlling complex, Tracking, great enhancement, Tracking Control, Fuzzy Logic-based, Optimization Algorithms
Healthcare sector, pressure measuring, expert systems, measuring system, design expert, exponentially rising, blood pressure, medical diagnosis, heart rate, system Healthcare
nonlinear model, inverse, based, law, vehicles based, dynamic, control law, generic hypersonic, dynamic inverse, hypersonic vehicles
Fuzzy Logic, electrochemical batteries, power electronics, Stress, Li-ion Batteries, rainflow algorithm, wide variety, studying stress, including power, stress conditions
system, farming automation, fuzzy logic, supporting general, Weather, general farming, farming, watering based, logic algorithm, Weather prediction
TWIPR, control strategy, inverted pendulum, fuzzy logic, paper presents, TWIPR considered, Matlab Simulink, pendulum robot, two-wheeled inverted, control
wireless, adaptive fuzzy, algorithm Nowadays, Speed sensitive-energy, generation wireless, handoff, Nowadays, increasing rapidly, wireless technologies, sensitive-energy aware
System Based, Environmental Temperature, Fuzzy Logic, Watering System, Things, Measure Soil, Soil Moisture, Automatic Watering, Internet, scientific development
urban areas, Humidity Control, Control System, protocol Nowadays, Light Intensity, Fuzzy Logic, Greenhouse, Light, Humidity, Logic Controller
day due, nonlinear loads, Fuzzy Logic, current harmonics, Harmonic Compensation, increasing day, Shunt Active, Nowadays nonlinear, Technique Nowadays, Active Filter
application Single, photon avalanche, temperature, single, SPAD, Fuzzy logic, single photon, diode, sensitive device, avalanche diode
wide range, Panel, increase, temperature increases, Intergovernmental Panel, range, greenhouse gases, global temperature, gases, climate change
essential factor, Selection, Fuzzy Logic, problem, Based, Personnel Based, human capital, company activities, Multifactor Selection, global competition
Shunt, Active Power, nonlinear loads, Fuzzy Logic, elegant solution, Filter Shunt, Fuzzy, Shunt Active, Neuro Fuzzy, Power Filter
current, fuzzy logic, logic controller, fuzzy, single current, BLDC motor, Closed loop, current sensor, BLDC, logic
possessing significant, Hot Cracks, foundry production, Cast Products, Danger Level, Fuzzy Logic, casting images, Automation Systems, Convolutional Neural, Neural Networks
Mangifera Indica, Classification, vital role, agriculture plays, Fuzzy Logic, Indica Ripeness, Indica, Logic Algorithm, Electronic Nose, Nose
transmitted data, security level, designed Bluetooth, Bluetooth, Fuzzy Logic, Evaluation Method, data received, Proposed Security, Fuzzy, secure communication
System, temperature, Upwelling, reservoir caused, Fuzzy Logic, Based, rapid mass, mass mortality, Logic Based, Internet
Logic Expert-Based, employability, Recommender System, Fuzzy Logic, education institutions, Expert-Based Recommender, higher education, Improving Students’Employability, Fuzzy, Development
clustered controllable, fuzzy logic, fuzzy, densely clustered, clustered fuzzy, logic algorithm, based densely, power point, logic, point tracking
fuzzy logic, Logic Classifier, fuzzy, HRRP, improve flight, recognition, Air targets, Air, logic, logic approach
West, Study Case, Majene Regency, Zoning, regional zoning, Majene, West Sulawesi, Fuzzy Logic, Susceptibility Zoning, Regency area
Approach Condition, Condition monitoring, insulation properties, Oil, Identifying Transformer, logic model, Fuzzy Logic, Transformer Oil, Interfacial Tension, Logic Approach
Synthesis Strategy, Strategy Based, Harmony Theory, technique constrained, Fuzzy Logic, Granular Synthesis, Musical Harmony, small portions, paper proposes, Logic Approach
micro, fuzzy logic, scheduling energy, energy sources, micro grid, logic decision, energy management, MAS, MAS energy, optimal micro
Body, Networks Wireless, Wireless Body, Body Area, MAC Protocol, Dynamic MAC, Area Networks, Traffic Aware, MAC, Aware Dynamic
wavelet, paper implemented, fuzzy logic, transforms integrated, fuzzy, transmission line, line, wavelet transforms, logic, Fault
SVPWM, controlled SVPWM, inverter fed, indirect vector, vector controlled, Fuzzy logic, fed indirect, SVPWM algorithm, drive SVPWM, SVPWM based
proper medication, vital issue, MRI, MRI images, Fuzzy logic, images Early, Early tumor, tumor, mandatory concerns, brain MRI
obstacle avoidance, avoidance controller, fuzzy logic, logic control, mobile robot, neural network, artificial neural, network methods, neural, paper describes
Wuhan China, fuzzy system, Fuzzy Logic, December, Wuhan, China, Logic, Fuzzy, India, Logic Approach
transmission system, Comparison, Performance Comparison, Fuzzy Logic, paper introduces, Performance, Deep Learning, fault detection, Deep, Learning algorithms
technical condition, breakers Monitoring, power circuit, fuzzy logic, fuzzy, power system, diagnosis, power, circuit breakers, important activity
soil moisture, automatic watering, Robot, Fuzzy Logic, broccoli plants, Farming Robot, Logic Algorithm, Robot based, Watering, Implementation
image, disease detection, fuzzy logic, image processing, fuzzy, paper presents, leaf image, Orchid, disease, Orchid disease
Insulating Oil, Mineral oil, Oil, rapeseed oil, transmission transformers, Fuzzy Logic, Sunflower Oil, palm oil, Coconut Oil, Transformers
electrical equipments', Fuzzy logic, convenient method, logic approach, logic operations, expressing vague, logic, vague categories, laminated composites, performing logic
Electric Stator, Stator Faults, Technique Fault, Induction Motor, Fuzzy Logic, Faults Detection, Logic Technique, Stator, increasingly important, stator winding
Fuzzy logic, logic based, acknowledged due, machine Fuzzy, largely acknowledged, based controllers, Fuzzy, model-free characteristics, logic, induction machine
control problems, Fuzzy logic, logic control, output, uncertain dynamics, robotic system, uncertain, Fuzzy, logic, output constraint
color profiling, system, Automated vehicle, study proposes, fuzzy logic, profiling system, system based, apprehended car, vehicle class, distinct information
ppm, Total Dissolve, Control System, set point, Hydroponic Plants, Fuzzy Logic, Nutrient Concentration, Dissolve Solid, Nutrient, Plants Based
control technique, Fuzzy logic, electrical machines, machines, fast processes, logic algorithm, Fuzzy, logic, control, suitable control
Digital images, Image enhancement, fuzzy logic, important source, fuzzy, Image, artificial neural, neural network, logic Digital, neural
energy-efficient operation, Electric Bicycle, witnessing widespread, adoption due, Fuzzy Logic, Bicycle Controller, modern life, essential aspect, Logic Traveling, widespread adoption
Fuzzy logic-based, paper presents, formation control, control scheme, wheeled mobile, mobile robots, group formation, control, multiple wheeled, logic-based group
Maximum Power, converter based, Power Point, logic DC-DC, fuzzy logic, fuzzy, Point Tracking, connected inverter, logic, DC-DC Converter
Fire Fighting, Flame Detector, Fire, Robot, Fighting Robot, Fuzzy Logic, Logic, high accuracy, robot requires, Fuzzy
IPMSM Drives, Comparative Study, Logic DTC, stator flux, Fuzzy Logic, Strategies Aimed, DTC, Direct torque, DTC Strategies, Drives
image, evaluation Recently, fuzzy logic, fuzzy, edge, Recently, detection quality, reference image, edge detection, quality evaluation
Turbine System, Maximum Power, System, Power Point, Boost type, Fuzzy Logic, Vienna Rectifier, System based, Wind Turbine, Point Tracking
South African, big data, system big, fuzzy logic, paper presents, distribution power, African power, African distribution, power systems, power
wide range, disaster preparedness, paramount importance, Fuzzy Logic, Predicting Rainfall, water resource, resource management, including agriculture, Rainfall Patterns, Logic Approach
processing systems, improve performance, image sets, essential step, image processing, edge, fuzzy edge, training phase, edge detectors, recognition
Mobile, Mobile Robot, Robot Autonomous, Obstacle Avoidance, Avoidance, recent times, Fuzzy Logic, times gained, Autonomous mobile, gained interest
control theory, nonstrict-feedback nonlinear, Controlling nonstrict-feedback, Fuzzy Approximation, Adaptive Fuzzy, challenging problem, Nonlinear Systems, Fuzzy, Fuzzy Control, Approach Controlling
wireless sensor, research works, logic, fuzzy logic, head selection, fuzzy, sensor networks, cluster head, sensor, networks Fuzzy
light management, light, fuzzy logic, traffic light, adaptive traffic, road rage, vehicles arrival, light timing, vehicles, air pollution
Periodic Gate, reluctance motors, Gate Signal, industrial applications, Gate, Performance Analysis, Electric Vehicles, Vehicles, Signal Blocking, motors
soil moisture, Network Smart, Fuzzy Logic, Decision Support, Wireless Sensor, Smart Irrigation, Support Based, Irrigation Decision, Decision, Sensor Network
Load Balancing, Balancing Algorithm, Routing Load, network performance, Load, Network, Fuzzy Logic, packets, Algorithm, Prototype Design
asynchronous circuits, fuzzy logic, paper presents, fuzzy, digital asynchronous, logic, transistor level, CMOS technology, CMOS, Implementation
obtain ready, tools aims, Dryer Coconut, raw materials, Copra, producing tools, Logic Control, Fuzzy Logic, Logic, Copra Production
relative humidity, tomato growth, logic controller, fuzzy logic, fuzzy, vent fan, Carbon Dioxide, growth, logic, growth chamber
Based VANETS, Smart Transportation, roadside base, Fuzzy Logic, Logic, Transportation System, Vehicular ad-hoc, Logic Based, base stations, ad-hoc network
set-point based, fuzzy logic, rescue material, key technology, interval type, Parafoil, fixed set-point, emergency situation, control, logic Nowadays
wireless sensor, networks Today, head, sensor networks, cluster head, important role, Today WSNs, sensor, selection scheme, Today
material maps, algorithm, fuzzy logic, fuzzy, hyperspectral image, fuzzy systems, public data-sets, application fields, number, endmembers present
system, supervisory control, fuzzy logic, paper presents, hierarchical navigation, motion planning, robot, control system, Humanoid robot, Petri net
uncertainty modeling, Monte Carlo, commonly attributed, Fuzzy Logic, output, Logic, Fuzzy, FSs, input-output uncertainty, Logic Systems
stirred tank, heater temperature, fuzzy logic, genetic algorithm, determine Proportional, temperature control, Proportional Integral, tank heater, Integral Derivative, tank
VHDL based, Lithium-Ion Hybrid, based systems, fuzzy logic, based Neuro-Fuzzy, Super Capacitors, VHDL, fuzzy, Hybrid, Hybrid Super
elimination Active, active, Fuzzy logic, reactive power, shunt active, logic controlled, electrical distribution, Fuzzy, harmonic elimination, power
Takagi-Sugeno fuzzy, fuzzy logic, interval, fuzzy, control systems, logic control, stability conditions, logic, LMI-based, fuzzy controllers
Method Brushless, Electric Bicycle, energy, Logic Control, Fuzzy Logic, vehicle started, Logic, Electric, Fuzzy, Bicycle
Research Station, logic CMRS, Mining Research, Central Mining, Geomechanical rating, CMRS, Central, rating, Mining, Station
System, Mamdani Logic, Fuzzy Mamdani, fuzzy logic, decision making, student, Logic, ease teacher, Fuzzy, highly needed
main focus, Stability analysis, Genetic algorithm, Fuzzy logic, Field controlled, Stability, analysis, Motor, Genetic, Field
Fuzzy Sets, Secondary Memberships, IEEE Trans, interval, Join, Bustince Sola, Meet Operations, Fuzzy, Meet, Sets
system, achieve global, Green energy, fuzzy logic, controller Green, Green, readable solution, global sustainability, boost converter, energy resources
range sensors, fixed path, based approach, fuzzy logic, logic based, logic control, study presents, hybrid mobile-quadrotor, Obstacle avoidance, mobile-quadrotor vehicle
LDPC receiver, cooperative wireless, networks Relays, wireless, Forward, soft, wireless networks, achieve cooperative, soft demapping, demapping technique
general purpose, fuzzy logic, logic controller, fuzzy, logic based, rule base, increased drastically, power consumption, logic, power
Conventional Fuzzy, subsystem, fundamental problem, Hierarchical Fuzzy, Fuzzy Logic, promising option, Logic, Fuzzy, HFSs, Logic Systems
wireless body, Improve Lifespan, Fuzzy Logic, body area, Head Selection, Improved CHSFL, Cluster Head, CHSFL, Fuzzy, biggest limitations
light system, system, controlled intelligent, fuzzy logic, Pre-timed traffic, fuzzy, longer sufficient, handling vehicular, system Pre-timed, traffic
Disaster, Line Natural, Transmission Line, Fuzzy Logic, Optimization Algorithm, EAUCF algorithm, Disaster Monitoring, Line, Clustering Optimization, Natural Disaster
Method, technical evaluation, Present world, Making Method, Effective Business, Fuzzy Logic, Logic, Decision Making, Logic Present, Business Strategy
handle uncertainties, wide range, applications due, Fuzzy Logic, Interval, Logic, Stabilization Interval, Logic Systems, Fuzzy, Pendulum Stabilization
Testing, system, defuzzification method, fuzzy logic, logic controller, rise time, settling time, time, study aims, logic
converter based, proposed fuzzy, Fuzzy logic, turbine generating, wind power, wind turbine, based wind, Fuzzy, logic approach, generating units
Fire Fighting, detect fires, Fire, sensor robot, Fighting Robots, Fuzzy Logic, fires requires, robot, fire sensor, Fuzzy
electrical modes, optimizing electrical, Voltage Mode, article studies, Fuzzy Logic, power systems, switching taps, control device, Mode Based, fuzzy controller
Analysis YARA, Malware Analysis, execution phase, utilises string, pattern matching, Rules, YARA Rules, YARA, rule optimisation, rules utilises
light system, System, Control System, Traffic Light, Scheduling Traffic, Fuzzy Logic, Logic, Light, Fuzzy, Four-Way Intersection
fuzzy logic, logic controller, fuzzy, temperature control, PID, steam, logic, efficient operation, steam temperature, Conventional PID
Fuzzy data, data processing, fuzzy inference, Mamdani fuzzy, data, Fuzzy, processing based, method, paper proposes, Mamdani mechanism
economic purposes, system, logic-based power, energy sources, power system, stabilizer Variability, increasing due, wind turbines, electric vehicle, vehicle chargers
voltage, Cycle, nutritional crisis, pulse generator, food processing, Cycle Tuning, Fuzzy Logic, food, Tuning, Duty Cycle
fuzzy logic, flight, Direct adaptive, fuzzy, flight vehicle, Direct, generic hypersonic, logic, generic, hypersonic flight
dissolved oxygen, Pond, Aquaculture Pond, Fuzzy Logic, Logic, monitoring, Fuzzy, water quality, Logic Controller, Implementation
System, non-singleton fuzzification, Adaptive Network-based, System completely, Fuzzy Logic, Fuzzy Inference, Fuzzy, ANFIS, Network-based Fuzzy, Inference System
swarm, swarm optimization, Intelligence algorithms, particle swarm, APSO, optimization employing, Swarm Intelligence, clustering, constantly served, global search
operating conditions, System, non-linear excitation, excitation control, stabilized operation, fuzzy logic, control, Power, Power System, stability achievement
control problems, Simulink Model, Adaptive, Fuzzy Logic, Matlab Simulink, Adaptive General, Logic, Fuzzy, Logic Systems, Simple Matlab
fuzzy logic, fuzzy inference, Series compensation, transfer capacity, subsynchronous resonance, inference system, neuro fuzzy, SSR, adaptive neuro, power
system, based, Fuzzy inference, fuzzy system, method based, system based, Fuzzy, inference modeling, method, modeling method
Olfactory Display, Game, Video Game, Edge, Edge Computing, Display, paper presents, Video, Fuzzy Logic, ultrasonic humidifier
Parametric Audio-visual, experience assessment, Quality, fuzzy inference, Quality Measurement, Based, Interpretable Fuzzy, Fuzzy, Audio-visual Quality, Measurement Based
processing systems, edge detector, image sets, face recognition, essential method, image processing, edge, training phase, fuzzy edge, recognition system
Task, Logic Priority, radar based, array radar, Fuzzy Logic, phased array, Based, Task Scheduling, Algorithm Based, Scheduling Algorithm
non-meteorological factors, Doppler weather, Ground, Fuzzy Logic, Clutter, radar data, Logic Algorithm, Radar, Ground Clutter, X-band Doppler
self-scaling procedure, logic, fuzzy logic, adaptive fuzzy, logic controller, fuzzy, axes including, anti-swing regulation, crane positioning, regulation
overhead, Risk Assessment, Fuzzy logic, Assessment based, transmission line, overhead transmission, Aging Risk, line, Fuzzy, Aging
paper presents, Based Scheme, Fuzzy Logic, Directional Earth, Fault Detection, transmission network, Logic Based, Earth Fault, Scheme, Fault
environment, cloud, fuzzy logic, fuzzy, cloud computing, attack, Distributed Denial, Detecting DDoS, daily life, Enhancing secure
Permanent Magnet, Adaptative Fuzzy, Synchronous Machine, Fuzzy Logic, Logic, Intelligent Control, fuzzy regulator, work presents, Magnet Synchronous, Control Based
angle, induction generator, fuzzy logic, logic controller, pitch, turbine fed, wind turbine, Angle Fuzzy, pitch angle, fed induction
Pendulum, Fuzzy Logic, major objective, Control, Rotary, Inverted Pendulum, upright position, Fuzzy, Rotary Inverted, Real-time Control
improving independent, Wheelchair mounted, amputated arms, Robotic Arm, Two-link Robotic, Fuzzy Logic, physical disabilities, spine injuries, extremity impairments, Logic Wheelchair
industrial automation, based Optimized, Trajectory Tracking, Enhanced Trajectory, Fuzzy Logic, position PID, Tracking Accuracy, Genetic based, Optimized Fuzzy, Logic Controller
intelligent level, hierarchical alarm, fuzzy inference, engine state, Fuzzy Logic, Method Based, monitoring engine, paper proposes, vibration parameters, Vibration Monitoring
proposed fuzzy, Aerospace Application, paper presents, Fuzzy Logic, Logic, Aerospace, Fuzzy, Cuk Converter, Cuk, Logic Controller
Conventional fuzzy, fuzzy models, approaches make, fuzzy, series forecasting, intuitionistic fuzzy, Time series, models, Time, systems Conventional
personal computer, logic controller, fuzzy logic, fuzzy, control, industrial applications, electric motors, logic, microcontroller Today, control quality
batteries based, battery parameters, management system, fuzzy logic, Li-Po batteries, battery, BMS, important component, logic system, hybrid-electric vehicles
Based Static, grid interface, VAR, Fuzzy Logic, ensuring stable, crucial role, Wind Farm, VAR Compensator, Logic Based, Static VAR
function approximation, fuzzy logic, noisy circumstances, logic systems, paper presents, fuzzy, prior knowledge, integrating prior, first-order Single-Input, Single-Input Single-Output
day increase, Cost Electric, Fuzzy Logic, BLDC motor, Low Cost, BLDC, Logic Algorithm, carbon emission, Electric Vehicle, motor
queue, fuzzy, logic-based decision, decision algorithm, scheduling approach, service support, priority, queue scheduling, fairness control, Diff-Serv networks
reconfigurable fuzzy, light, logic traffic, traffic light, digital CMOS, severe condition, CMOS implementation, CMOS design, CMOS, light control
Boost Converter, active clamp-coupled, inductor-based soft-switched, successful implementation, Fuzzy Logic, Soft-Switched Quadratic, paper introduces, Quadratic Boost, Boost, Logic Controller
transit security, urban, rail, Fuzzy logic, logic based, urban rail, region, operating system, security region, rail transit
Mechanism Based, Data Center, Defined Networking, Fuzzy Logic, Routing Mechanism, Software Defined, traffic scheduling, Effective Routing, paper proposes, inference based
Fuzzy direct, Nonlinear Water, direct controller, Based Fuzzy, Based, Intelligence Based, Fuzzy, Water Level, Level Tank, Swarm Intelligence
Formation, real, swarm, fuzzy logic, paper presents, fuzzy, real robots, logic, real swarm, Logic Controller
Increase Password, Keystroke Identifier, issue today, major issue, Fuzzy Logic, Security Cybersecurity, Identifier, Password, Fuzzy, Increase
Gestational Diabetes, Mellitus, GDM, Predicting Gestational, Fuzzy Logic, Risk Factors, Diabetes Mellitus, heightened glucose, fuzzy expert, Logic Approach
PI-fuzzy logic, voltage, based DC-DC, FLC, controller, converters, FLC tuned, Hybrid, DC-DC, Hybrid PI-fuzzy
compliance, Recruitment Systems, paper presents, solving problems, Fuzzy Logic, Logic, Fuzzy, Systems, presents methods, method serves
control acidity, acidity, Fuzzy Logic, logic techniques, Arduino Mega, Logic, irrigation water, alkalinity, Fuzzy, innovative approach
Traffic Light, Fuzzy Logic, City, Manado City, Real Time, Teling Intersection, Time, fast causing, Teling, high level
Genetic algorithm, fuzzy logic, logic optimized, fuzzy, temperature control, Genetic, optimized controller, refrigeration Genetic, control, optimal problems
TAC, signal, actuated signal, traffic actuated, green, Maximum green, green times, traffic, control, signal control
Solar Photo, single stage, stage conversion, maximum power, ANFIS controller, Photo Voltaic, grid integration, conversion method, SPV, power
lattice congruence, play, fuzzy, complemented elements, elements, important role, research, role, fuzzy lattices, special
emulator based, Hardware Implementation, XSG tools, Fuzzy Logic, Turbine Emulator, Controller Hardware, regulator limitations, Wind Turbine, Variable Speed, Logic Controller
System, manage fish, simultaneously manage, Conductivity Control, aquaponics, Logic-Based Electrical, limited land, aquaponics cultivation, Electrical Conductivity, Cultivation
Automation system, embedded system, system, internet, fuzzy logic, concept internet, logic method, monitoring ornamental, ornamental plants, connect directly
Stoves Unit, hot blast, Time Adjustment, sequential mode, Hot-Blast Stoves, Fuzzy Logic, Logic, adjustment method, blast furnace, heaters sequential
system, fuzzy logic, Hybrid system, traffic light, iterative solutions, requires extremely, accident, Detection System, accident detection, extremely complex
Median Filter, Gain Factor, based switching, Fuzzy Logic, Median, Logic, corrupted images, Logic Gain, based filters, Switching Median
Focus accuracy, astronomical observations, Astronomical, Fuzzy Logic, observations quality, Fuzzy, Focus Measure, essential factor, Images Focus, Focus
main functionality, programming language, toolkit based, fuzzy logic, logic software, fuzzy, software toolkit, initial version, language, logic
Permanent Magnet, Magnet Brushless, fuzzy logic, fuzzy, Brushless Motor, logic control, control scheme, optimize parameters, logic, paper proposes
servo motor, control strategy, fuzzy logic, PID controller, Simulink Support, proportional integral, Arduino based, Simulink, integral derivative, PID
Google Adwords, advertising campaigns, Google, fuzzy inference, inference system, maximum bidding, Adwords advertising, Adwords, campaigns Google, bidding price
health hazards, System, Road Accident, threatening thing, Recommendation System, Analysis Road, life threatening, recent days, public health, Road
system, hybrid rule-based, interval, rule-based system, fuzzy, paper addresses, normal forms, tardiness variables, fuzzy hybrid, membership functions
research addresses, fuzzy logic, Three-state fuzzy, cell networks, resource allocation, small cell, cell, small, method, interference coordination
PSO Applied, control strategy, article presents, particle swarm, magnet generator, Fuzzy Logic, utilizing particle, strategy based, Variable Speed, optimization applied
separate hits, perturbed standing, Forced Choice, standing, sequential intervals, false positives, posturally perturbed, standing subjects, Interval task, Choice Interval
Loyalty Internet, thing, hold existing, end goal, existing clients, Customer Loyalty, Fuzzy Logic, Loyalty, Customer, Internet
BLDC Motor, Current Detection, Direct Current, Fuzzy Logic, Brushless Direct, Controller-based Simulation, BLDC, Water Pumping, Pumping System, Logic Controller-based
Based DSTATCOM, DSTATCOM device, Interval Type, Type, Fuzzy Logic, Logic, Fuzzy, Controller Based, Logic Controller, Mamdani Interval
handover optimization, fuzzy logic, enhanced fuzzy, optimization technique, time consuming, cellular networks, technique, handover, previous cellular, LTE
automatically resolve, software, autonomic, produces effective, fuzzy logic, autonomic software, effective software, systems, software systems, Predicting maintainability
order derivatives, Levenberg marquardt, fuzzy neural, approach based, training, fuzzy, algorithm proposed, fuzzy membership, membership function, neuro systems
fuzzy logic, fuzzy, identifying types, classifying simultaneous, simultaneous fault, fault types, logic algorithm, wavelet transform, paper proposes, discrete wavelet
Model Based, Flight, Logic Theory, Fuzzy Logic, Flight Operation, Operation Quality, Quality Assessment, flight cadets, effective method, Assessment Model
fuzzy logic, logic based, fuzzy, Automated GPC, triggered mechanism, predictive control, generalized predictive, logic, event triggered, GPC
avoid road, Control System, Cruise Control, driving comfort, Fuzzy Logic, Control, PID, achieve safety, modern cars, Model Predictive
Experimental Results, random binary, binary sequences, Fuzzy Logic, Stochastic, Logic, Logic-Based Fuzzy, stochastic computing, Logic Controller, Architecture
indirect vector, fuzzy logic, logic controller, include overlap, paper describes, induction motor, real-time applications, simple design, Implementing fuzzy, membership functions
numerical methods, technological processes, paper presents, sampling period, Logic Control, Fuzzy Logic, fast, Linguistic Fuzzy-Logic, fast technological, non-linear fast
fuzzy logic, steepest descent, switch, switch machine, electromechanical device, Computing derivatives, descent method, fault classification, logic system, machine
IPMSM drives, gained great, fed IPMSM, researchers due, speed controller, fuzzy logic-based, power electronic, great attention, set theory, VSI fed
Induction Motor, plant characteristics, Vector Control, Logic Speed, Fuzzy Logic, specific plant, Logic, Enhanced Vector, Speed Controller, Fuzzy
maximum power, electrical energy, solar energy, increasingly encouraged, solar photovoltaic, solar, power point, point tracking, observe algorithm, power
troubleshooting, Deodorizer failure, plant, model, Fuzzy logic, logic model, failure, plant operation, palm oil, oil refining
System, Expert System, Logic-based Expert, Scrum, Scrum Projects, task, task complexity, estimating effort, Fuzzy Logic-based, Effort Estimation
Edge, greater significance, Canny edge, computer vision, Logic Controller, Image Edge, detection finds, machine learning, Edge Detection, Controller Edge
power constraint, energy consumption, Sensor Networks, Based Energy-efficient, energy, Clustering Algorithm, Fuzzy-logic Based, Clustering, Energy-efficient Clustering, Wireless Sensor
Mobile, Mobile Robot, Design, Robot, Fuzzy Logic, paper introduces, Control, Robot Heading, Heading Control, Logic Controller
increasingly popular, Interval, Inverted Pendulum, Fuzzy Inference, Pendulum Based, Adaptive Interval, fuzzy controller, engineering applications, Intelligent Control, Inference System
technological processes, paper presents, sampling period, Logic Control, Fuzzy Logic, Systems Laboratory, Linguistic Fuzzy-Logic, paper, Intelligent Systems, sensitive technological
Risk Assessment, advanced framework, Risk, Fuzzy Logic, Financial Risk, Machine Learning, Learning, Machine, paper proposes, synergistic blend
Icing, Main, including ice, permafrost zone, Main Pipeline, Fuzzy Logic, pipelines passing, Logic Methods, ice, ice formation
Obstruction Risk, Navigation, effectively prevent, Fuzzy Logic, Logic, Logic Based, Navigation Obstruction, paper proposes, logic approach, Yangtze River
closed system, robot operates, Fuzzy logic, dynamic obstacles, pin point, mobile robot, Genetic Algorithm, Fuzzy, working environment, path finding
three-dimensional radar, single radar, radar, radar sensor, sensor design, control approach, logic control, sensor, High accuracy, design based
Dynamic Voltage, Integral, Integral controller, Fuzzy Logic, adaptive Proportional, Controller Implementation, Restorer DVRs, Proportional Integral, DVRs commonly, Voltage Restorer
Fuzzy logic, paper presents, direct applications, logic control, Sun tracking, electromechanical gear, rolling rotor, tracking systems, electromagnetic converter, main advantage
logic controllers, logic adaptation, fuzzy logic, sensorless direct, oriented control, induction motor, field oriented, low speeds, fuzzy sensorless, direct field
vehicle, Artificial Intelligence, FLC, Fuzzy Logic, Logic, Automation Control, Logic Application, paper aims, apply Artificial, real-life problem
Side Lobe, fuzzy logic, logic controller, Lobe Level, array synthesis, Antenna array, array, amplitude, Tsukamoto fuzzy, paper deals
based MPPT, maximum power, logic controller, Fuzzy logic, paper presents, Matlab Simulink, MPPT, power point, point tracking, controller based
Wind Energy, frequency loops, maximum power, Wind, Conversion System, Fuzzy Logic, Energy Conversion, tracking algorithm, power, Adaptive Tuning
System Existing, System, Story, Control System, Fuzzy Logic, direct response, Elevator Control, Story Elevator, Fuzzy, wide variety
contrast, spatial domain, pixel intensity, contrast enhancement, spatial, level transformation, important issue, domain, transformation function, intensity level
current variation, synchronous machines, FLC, fuzzy logic, logic controller, magnet synchronous, permanent magnet, wave forms, implies obtaining, artificial intelligence
Boost Converter, logic controller, Fuzzy Logic, Logic, advanced power, Quadratic Boost, Fuzzy, Logic Based, Boost, Based Quadratic
Nonlinear Disturbance, Artificial Muscles, robotics field, possesses lots, Observer Based, Fuzzy Logic, rehabilitation engineering, Disturbance Observer, superior characteristics, Pneumatic Artificial
Plans Combining, Combining Fuzzy, Fuzzy Logic, Polymer Flooding, Decision System, Flooding Injection, Polymer, Intelligent Decision, Genetic Algorithm, Flooding
TSK, Wind Power, Fuzzy Logic, WOA-based Interval, TSK FLS, optimization Algorithm, WOA optimization, FLS method, FLS, Logic System
Decision-Making Systems, integral part, DNA Decision-Making, Systems, DNA Implementation, Fuzzy Inference, autonomous device, Fuzzy, Inference Engine, DNA
sampling algorithms, fuzzy logic, logic controller, controller design, MSC Adams, effective approach, Trajectory tracking, design based, paper deals, variable sampling
maturity, Solanum, tomato, fruit, smart farming, great importance, stage, smart, Solanum lycopersicum, tomato fruit
Cellular Networks, Wireless Cellular, Secure, Wireless, Fuzzy Logic, Handover System, wireless environment, Networks, Secure Handover, Cellular
