english grammar books, keyword analysis speech, grammar books 19th, results text mining, grammar books important, paper text mining, word frequency analysis, mining word frequency, english grammar gutenberg, analysis keyword analysis
microgrid uses, autonomous energy management, microgrid systems using, ems smart microgrid, using adaptive fuzzy, renewable energy, adaptive fuzzy logic, poor energy management, fuzzy logic algorithm, usage renewable energy
banking sector proposed, type fuzzy logic, intelligence ai techniques, forecasting customers loan, financial default banking, generated type fuzzy, artificial intelligence ai, predictive models financial, use evolutionary computing, default banking sector
crew behavior agent, assessing construction crew, modeling fuzzy logic, modeling assessing construction, logic agent based, based modeling fuzzy, predict construction crew, modeling construction modeling, crew behavior integrating, fuzzy agent
delay tolerant networks, logic based opportunistic, designing routing protocols, routing protocols protocols, existing oppnet routing, oppnet routing, network delay tolerant, cover opportunistic routing, network oppnet, protocols based fuzzy
based damping controller, interval type fuzzy, power stability using, damping controller wadc, type cpss fuzzy, pss cpss fuzzy, interval fuzzy type, disturbance generator area, logic controller disturbance, area fuzzy logic
using fuzzy logic, discuss accident detection, alarm rate accident, traffic light integrated, traffic light controllers, traffic signal control, fuzzy logic theory, time accident detection, dynamic fuzzy logic, traffic signal
fuzzy logic analyze, users emotional words, logic analyze turkish, type fuzzy, emotion related words, interval type fuzzy, fuzzy logic fl, 197 turkish emotion, turkish emotion related, words using interval
fpga, logic controller, software implementation fuzzy, logic controller eflc, rules autonomous mobile, design embedded fuzzy, robots amrs cortex, autonomous mobile robots, mobile robots amrs, fpga implementation
fuzzy logic operations, approach utilizing fuzzy, logic electric vehicle, fuzzy logic electric, analysis using fuzzy, failure mode subjective, risk fuzzy linguistic, risk fuzzy, fault failure modes, conventional failure mode
using fuzzy logic, class based cac, admission control, threshold based cac, umts wlan network, class based admission, fuzzy logic theory, umts wlan, logic heterogeneous wireless, integrated umts wlan
iot network using, iot network improve, energy efficient clustering, genetic algorithm iot, node battery clustering, things iot emergent, iot emergent smart, clustering method based, node genetic algorithm, battery clustering
automation piflc performs, implemented plc, plc programmable, tested implemented plc, controller industrial fan, pi pi fuzzy, controller piflc, flow industrial fan, industrial fan proposed, pi fuzzy logic
fuzzy inference rules, hierarchical colored petri, petri nets fuzzy, mamdani fuzzy, colored petri nets, modelling mamdani fuzzy, nets fuzzy inference, engine fuzzy inference, set fuzzy rules, fuzzy results obtained
type fuzzy logic, flexible manipulator position, controller adaptive neural, network based fuzzy, logic annit2fl controller, hannfl controller adaptive, interval type2 fuzzy, different type fuzzy, flexible manipulator, controllers adaptive neural
assessing evolvability, using fuzzy, evolving software systems, development aop based, fuzzy logic toolbox, characteristics aosq model, aosq model using, evaluate software, framework assessing evolvability, model using fuzzy
cellular towers near, installation cellular, logic setting cellular, cellular towers arduous, towers using fuzzy, site setting cellular, cellular tower extremely, setup sites cellular, sites installation cellular, fuzzy logic setting
lattice ordered monoids, filters residuated lattice, fold implicative fuzzy, propositional basic fuzzy, ordered monoids rl, bl algebras alge, monoids bounded residuated, filters bounded rl, implicative fuzzy, basic fuzzy logic
plane controller controlling, plane controller, logic autopilot, fuzzy logic controlled, controlled uav, uav autopilots achieved, fuzzy mean clustering, controller fuzzy mean, autonomous uav autopilots, clustering implementation fuzzy
discuss accident detection, traffic light integrated, traffic light controllers, detection using fuzzytech, traffic signal control, accident using fuzzytech, time accident detection, scenario detect accident, dynamic fuzzy logic, fuzzy logic traffic
fabrics properties bending, behavior drape coefficient, fabrics properties, weight fabric samples, drape distance, prediction drape, drape distance ratio, rigidity weight fabric, prediction drape behavior, mechanical fabrics
electricity stored bank, generated solar panels, management stand solar, logic energy management, appliances power, batteries power consumed, solar panels, essential appliances power, bank batteries power, energy storage load
transition algorithm based, used sdn based, dynamic routing qos, based fuzzy logic, defined networks sdn, algorithm based fuzzy, routing software defined, sdn internet things, routing qos, fuzzy logic dynamic
attributes handover, proposed handover, scheme reduce handover, handover algorithm trunking, network fuzzy logic, based vertical handover, reduce handover number, multiple attributes handover, vertical handover, handover decision algorithm
use fuzzy, ranges fuzzy logic, machining type stamping, control precision stamping, fuzzy logic, precision stamping process, stamping process fuzzification, process based fuzzy, logic process parameters, based use fuzzy
fired boiler combustion, used combustion control, solid fuel boiler, fuel boiler continuously, better boiler combustion, logic based combustion, control combustion control, fuel air boiler, control using fuzzy, combustion control simulate
use implementation pumping, pumping equipment article, pumping equipment emerging, issues fuzzy, fuzzy logic actuality, power costs researching, use power costs, pumping, discusses issues fuzzy, actuality fuzzy logic
balancing fuzzy rules, algorithms based fuzzy, balance storage systems, economical balance storage, based fuzzy logic, types electrochemical batteries, electrochemical batteries, microgrid renewable energy, operating microgrid, controlling hybrid energy
robot developed, simulation artificial, development virtual firefighting, methods firefighting case, virtual robotics case, virtual robotics experiment, environments firefighting robot, simulation artificial environment, firefighting robot, case virtual robot
evaluate safety limited, danger value using, safety region, safety value index, safety region region, methods evaluate safety, value using safety, enhancement safety metric, safety geographical area, safety geographical
pv solar panels, systems based renewable, battery hybrid, renewable energies combining, energy sources storage, based renewable, photovoltaic pv, energy stand pv, photovoltaic pv solar, wind battery hybrid
using fuzzy, cyberbullying social aggressive, meeting transcripts cyberbullying, cyberbullying, detection using fuzzy, sentiment classification aims, cyberbully, recordings sentiment classification, keyword extraction sentiment, extraction sentiment
magnet synchronous generator, synchronous generator pmsg, current wind speed, dc boost converter, current wind, point tracking mppt, fuzzy logic based, simulink proposed mppt, energy includes wind, maximum power point
tomato, tomato fruit stages, identify tomato, unripe tomatoes researchers, fruit stages using, mq135 sensors, tomato ripeness, country tomato production, mq7 mq135 sensors, component analysis fuzzy
fuzzy logic cluster, sensor networks crsn, cluster heads gateway, logic cluster heads, energy consumption cluster, routing algorithm based, protocol cognitive radio, networks using fuzzy, aware routing, cognitive radio sensor
converter power controller, sliding mode control, boost converter power, converter fuzzy, conventional pi control, source fed boost, used feedback controllers, controllers fuzzy logic, fed boost converter, fuzzy logic pi
fuzzy inference method, simulation matlab microcontroller, mamdani fuzzy, logic mamdani method, matlab microcontroller, microcontroller using, implement fuzzy logic, experimental fuzzy logic, programming programming microcontroller, logic mamdani
product reviews classify, sentiment classification approach, review documents sentiment, features product reviews, sentiment analysis process, based sentiment analysis, reviews classify reviews, logic based sentiment, documents sentiment analysis, sentiment opinion polarity
winding machine based, logic control filament, precision fiber optic, filament spool spool, transfer filament spool, high precision winding, precision winding pattern, thread yarns optical, winding addition fiber, optic winding density
efficiency network sensor, wsns wireless sensor, remaining energy sensor, wsn clustering proficient, wireless sensor, energy sensor, fuzzy logic wsns, cluster considered, cluster head selection, cluster considered cluster
fuzzy logic technique, logic fault diagnosis, fault diagnosis power, methods using fuzzy, transformer presented, transformers using dissolved, power transformer presented, fault diagnosis, diagnosis using fuzzy, power transformers using
fault classification method, hvdc fuzzy, current hvdc, hvdc fuzzy logic, fault diagnosis classification, simulated hvdc systems, dependability hvdc, seen hvdc systems, hvdc systems indispensable, current hvdc systems
global navigation satellite, reception state fuzzy, n0 signal reception, navigation satellite, gps signal efficiency, positioning gps signal, rhcp n0 signal, gnss positioning, gnss based systems, antennas technology fuzzy
trustworthiness sellers, instagram need trust, assessing instagram, instagram seller, frauds involving instagram, important assessing instagram, evaluate trustworthiness sellers, instagram sellers customers, perspective trustworthiness instagram, instagram seller model
applied smart fish, fish feeding systems, designing fish feeder, smart fish, fish feeder criteria, fish feeding, user automatic fish, controller smart fish, feed using fuzzy, prototype smart fish
fuzzy logic controller, robot navigate successfully, labyrinth environment using, mobile robot navigate, avoidance labyrinth, successfully labyrinth environment, static obstacles controller, nonholonomic mobile robot, mobile robot, obstacles controller programmed
question answering, applying fuzzy logic, score candidate answers, answers qas using, qas using indonesian, answering indonesian, scoring similar text, indonesian language methodology, aims applying fuzzy, logic improve score
using fuzzy logic, temperature carbon emissions, fuzzy logic analysis, climate modelling, fuzzy regression historical, global mean temperature, mean temperature carbon, fuzzy model function, climate modelling process, study fuzzy inference
intelligent heating systems, logic based heating, self controlled heating, heating rules, self learning heating, learning heating, heating systems operation, optimization heating rules, fuzzy logical managing, heating systems depends
logic fuzzy rules, testing based, distribution students, fuzzy rules constructed, tasks distribution, students testing considering, testing considering grade, fuzzy logic article, progress based fuzzy, implementation tasks distribution
cluster formation issue, clustering algorithms proposed, ga optimize fuzzy, energy efficient cluster, cluster head selection, cgafl fuzzy inference, clustering popular routing, optimized fuzzy logic, network lifetime clustering, fuzzy logic wireless
alzheimer disease pre, fuzzy logic 3d, florbetaben brain images, alzheimer disease ad, logic 3d mri, 3d mri brain, order predict alzheimer, disease fuzzy logic, disease fuzzy, brain images classification
autonomous electric vehicle, position movement autonomous, movement using fuzzy, autonomous vehicle run, vehicle sugeno fuzzy, autonomous vehicle sugeno, autonomous vehicle able, autonomous vehicle considering, position control autonomous, control position autonomous
logic controller, speed control ebara, matlab simulink, asynchronous moto pump, ifoc fuzzy logic, matlab simulink environment, speed regulation scheme, ifoc fuzzy, classic ifoc fuzzy, speed control different
fuzzy logic lifetime, wireless sensor, energy dissipation wireless, constrained sensor network, network energy dissipation, enhance lifetime sensor, sensor network resource, lifetime analysis sensor, lifetime wireless, network using fuzzy
results fuzzy pid, pid based fuzzy, control method fuzzy, bldc motor electronically, bldc motor drive, speed control bldc, motor controller design, pid control method, pid controller using, bldc motor speed
improving automation, automation regulation, automation regulation processes, existing systems fuzzy, process control systems, principles fuzzy logic, industry systems automation, fuzzy process, efficiency intelligent systems, fuzzy logic approach
leach efficient existing, logic wireless sensor, nodes clustering, sensor network wsn, energy consumption clustering, leach algorithm famous, clustering using fuzzy, nodes clustering strategies, fuzzy logic wireless, weaknesses leach efficient
classification river water, water quality occurrence, using fuzzy, river water pollution, make monitoring classification, pollution using artificial, fuzzy logic method, intemet things iot, fuzzy logic development, things iot monitoring
gives soil qualitative, using soil test, capture image soil, image soil sample, soil test kit, determining nutrient, result determining nutrient, image soil, identify nutrient content, nutrient detection
power transformers using, fuzzy inference detecting, power transformer complexity, flow power transformer, transformers using fuzzy, faults transformer observed, power transformer normal, transformer observed, detection faults power, transformers using
estimate implementation time, ucp using fuzzy, use cases goals, estimation project estimation, fuzzy membership functions, calculate use, fuzzy size estimation, implementation time effort, use case point, study provides fuzzy
cloud computing concepts, propose fuzzy model, care applications cloud, types healthcare systems, healthcare systems, using cloud, developing cloud, services models cloud, diagnosis using fuzzy, healthcare systems including
tracking mppt, solar pv comparative, maximum power photovoltaic, fuzzy logic mppt, power point mpp, point tracking mppt, photovoltaic solar systems, pv comparative analysis, fuzzy logic control, control approach solar
major transformer costs, transformer main material, transformers use fuzzy, power expected transformers, utilities forecasting transformer, analysis transformer, materials transformers, transformer costs manufacturer, transformers installed substation, data obtained transformer
logic observer controller, sensorless vector, type fuzzy logic, vector control induction, induction motor adaptive, mras speed sensorless, mras type fuzzy, robust speed sensorless, induction motor, logic controller t2flc
features fuzzyr toolbox, programming language fuzzyr, fuzzy toolboxes fuzzytoolkituon, interval type fuzzy, fuzzy inference systems, package fuzzyr extended, language fuzzyr, fuzzyr toolbox does, extended fuzzy logic, type fuzzy inference
doubts incorporated membership, membership functions, cases membership functions, fuzzy, ignoring doubts, doubt ignoring doubts, accurately degree truthiness, membership functions deal, calculation degree truthiness, logic fuzzy logic
based optimized recommendations, generated recommendations techniques, supported automated recommendations, recommendations data patients, fuzzy logic based, expert relies data, improve fuzzy rules, monitoring fuzzy logic, data patients monitoring, continuous health monitoring
data classification problem, classifier, uncertainties stochastic fuzzy, classification data uncertainties, classification data, fuzzy method proposed, generates probabilistic fuzzy, probabilistic fuzzy configuration, stochastic fuzzy nature, stochastic data classification
shiphandling difficulty level, shiphandling fuzzy, ferry smdf improvement, ferry operation regulator, model ferry smdf, shiphandling fuzzy logic, standard criteria ferry, logic result shiphandling, shiphandling facility condition, safety level ferry
proposed adaptive fuzzy, traditional pi controller, controlling current instantaneously, astute voltage control, micro grid operating, current controller hbcc, logic pi controller, microgrid, adaptive fuzzy logic, islanded microgrid
input fuzzy controller, logic controller, switch timer iron, switching electric iron, fuzzy controller obtain, design fuzzy logic, develop fuzzy logic, switch iron product, timer iron, control temperature iron
women diabetes dataset, fuzzy logic attribute, risk classification coronary, using fuzzy, classification coronary, diabetes dataset, risk classifier, logic fuzzy logic, type fuzzy inference, diabetes dataset taken
fuzzy logic controller, unity power factor, ac dc boost, converter pfc, performance boost converter, converter pfc based, rectifier fuzzy logic, fuzzy controller, bridge rectifier fuzzy, power factor correction
fuzzy logic gps, signal acquisition failure, used signal acquisition, problem signal acquisition, optimized fast gps, logic gps widely, signal acquisition method, study gps, gps widely used, acquisition algorithm
plant installation fuzzy, wind power plant, fuzzy inference mapping, installations wind power, type fuzzy inference, output using fuzzy, systems wind power, fuzzy logic study, logic study mamdani, sugeno type fuzzy
algorithm sea water, genetic algorithm optimize, fuzzy logic type, swarm optimization genetic, type tsk fuzzy, using firefly algorithm, tsk fuzzy, heuristic algorithms applied, order optimal fuzzy, firefly algorithm particle
dynamic behavior gait, sift type fuzzy, recognition sift type, gait models scale, tracking recognition sift, scale invariant feature, gait using, invariant feature transform, abnormal gaits validation, gait
mamdani fuzzy conditional, fuzzy control systems, function fuzzy certainty, fuzzy membership functions, inference fuzzy inference, sensor network fuzzy, fuzzy certainty factor, membership function fuzzy, tsk fuzzy conditional, fuzzy conditional inferences
wind photovoltaic hydrogen, energy systems laboratory, stand hybrid renewable, exergy analysis carried, logic reported exergy, hybrid renewable energy, scale wind photovoltaic, fuzzy logic application, application exergy, systems fuzzy logic
using fuzzy logic, using technique fuzzy, air conditioning frameworks, enormously air conditioning, fuzzy logic neural, air conditioning screen, existence air conditioning, logic neural networks, smart air, technique fuzzy
method fuzzy means, id3 algorithm linguistic, fuzzy id3 algorithm, fuzzy variables data, fuzzy means fcm, classification methodology linguistic, fuzzy decision tree, using triangular fuzzy, means fuzzy id3, wabl method fuzzy
difficulty programming, traditional question difficulty, rules evaluate difficulty, question uses fuzzy, based fuzzy logic, difficulty priori evaluation, evaluate difficulty, evaluation based fuzzy, method based fuzzy, programming questions
method energy storage, energy storage controller, entire energy storage, battery pack cluster, storage controller energy, consumption energy batteries, capacity consistency battery, energy batteries topology, battery pack soc, battery clusters specific
position mobile robot, mobile robot surrounding, obstacle environment fuzzy, basic path planning, simulation mobile robot, autonomous mobile robot, obstacles avoidance using, path obstacles avoidance, mobile robot navigating, simulation path planning
approach reducing handoff, applied subsequently handoff, networks handoff decision, handoff wlan cellular, handoff decision key, wireless networks handoff, criteria initiate handoff, handoff initiations effectively, initiate handoff wlan, handoff decision metrics
voltage sag appeared, dynamic voltage restorer, types voltage sags, mitigate voltage, optimized implementation voltage, voltage restorer dvr, terms voltage sag, voltage sag frequent, restorer voltage, restorer dvr introduced
type fuzzy logic, ai addresses challenges, explainable ai addresses, logic systems explainable, black box models, hybrid deep learning, deep learning type, highly interpretable model, learning type fuzzy, ai recent years
control mechanical pulmonary, control electro pneumatic, ventilator research, ventilator pid control, pulmonary ventilator research, ventilators pid versus, algorithms electro pneumatic, pneumatic lung, fuzzy logic control, lung ventilators
fuzzy logic controller, trajectory control supplemented, tracking fuzzy logic, pneumatic cylinders actuation, controller lag friction, pneumatic robot polishing, robot polishing, axis cylinder controlling, flc implemented pneumatic, proportional flow control
cooperative bank selected, lean implementation, case study bank, banking organization cooperative, organization cooperative bank, lean implementation fuzzy, evaluate leanness level, indian cooperative bank, value leanness level, assess leanness level
acceleration parameters, mamdani fuzzy, machine motion dynamics, fuzzy logic, fuzzy logic inference, control cnc machine, change acceleration parameters, optimize operation cnc, computerized numerical control, cnc machine
inference edge detection, type fuzzy logic, edge detection defuzzification, type fuzzy, edge detection presented, edge detection method, interval type fuzzy, fuzzy logic theory, edge detection, fuzzy inference generalized
clubs bid players, player acquisitions, selection using fuzzy, use fuzzy logic, players position, logic provides teams, ipl player selection, ipl player, fuzzy logic provides, average select players
adaptive neuro fuzzy, pi fuzzy controller, control induction motor, induction motor drive, simulation induction motor, ac motors induction, drives control induction, neuro fuzzy based, fuzzy controllers parameters, fuzzy controller anfis
distributed explosion, fuzzy logic distributed, intelligent mines, targets explosion minimum, intelligent mines ad, minimum required mines, algorithm manage explosion, number marine mines, explosion localized marine, marine mines mapped
turbine pitch angle, output voltage wind, wind electrical energy, angle control wind, turbine fuzzy logic, wind speed voltage, wind turbine battery, wind turbine fuzzy, testing wind turbine, blades wind turbine
chip debugger servo, based servo motor, programmable dsp, debugger servo, debugger servo motor, motor control fuzzy, control fuzzy logic, dsp based fuzzy, logic compensator dsp, motor controlled programmable
development fuzzy logic, using fuzzy, decision making fuzzy, fuzzy logic discussing, areas fuzzy logic, extols fuzzy logic, introduction fuzzy logic, fuzzy logic computer, fuzzy logic allows, fuzzy logic knowledge
fuzzy logic controller, fuzzy pll types, loop phase power, phase locked, phase power converters, fuzzy particle swarm, loop pll operates, tracking phase jumps, particle swarm optimization, integrate fuzzy pll
energy storage supervision, device mvdc fuzzy, bridge dab converter, bus fuzzy logic, mvdc power load, ship power management, fuzzy logic based, hybrid energy storage, mvdc power battery, energy storage hess
fuzzy logic transformer, logic transformer, secondary currents transformer, protection transformer uses, transformer protection various, currents transformer, faults transformers deemed, detect fault transformer, relay using fuzzy, fault transformer paper
fuzzy logic controller, controller pv, concepts solar tracking, based fuzzy control, photovoltaic, solar tracking, photovoltaic panels, fuzzy logic controllers, research solar tracking, fuzzy logic control
fuzzy logic controller, adaptative fuzzy power, generation power wecs, based fuzzy logic, representation wind energy, wind conversion, induction generator, induction generator ig, controller based fuzzy, wind power day
area using fuzzy, development regional industrial, competitiveness regions required, products fuzzy logic, regional main products, sula island district, logic approach regional, industrial competitiveness sula, regional sula island, main products fuzzy
fragmentation fuzzy, elastic optical networks, fragmentation fuzzy logic, define spectrum fragmentation, fragmentation based fuzzy, optical networks based, dynamic spectrum assignment, optical networks, selected spectrum assignment, spectrum assignment connection
fuzzy based pooling, cnn proposed conventional, size convolved features, convolutional neural network, image classification, cnn uses, pooling image, classification pooling method, pooling method fuzzy, features type fuzzy
robots fuzzy logic, tracer robot motion, navigate robot wall, robots equipped fuzzy, build robot wall, control robot hc, tracer robot make, logic robot compared, tracer robot wall, faster robots fuzzy
diagnoses patients, 19 symptoms using, covid 19 test, approach detection covid, identification suspected covid, symptoms using fuzzy, symptoms infected covid, covid 19 important, covid 19 using, infected covid
problem stabilization interval, algorithm interval type, plant interval type, stabilization interval, fuzzy t1 fs, tsk fuzzy logic, tsk fuzzy, type fuzzy it2, logic control systems, interval
transformer oil, compared results fuzzy, fuzzy logic models, introduces fuzzy logic, transformer oil effective, quantification classification using, dga interpretation techniques, power transformer condition, power transformer, gas analysis dga
mode converter incorporating, controller switched mode, power electronic converter, pid fuzzy logic, conventional pid controller, converters variety applications, pid controller fuzzy, fuzzy logic control, integral controller switched, converter application electronic
gait patterns anterior, gait patterns healthy, kinematics emg data, fl recognizing gait, framework classification gait, electromyography emg data, fuzzy logic, interval type fuzzy, recognizing gait, subjects based interval
arousals subject inter, density arousal index, arousals fuzzy, metrics arousal density, searching arousals fuzzy, yielded metrics arousal, different types arousals, arousals fuzzy logic, arousals estimating neuronal, movement related arousals
indicators evaluate business, intelligent management model, application fuzzy, logic use fuzzy, use fuzzy logic, business processes enterprise, enterprise processes, evaluation business processes, performance indicators business, production use fuzzy
using fuzzy algorithm, fuzzy algorithm classification, fuzzy logic method, environmental condition monitoring, data processed waspmote, smart environment, waspmote smart environment, sensor network wsn, obtained sensor data, wireless sensor network
fuzzy logic controller, access networks aimed, layer fuzzy logic, environment select network, implementation fuzzy logic, preference network parameters, network desired running, network selection mechanism, implementation fuzzy, radio access networks
using fuzzy logic, using fuzzy, vulnerabilities important assess, vulnerability scoring cvss, expert judgments fuzzy, vulnerability risk, rules risk assessment, risk assessment telecommunication, vulnerability assessment telecommunication, method fuzzy rules
optimizing fuzzy systems, genetic type fuzzy, objective genetic type, selection solution pareto, evaluate optimizing fuzzy, multiobjective genetic, using genetic algorithm, workforce area optimization, multi objective, allocation mobile field
damage detection method, damage detection, fuzzy logic method, bridge used verify, diagnosis bridge critical, structure fuzzy, bridge using modal, fuzzy logic based, damages bridge modal, supported bridge using
robot controllers inputs, comparison mimo mamdani, implementation comparison mamdani, controllers inputs ultrasonic, fuzzy logic, mimo mamdani, wall tracking behavior, logic controllers wall, mobile robot, behavior mobile robot
xml documents collections, rank xml, retrieved xml, retrieval results approach, xml elements, fuzzy link based, granularity xml information, information retrieval combines, information retrieval, evidence rank xml
using fuzzy logic, temperature control advantages, fuzzy logic based, temperature treatment chamber, microcontroller presented fuzzy, temperature, fuzzy logic controllers, logic fuzzy logic, design temperature, temperature treatment
straight microchannels, fuzzy rules simulation, simulation flow control, microenvironment microchannel systems, microchannel systems critical, microenvironment microchannel, applied pressure fuzzy, flow control straight, fuzzy logic control, pressure fuzzy rules
xlpe used insulation, tool predict insulation, evolution thermal aging, insulation high voltage, thermal aging reason, xlpe insulation properties, properties thermal aging, quality xlpe insulation, used insulation high, thermal aging work
fuzzy logic technique, pis control converters, connected boost converter, controller nowadays power, boost converters transform, boost converter solid, voltage fuzzy, fuzzy logic based, control converters operation, power factor correction
fuzzy logic indoor, sensors cluster, sensor detect indoor, network based fuzzy, wireless multi sensor, multiple sensors cluster, multi sensor data, multi sensor detect, sensor networks based, sensor limited indoor
stand pv, solar pv array, standalone pv compiled, power point tracking, point tracking control, control using fuzzy, pv array real, power point solar, tracking based fuzzy, fuzzy logic control
quantum genetic algorithms, algorithms type fuzzy, optimization interval type, controller using quantum, using type fuzzy, controller adapted quantum, design interval type, uncertainties quantum genetic, fuzzy set interval, logic controller t2qflc
ontologies obtained, ontologies kind, ontology collection logic, fuzzy logic, integrating fuzzy logic, unranked fuzzy theory, unranked fuzzy language, knowledge representation ontology, develop unranked fuzzy, ontologies information vague
diesel engine thermal, automatically diesel engine, fuzzy logic, based fuzzy logic, fault method fuzzy, method fuzzy logic, identifying automatically diesel, engine fault method, parameters diagnose diesel, diagnose diesel
using fuzzy logic, level inverter letter, elimination pulsewidth modulation, gate design fuzzy, inverter symmetric, inverter, cascaded multi level, logic gate design, fuzzy logic based, proposed switching technique
apply theories fuzzy, logical model, theories fuzzy, construction fuzzy, fuzzy sets, logic model solving, algorithm program constructing, fuzzy sets numbers, logic model, constructed algorithm developed
disturbance observer design, disturbance estimation rejection, gaussian stochastic control, fuzzy weight dynamics, dob fuzzy controller, fuzzy identification technology, problem disturbance estimation, fuzzy identification paper, observer based pi, type fuzzy feedback
fuzzy logic controller, ip cart lqg, lqr kalman filter, logic controller lqg, inverted pendulum ip, pendulum cart, stabilize inverted pendulum, cart lqg combination, lqg controller design, inverted pendulum
game artificial, using fuzzy, logic artificial intelligence, character fuzzy, game artificial intelligence, artificial intelligence mechanism, parameters fuzzy logic, artificial intelligence plays, fuzzy logic use, character fuzzy input
solution fuzzy logic, logic ph controller, ph fuzzy, pumps used controller, efficient controlling ph, controller position pump, solution fuzzy, control ph wastewater, variable speed pumps, pumps controlling processes
clusters instead sending, dsns clusters used, better leach protocol, processing distributed sensor, logic based clustering, cluster head selection, sensor networks, leach protocol, logic based cluster, energy latency cluster
sensor networks wsns, application mobile sinks, distance mobile sink, sensor nodes network, wireless sensor, mobile sinks depending, sink relative sensor, logic based clustering, clustering approach mobile, collects data sensor
humidity fuzzy logic, sensor temperature humidity, controlling temperature, heat kill tarantula, tarantula terrarium, algorithm temperature humidity, terrarium using fuzzy, invertebrates proper temperature, humidity invertebrates prone, control tarantula terrarium
approach corporate sustainable, sustainability management, corporate financial performance, sustainability management fuzzy, sustainability assessment, management fuzzy, corporate environmental performance, fuzzy logic corporate, logic corporate sustainability, financial performance corporate
drive motor inverter, logic controller inverter, magnet brushless dc, dc motors study, wheel permanent magnet, controller speed motor, brushless dc motors, circuit controlled fuzzy, controlled fuzzy logic, logic control wheel
inverter characterized used, fuzzy logic protection, inverter country, capability power inverter, protection fuzzy logic, reliability power inverter, monitoring fuzzy logic, power inverters minimum, monitoring fuzzy, parameters power inverter
inference applied logical, propose method fuzzy, fuzzy conditional, new method fuzzy, muzomoto proposed logical, conditional inference, inference reasoning, inference form muzomoto, conditional inference reasoning, method fuzzy
use fuzzy description, detection cids hybrid, detection cids, supervising security large, fuzzy description logics, networks use fuzzy, model composite intrusion, using fuzzy description, security large networks, intrusion
voltage power stability, control approach electric, controller fuzzy, undervoltage settings, logic controller fuzzy, fuzzy pi controllers, voltage regulation electrical, power factor voltage, control undervoltage overvoltage, factor voltage stability
sensor networks wsns, network scalability energy, scheme propose cluster, scalability clustering scheme, logic based clustering, logic based energy, energy efficiency network, wsn reduce energy, cluster head, hop wireless sensor
missile simulator written, selected cruise missile, cruise missile fuzzy, targeting cruise missile, simulator trajectory missile, cruise missile flight, missile control, missile fuzzy logic, missile fuzzy, missile based fuzzy
simulated annealing sa, fuzzy logic systems, annealing cooling, determining best cooling, cooling schedule rule, choice cooling schedules, adaptive cooling, static cooling schedule, training fuzzy logic, optimization fuzzy logic
logic transformer bert, subtle indicators sarcasm, sentimental classifier sarcasm, identify sarcastic nuances, indicators sarcasm utilizing, bert based fuzzy, logic sentimental classifier, sarcastic expressions accommodating, techniques sarcasm, fuzzy logic sentimental
performance fuzzy, nonlinearities tuning fuzzy, different conventional fuzzy, intelligent controllers parameters, controller conventional intelligent, performance fuzzy logic, nature fuzzy controllers, fuzzy controllers come, particle swarm optimization, logic controller control
concepts balanced sets, problems fuzzy balanced, fuzzy set concept, sets balanced, fuzzy sets study, fuzzy sets operators, balanced sets, operations balanced fuzzy, concept balanced fuzzy, fuzzy sets operations
vehicle fuzzy, rgb camera object, vehicle self driving, fusing lidar, vehicle fuzzy logic, sensor rgb, object detection autonomous, sensor rgb camera, fusing lidar sensor, self driving reliable
fuzzy logic rudder, position dc servo, based lqr controller, position control fuzzy, servo motor stable, using dc servo, control fuzzy, rudder control using, aircraft servo motor, control fuzzy logic
population anemia, diagnosing types anemia, diagnosis fuzzy logic, labview anemia, diagnosis fuzzy, anemia developing rules, anemia implementing simulation, using labview anemia, undefined diagnosing anemia, anemia aware high
fuzzy logic controller, handoff decision vhd, low complexity fuzzy, computational complexity fuzzy, parameters fuzzy logic, handoff decision different, based vertical handoff, make handoff decision, algorithm rough set, decision algorithm rough
fuzzy logic controller, analysis ac drive, motor total harmonics, control speed current, using svpwm technique, drive svpwm, speed control techniques, characteristics analyzed fuzzy, induction motor total, induction motors
controlling stabilizer rules, stabilizer fpss developed, oscillations power fuzzy, variables fuzzy, logic controller power, power stabilizer fpss, variables fuzzy set, fuzzy logic based, power stabilizer damping, form fuzzy rules
type fuzzy sets, make personalized diet, fuzzy logic t2, better type fuzzy, diet domain knowledge, fuzzy inference mechanism, linguistic recommendation mechanism, dietary assessment recommendation, experts diet, adaptive dietary assessment
long video sequences, videos sequences, algorithm video activity, videos sequences classification, event detection soccer, events long video, detection soccer, event activity detection, event detection systems, soccer videos
fuzzy logic controller, fuzzy controller dstatcom, simulink fuzzy controller, voltage sag, voltage sag using, used voltage sag, fuzzy controlled dstatcom, improvement genetic algorithm, sag improvement power, ga optimized fuzzy
maintain distance robot, obstacle robot avoid, distance robot obstacle, robot navigation, obstacle right sensor, fuzzy method autonomous, robot arduino, fuzzy logic control, vehicle robot, logic robot avoid
tracking mppt, fuzzy logic peak, pv panel dc, photovoltaic, controllers based fuzzy, review mppt controllers, photovoltaic produced power, trackers photovoltaic photovoltaic, power point mpp, fuzzy logic controllers
type fuzzy neuro, kalman filter based, fuzzy logic considered, fuzzy membership, type fuzzy membership, parameters type fuzzy, kalman filter, extended kalman filter, kalman filter optimization, fuzzy logic feedback
