English Grammar Books, English, English words, Century English grammar, Gutenberg Project, Grammar Books, English learning, Century English, named English, books named, Grammar, books named English
uncertain dynamics, proposed fuzzy logic, Fuzzy logic control, show the effectiveness, control, logic control, Fuzzy logic, tracking control problems, uncertain robot, improve the robustness, adaptive fuzzy logic, output constraint
profiling system based, color profiling system, study proposes, Automated vehicle class, system, intelligent traffic system, color profiling, distinct information, specifically have distinct, traffic system, automated car profiling, vehicle class
Nutrient Concentration Control, Total Dissolve Solid, control nutrient concentrations, Control System, Fuzzy Logic, Hydroponic, fuzzy logic controller, set point, adjust the angle, Hydroponic Plants Based, concentrations in hydroponic, Concentration Control System
suitable control technique, suitable control, electrical machines, fast processes, electrical, machines, logic applied, Fuzzy logic, control technique, fuzzy logic algorithm, technique for fast, Fuzzy logic applied
Digital images, logic Digital images, artificial neural, Digital, artificial neural network, logic Digital, source of information, Image enhancement, fuzzy logic Digital, Image, fuzzy logic, shows the effectiveness
widespread adoption due, Electric Bicycle, Bicycle Controller, essential aspect, energy-efficient operation, witnessing widespread, Fuzzy Logic Traveling, modern life, adoption due, Electric Bicycle Controller, witnessing widespread adoption, aspect of modern
group of wheeled, group formation, logic-based group formation, group formation control, Fuzzy logic-based group, multiple wheeled robots, logic-based formation control, wheeled mobile robots, multiple wheeled, paper presents, formation control scheme, formation shape control
Residential grid connected, connected solar inverter, grid connected inverter, fuzzy logic algorithm, fuzzy logic DC-DC, Power Point Tracking, grid connected, DC-DC converter based, Maximum Power, Maximum Power Point, fuzzy logic, logic DC-DC Converter
compared the output, input signal received, Fire Fighting Robot, fighting robot based, fighting robot requires, Fire Fighting, Fuzzy Logic Control, Fuzzy Logic, Flame Detector, Fire, Robot, Logic
Drives This Direct, Logic DTC Strategies, electromagnetic torque based, Fuzzy Logic DTC, IPMSM Drives, classical DTC strategy, estimation of stator, responses and reduced, DTC Strategies, DTC Strategies Aimed, Direct torque control, Comparative Study
edge detection quality, image edge detection, quality evaluation, similarity with respect, edge detection, detection quality evaluation, edge reference image, edge, image, quality evaluation Recently, edge detectors evaluation, measure the similarity
Permanent Magnet Synchronous, small-scale Wind Turbine, Magnet Synchronous Generator, Wind Turbine System, Wind Turbine, type Vienna Rectifier, Boost type Vienna, Turbine System based, Maximum Power Point, Point Tracking, Power Point Tracking, regulates the speed
measurements data application, African power, South African power, South African, Determining South African, South African distribution, big data integrity, system big data, African distribution power, African power systems, distribution power system, power system big
Approach to Predicting, Rainfall Patterns Rainfall, water resource management, Rainfall Patterns, Fuzzy Logic Approach, Fuzzy Logic, Patterns Rainfall, including agriculture, Predicting Rainfall, Logic Approach, Patterns Rainfall prediction, Predicting Rainfall Patterns
simplifies the analysis, edge detectors applied, image processing systems, essential step, systems Edge detection, edge detectors, fuzzy edge detectors, improve performance, phase in pattern, fuzzy edge, pattern recognition systems, training phase
Robot Autonomous mobile, Autonomous mobile robots, Obstacle Avoidance Mobile, Mobile Robot Autonomous, recent times, recent times gained, Avoidance Mobile Robot, times gained interest, Mobile Robot, problems of dealing, Mobile, Robot Autonomous
Nonlinear Systems, Approach Controlling nonstrict-feedback, Approach Controlling, Fuzzy Approximation Approach, Class of Nonlinear, Fuzzy Control, nonstrict-feedback nonlinear systems, overcome the difficulty, control theory, Adaptive Fuzzy Control, Approximation Approach Controlling, Controlling nonstrict-feedback nonlinear
wireless sensor, fuzzy logic, selection in wireless, sensor networks Fuzzy, cluster head, cluster head selection, wireless, wireless sensor networks, networks Fuzzy logic, reduces the frequency, head selection, research works
traffic light, adaptive traffic light, light, number of vehicles, light timing contributes, air pollution, rage and air, traffic, traffic light management, light management system, traffic light timing, vehicles arrival
Periodic Gate, Electric Vehicles, applications and Electric, Fuzzy Logic Control, Analysis of Periodic, Control Permanent magnet, Performance Analysis, Gate Signal Blocking, Periodic Gate Signal, Logic Control Permanent, Gate Signal, industrial applications
Support Based, Wireless Sensor, Decision Support Based, Sensor Network Smart, Network Smart, Smart Irrigation, Smart Irrigation Decision, Irrigation Decision Support, Wireless Sensor Network, measure the agricultural, Network Smart Irrigation, Sensor Network
Routing Load Balancing, Prototype Design, Balancing Algorithm based, Load Balancing Algorithm, Routing Load, nodes to improve, Network, Fuzzy Logic Network, network performance, Load Balancing, Design for Routing, Logic Network congestion
circuits in CMOS, fuzzy logic union, digital asynchronous circuits, CMOS technology, fuzzy set operators, fuzzy logic intersection, digital asynchronous, paper presents, transistor level, fuzzy logic, Implementation of fuzzy, technology This paper
tools aims, make it easier, Fuzzy Logic Control, Fuzzy Logic, Copra Production, oil producing, copra producing tools, raw materials, oil producing industries, industries to obtain, Logic Control, producing tools aims
vent fan, relative humidity, tomato growth chamber, control the temperature, Carbon Dioxide, prototype tomato growth, growth chamber, fuzzy logic controller, fuzzy logic, MATLAB fuzzy logic, humidity and Carbon, fan and growlight
Logic Based VANETS, interconnect a group, Vehicular ad-hoc, Fuzzy Logic, Smart Transportation System, Vehicular ad-hoc network, Based VANETS, Smart, roadside base stations, logic based vehicular, Fuzzy Logic Based, well-organized transportation system
Parafoil air-dropped control, emergency situation, key technology, interval type, logic Nowadays, parameter was defined, fixed set-point based, cross track error, fuzzy logic, rescue material, fuzzy logic Nowadays, Parafoil
wireless sensor, important role, cluster, thousands of small, Today WSNs, Today, consist of thousands, sensor, wireless, wireless sensor networks, networks Today WSNs, sensor networks Today
devices and public, number of endmembers, estimate the number, hyperspectral image, create material maps, hyperspectral, systems to estimate, endmembers present, real and synthetic, fuzzy logic, fuzzy systems, public data-sets
robot hierarchical navigation, system, control system, humanoid robot motion, Humanoid robot, Humanoid robot hierarchical, supervisory control system, Fuzzy Inference System, paper presents, robot motion planning, presents a supervisory, Petri net
Fuzzy, input-output uncertainty modeling, Fuzzy Logic, Fuzzy Sets, Systems, number of embedded, Fuzzy Logic Systems, uncertainty modeling, Logic Systems, uncertainty, Monte Carlo simulation, Logic
stirred tank, Proportional Integral, tank heater, Proportional Integral Derivative, Integral Derivative, stirred tank heater, tank heater temperature, heater temperature control, fuzzy logic, genetic algorithm, determine Proportional Integral, temperature control process
Lithium-Ion Hybrid Super, logic based systems, Hybrid Super, Super Capacitors management, fuzzy logic based, VHDL based Neuro-Fuzzy, Neuro-Fuzzy Lithium-Ion Hybrid, Hybrid Super Capacitors, neural fuzzy logic, analyses the potential, VHDL language imposes, based Neuro-Fuzzy Lithium-Ion
electrical distribution system, harmonic elimination Active, active power filter, reactive power, shunt active filter, power, elimination Active filters, shunt active, Fuzzy logic controlled, controlled shunt active, current harmonic elimination, reactive power compensation
Matlab LMI Toolbox, fuzzy model, fuzzy logic control, fuzzy controllers, fuzzy, logic control systems, logic control, Takagi-Sugeno fuzzy logic, interval, conditions for interval, fuzzy logic, stability conditions
vehicle started, Electric Bicycle, Fuzzy Logic Control, Fuzzy Logic, started to developed, energy converting method, Electric, energy, Soft-Starting Method Brushless, Method Brushless, electric vehicle started, Logic Control
logic CMRS, fuzzy logic CMRS, Geomechanical, Central Mining, classification system based, Mining Research, Geomechanical rating, Research Station, Station, Central Mining Research, Mining Research Station, Central
needed to ease, Fuzzy, making is highly, Fuzzy Mamdani Logic, System, Fuzzy Mamdani, decision making, Mamdani Logic, Fuzzy Inference System, ease teacher, highly needed, Logic
frequency domain analysis, Field, stability analysis includes, Genetic algorithm, armature controlled, main focus, domain analysis, Fuzzy logic, logic and Genetic, Stability analysis, analysis, Field controlled
Fuzzy, Secondary Memberships, Sets, Fuzzy Sets, Memberships, Operations, Meet, Join and Meet, Bustince Sola, interval-valued fuzzy sets, arbitrary secondary memberships, Meet Operations
Design and implementation, logic controller Green, implementation of closed, closed loop controlled, Green energy resources, achieve global sustainability, loop controlled boost, controller Green energy, controlled boost converter, Green energy, readable solution, boost converter
hybrid mobile-quadrotor vehicle, fixed path, logic based approach, construct the input, fuzzy logic control, fuzzy logic based, quadrotor vehicle, perform goal seeking, study presents, Obstacle avoidance, fuzzy logic, hybrid mobile
achieve cooperative diversity, achieve cooperative, soft demapping technique, Forward, wireless networks Relays, networks Relays, Quadrature Amplitude Modulation, cooperative wireless, Amplify and Forward, cooperative wireless networks, LDPC receiver, Decode and Forward
processors increased drastically, advancement of Electronics, controller, fuzzy logic based, complex problems efficiently, power consumption, fuzzy, accurate and efficient, fuzzy logic controller, general purpose controllers, fuzzy logic, logic
Decomposing Conventional Fuzzy, Hierarchical Fuzzy Systems, Fuzzy, Logic, Systems Hierarchical Fuzzy, Fuzzy Logic, Fuzzy Systems Hierarchical, Fuzzy Systems, Fuzzy Logic Systems, Logic Systems, Hierarchical Fuzzy, Conventional Fuzzy Logic
Head Selection based, Head Election Algorithm, body area networks, wireless body area, low energy usage, Fuzzy Logic, Improve Lifespan, Improved CHSFL, Cluster Head Selection, limitations of wireless, Cluster Head, Logic to Improve
proven the effectiveness, system, controlled intelligent traffic, handling vehicular congestion, traffic, light system Pre-timed, logic controlled intelligent, Pre-timed traffic light, process the information, traffic light system, intelligent traffic, system Pre-timed traffic
wireless sensor network, Natural Disaster Monitoring, Optimization Algorithm Based, Clustering Optimization Algorithm, number of cluster, Line Natural Disaster, Transmission Line Natural, Line Natural, Research and Application, Clustering Optimization, factor of upper, Transmission Line
Decision Making Method, Decision Making, Present world, technical evaluation, Fuzzy Logic Present, Effective Business Strategy, Fuzzy Logic, Logic Present, reach the top, Making Method, Method Using Fuzzy, Logic Present world
Fuzzy, Pendulum Stabilization Interval, applications due, Interval, compare the performance, Fuzzy Logic, handle uncertainties, Fuzzy Logic Systems, ability to handle, Logic Systems, Inverted Pendulum Stabilization, Logic
Testing, system, Mamdani and defuzzification, implement fuzzy logic, fall time, aims to implement, time, fuzzy logic controller, settling time, fuzzy logic, study aims, method of Centroid
proposed fuzzy logic, governing the performance, based wind power, turbine generating units, Fuzzy logic approach, wind turbine, wind power units, Fuzzy logic, evaluate the performance, converter based wind, based wind, wind turbine generating
Fuzzy, extinguisher to detect, Fire Fighting, Fire Fighting Robots, detect fires, Tracking fires requires, Fighting, Fire, robot, set the speed, fire sensor, fighting robot
Voltage Mode, optimize the voltage, Fuzzy Logic, optimizing electrical modes, Mode Based, regulating the position, modern promising methods, Voltage Mode Based, power systems, electrical modes based, electric power, electric power systems
Rules, Analysis YARA rules, rules utilises string, YARA rule conditions, YARA Rules, YARA rules utilises, YARA, perform malware analysis, imprecise and incomplete, Malware Analysis YARA, YARA rules employed, data and encompass
resolve the problem, Scheduling Traffic Light, measure the performance, Phase Scheduling Traffic, Light Control System, Fuzzy Logic, Traffic, Logic Traffic signals, traffic light system, light system, increase the efficiency, Traffic Light
controller, Conventional PID, Design of superheated, boiler steam turbines, fuzzy, steam, conventional PID controller, efficient operation, fuzzy logic controller, fuzzy logic, operation of utility, control
Fuzzy data, Fuzzy, Fuzzy data processing, classical Mamdani mechanism, Mamdani fuzzy inference, paper proposes, method, shows the reduction, fuzzy inference, Mamdani fuzzy, data processing based, fuzzy inference method
electric vehicle chargers, limits for economic, logic-based power system, types of loads, turbines and photovoltaic, power system stabilizer, economic purposes, increasing due, system stabilizer Variability, Variability in power, due to pushing, vehicle chargers
high voltage pulse, Duty Cycle Tuning, food, Cycle, crisis is predicted, voltage, Duty Cycle, hit the world, predicted to hit, voltage pulse generator, Tuning, nutritional crisis
hypersonic flight, Direct adaptive, fuzzy logic control, adaptive, fuzzy, fuzzy logic system, generic hypersonic flight, logic, fuzzy logic, flight vehicle, hypersonic flight vehicle, Direct
Fuzzy Logic, Aquaculture Pond, water quality, Implementation of Fuzzy, Oxygen Control System, logic controller system, Fuzzy Logic Controller, Pond The objective, temperature and dissolved, monitoring the temperature, control water oxygen, water oxygen systems
Network-based Fuzzy, Fuzzy, System completely, Fuzzy Logic inference, Adaptive Network-based Fuzzy, Fuzzy Logic, inference System completely, goal Adaptive Network-based, Network-based Fuzzy Inference, describe inference structure, ANFIS, Fuzzy Inference System
particle swarm optimization, served a purpose, clustering, global search, swarm, optimization, Intelligence, global search method, logic Swarm Intelligence, Swarm Intelligence algorithms, purpose of global, constantly served
Power System, Fast stability achievement, Power, Power System Controllers, synchronous generator Power, System, excitation control, stabilized operation, based non-linear excitation, generator Power System, non-linear excitation control, maintain power system
Fuzzy, Simple Matlab Simulink, control problems, Model for Adaptive, Logic, Fuzzy Logic, Simple Matlab, Matlab Simulink Model, Fuzzy Logic Systems, Logic Systems, Adaptive General, Simulink Model
long transmission lines, neuro fuzzy inference, power transfer capacity, Power System networks, enhance power transfer, Series compensation, solution to damp, fuzzy inference system, controller Series compensation, fuzzy logic controller, adaptive neuro fuzzy, system controller Series
Fuzzy, inference, system based, modeling method based, fuzzy system, time-varying system based, based, Fuzzy inference modeling, modeling, Fuzzy inference, inference modeling method, method based
olfactory display efficiency, logic control software, Edge, video game computer, fuzzy logic control, Fuzzy Logic, incorporates smell generated, video game project, Edge Computing, Video Game, apply Edge computing, Olfactory Display
Based on Interpretable, Audio-visual Quality, fuzzy inference systems, Quality, fuzzy inference, Interpretable Fuzzy Logic, Quality Measurement Based, inference systems based, Parametric Audio-visual Quality, assessment is presented, Measurement Based, Audio-visual Quality Measurement
simplifies the analysis, edge detector method, fuzzy edge detector, face recognition system, edge detector simplifies, image processing systems, networks Edge detection, edge, phase in pattern, edge detector, fuzzy edge, training phase
order to adapt, Task Scheduling Algorithm, Scheduling Algorithm Based, array radar technology, Fuzzy Logic, phased array, extensive and in-depth, array radar, Task Scheduling, array radar based, Fuzzy Logic Priority, phased array radar
Identification and Removal, Logic Algorithm Radar, non-meteorological factors, Fuzzy Logic, Radar, affects the quantitative, X-band Doppler weather, Ground Clutter, Radar echoes detected, measurements of reflectivity, Fuzzy Logic Algorithm, Doppler weather
reliability and proves, fuzzy logic, laboratory crane fuzzy, crane fuzzy logic, axes including, anti-swing regulation, fuzzy logic controller, Self-scaling laboratory crane, precision and reliability, regulation is proposed, self-scaling procedure, adaptive fuzzy logic
Risk Assessment based, run for decades, lead to overload, Aging Risk, overhead transmission line, Fuzzy logic, decades may lead, line, ensure overhead transmission, Aging Risk Assessment, fuzzy logic algorithm, transmission line
Directional Earth Fault, Earth Fault Detection, Classification This paper, transmission network, Fuzzy Logic, measurement of RMS, Based Scheme, Logic Based Scheme, Logic Based, involves the measurement, Detection and Classification, Fuzzy Logic Based
Denial of Service, Enhancing secure cloud, cloud computing, environment, Detecting DDoS attack, Detecting DDoS, environment by Detecting, cloud, part and parcel, Detecting, attack, daily life
regulate the number, Adaptative Fuzzy Logic, Permanent Magnet Synchronous, number of revolutions, Magnet Synchronous, Permanent Magnet, Fuzzy Logic, Control Based, Intelligent Control Based, Based on Adaptative, speed control, Magnet Synchronous Machine
turbine fed induction, turbine fed, fed induction generator, pitch angle control, Pitch Angle Fuzzy, fed induction, developed and simulated, Angle Fuzzy Logic, wind turbine fed, fuzzy logic controller, fuzzy logic, pitch angle
inverted pendulum system, upright position, pendulum system, Rotary, Fuzzy Logic, Pendulum, Real-time Control, Control, Rotary Inverted Pendulum, major objective, Rotary Inverted, order to create
mounted robotic arms, Wheelchair mounted robotic, prove the performance, Logic Wheelchair mounted, Fuzzy Logic, upper extremity impairments, Two-link Robotic Arm, Fuzzy Logic Wheelchair, improving independent living, Fuzzy Logic Controller, Robotic Arm, individuals with physical
Fuzzy Logic, position PID controller, Trajectory Tracking, Trajectory Tracking Accuracy, industrial automation, Genetic based Optimized, Fuzzy Logic Controller, Enhanced Trajectory, Tracking Accuracy, Enhanced Trajectory Tracking, based Optimized Fuzzy, Optimized Fuzzy Logic
Monitoring Method Based, level of real-time, state monitoring aiming, engine state monitoring, monitoring engine state, Fuzzy Logic, fuzzy inference, Vibration Monitoring Method, Logic In order, fuzzy inference technology, shows the effectiveness, engine state
Cuk Converter, Aerospace Application, proposed fuzzy logic, Application, Application The paper, Controller, Fuzzy Logic, Cuk, Converter, Fuzzy Logic Controller, Aerospace, Logic
Time series, fuzzy models, Conventional, systems Conventional fuzzy, models, Time, series, fuzzy, improvements of prediction, Conventional fuzzy time, intuitionistic fuzzy logic, logic systems Conventional
high control quality, Development of fuzzy, industrial applications, inexpensive microcontroller Today, microcontroller Today, types of electric, require the mathematical, robotic and industrial, fuzzy logic controller, fuzzy logic, AVR Atmegalô microcontroller, electric motors
hybrid-electric vehicles, component of electric, electric and hybrid-electric, logic system, important component, battery parameters, Li-Po batteries based, BMS, fuzzy logic system, management system, fuzzy logic, battery management system
plays a crucial, Static, Fuzzy Logic, Static VAR, Based Static VAR, VAR Compensator, Logic Based, Fuzzy Logic Based, Static VAR Compensator, efficient grid interface, design Induction Generator, Logic Based Static
fuzzy logic systems, prior knowledge monotonicity, methods of integrating, noisy circumstances, Single-Input Single-Output, paper presents, integrating prior knowledge, first-order Single-Input Single-Output, prior knowledge, fuzzy logic, presents the methods, logic systems
recently electric vehicles, Fuzzy Logic controller, Algorithm for Low, electric vehicles play, Due to day, torque to weight, play major role, vehicles play major, Fuzzy Logic, BLDC motor, Low Cost Electric, Fuzzy Logic Algorithm
queue, decision algorithm, priority queue, queue scheduling approach, logic-based decision algorithm, support in Diff-Serv, quality of service, queue scheduling, queue priority, priority, account the dynamic, fuzzy logic-based decision
digital CMOS, traffic light, digital CMOS implementation, reconfigurable fuzzy logic, CMOS, procedure of CMOS, fuzzy logic traffic, logic traffic light, traffic light control, light control, Intricacies in digital, CMOS design
Boost Converter, Boost, Quadratic Boost Converter, inductor-based soft-switched Quadratic, Fuzzy Logic, introduces of successful, Soft-Switched Quadratic Boost, Quadratic, Quadratic Boost, Fuzzy Logic Controller, clamp-coupled inductor-based soft-switched, active clamp-coupled inductor-based
urban rail, rail transit security, rail transit, transit operating system, rail transit system, Fuzzy logic based, transit system operation, urban rail transit, security region evaluation, transit security region, security region, rail transit operating
based on Software, scheduling algorithm exploiting, Routing Mechanism Based, Mechanism Based, logic inference based, traffic scheduling algorithm, Effective Routing Mechanism, Defined Networking, characteristics of separation, Software Defined, Software Defined Networking, Effective Routing
fuzzy direct controller, Fuzzy direct, industry these days, Swarm Intelligence Based, Based Fuzzy Controller, widely in industry, Based Fuzzy, Intelligence Based Fuzzy, direct controller design, Level Tank Fuzzy, Water Level Tank, Nonlinear Water Level
behavior-based for real, swarm formation control, fuzzy logic, design swarm formation, real robots, Formation, real swarm, real, Fuzzy Logic Controller, swarm robot, paper presents, real swarm robot
Increase Password, Increase, Fuzzy Logic, Identifier Using Fuzzy, Identifier, major issue, Logic to Increase, Increase Password Security, issue today, major issue today, Password Security Cybersecurity, Keystroke Identifier
Diabetes Mellitus, GDM, heightened glucose levels, Mellitus, Fuzzy Logic Approach, Gestational Diabetes Mellitus, glucose levels experienced, Fuzzy Logic, health condition distinguished, Logic Approach, Risk Factors Gestational, Predicting Gestational Diabetes
controller, PI-fuzzy logic controller, Hybrid PI-fuzzy logic, FLC, logic controller based, converters, converter DC-DC converters, voltage, based DC-DC converter, controller based DC-DC, based DC-DC, DC-DC converter DC-DC
determining the level, study the characteristics, Systems This paper, solving problems, characteristics of determining, Fuzzy Logic, level of compliance, Recruitment Systems, Applications of Fuzzy, paper presents methods, Logic in Recruitment, paper presents
calculated the amount, fuzzy logic techniques, Arduino Mega, Fuzzy Logic, innovative approach, irrigation water, sensor using Fuzzy, introduces an innovative, acidity or alkalinity, reservoir irrigation water, present paper introduces, alkalinity in irrigation
city of Manado, fast causing, real time time, Time Traffic Light, ANFIS The growth, Fuzzy Logic, Real Time Traffic, Manado, level of congestion, Teling Intersection, Intersection in Manado, Manado City
show the effectiveness, fuzzy logic, temperature control, Genetic algorithm, refrigeration Genetic, logic optimized controller, optimal problems, designing fuzzy logic, fuzzy logic controller, fuzzy logic optimized, control, refrigeration Genetic algorithm
Maximum green, show the efficiency, signal control, TAC, traffic, logic Traffic Actuated, actuated, actuated signal control, traffic actuated signal, Actuated Control, green, actuated signal
Fizzy Logic Control, stage conversion method, Photo Voltaic, maximum power, integrate the SPV, Maximum Power Point, Solar Photo, Fuzzy Inference System, single stage conversion, single stage, Power Point Tracking, Solar Photo Voltaic
fuzzy lattices, elements, important role, play an important, fuzzy, complemented elements, fuzzy lattice congruence, complemented, lattice congruence relation, special elements, research of fuzzy, lattices
current and electromagnetic, proved the efficiency, horizontal axis wind, Variable Speed Wind, XSG tools Applied, Fuzzy Logic, Logic Controller Hardware, Controller Hardware Implementation, output profile quality, Fuzzy Logic Controller, turbine emulator based, Wind Turbine Emulator
fish cultivation, aquaponics cultivation, Fuzzy Logic-Based Electrical, Conductivity Control System, Electrical Conductivity Control, manage fish cultivation, Cultivation Cultivation technology, Logic-Based Electrical Conductivity, Cultivation, simultaneously manage fish, Aquaponic Cultivation Cultivation, Cultivation Cultivation
connect directly, monitoring ornamental plants, controlling and monitoring, concept internet, Automation system, fuzzy logic method, utilizes the concept, ornamental plants, embedded system, plants using fuzzy, fuzzy logic, presented the design
heaters sequential mode, Hot-Blast Stoves Unit, improve the economy, reduce the difference, time adjustment method, stabilize the temperature, Fuzzy Logic, air heaters sequential, Unit Using Fuzzy, blast temperature difference, Stoves Unit, Time Adjustment
explain the main, hybrid fuzzy logic, proposed Hybrid system, system Traffic congestion, Detection System, Intelligent Traffic light, traffic light network, dynamic hybrid fuzzy, requires extremely complex, demonstrates the main, Accident Detection System, action system Traffic
fuzzy based switching, researchers to remove, Switching Median Filter, Fuzzy based filters, Fuzzy Logic, Based Improved Switching, Logic Gain, Fuzzy Logic Gain, Median Filter, based switching median, corrupted images, Logic Gain Factor
Focus Measure Focus, Focus, astronomical observations quality, Application of Fuzzy, Fuzzy Logic, Astronomical Images Focus, essential factor, Focus accuracy, tolerant of imprecise, Images Focus Measure, Measure Focus accuracy, factor that affects
discuss and present, toolkit based, fuzzy toolbox, software toolkit based, fuzzy, fuzzy logic software, main functionality, initial version, logic inference systems, fuzzy logic, logic software toolkit, fuzzy logic inference
Permanent Magnet Brushless, fuzzy logic control, Permanent Magnet, paper proposes, fuzzy, logic control strategy, logic control, optimize parameters, Brushless Motor, fuzzy logic, Magnet Brushless Motor, control
strategy in industry, PID, proportional integral, Simulink Support Package, industry is proportional, PID controller, servo motor, Arduino based, Arduino, proportional integral derivative, shows the effectiveness, integral derivative
support the superiority, bidding price, Bidding strategies based, advertising campaigns Google, campaigns Google, Google Adwords advertising, campaigns Google Adwords, Google Adwords, fuzzy inference, fuzzy inference system, Adwords advertising campaigns, maximum bidding price
hazards in recent, Road, life threatening thing, public health hazards, health hazards, Road Accident, recent days, Data Analysis Road, based Recommendation System, Accident Data Analysis, public health, Analysis Road accidents
variables are represented, optimization for forecasting, rule base system, hybrid rule-based system, fuzzy hybrid, fuzzy, fuzzy hybrid rule-based, company in Canada, membership functions, Fuzzy Inference System, interval, fuzzy rule base
improve the performance, cell networks, centralised interference coordination, research addresses, interference coordination, cell, resource allocation, method, small, Three-state fuzzy logic, small cell networks, small cell
particle swarm optimization, conversion system equipped, Variable Speed Wind, permanent magnet generator, logic controller utilizing, energy conversion system, PSO Applied, controller utilizing particle, utilizing particle swarm, swarm optimization applied, control strategy based, fuzzy logic controller
perturbed standing, Forced Choice Interval, perturbed standing subjects, posturally perturbed standing, Choice Interval task, false positives, Interval task, sequential intervals, separate hits, subject Anterior-Posterior Center, Forced Choice, experiments to separate
hold existing, Internet of thing, goal to hold, end goal, Customer Loyalty, Internet, Customer, Fuzzy Logic, Customer Loyalty Internet, hold existing clients, focus their assets, assets and capacities
Water Pumping, Logic Controller-based Simulation, involves the development, PV-FED Water Pumping, Water Pumping System, Brushless Direct, Fuzzy Logic, Peak Current Detection, BLDC Motor, demonstrate the superior, Fuzzy Logic Controller-based, Brushless Direct Current
Fuzzy, Based DSTATCOM, Mamdani Interval Type, Fuzzy Logic, DSTATCOM device attracts, DSTATCOM device, Type II Fuzzy, Interval Type, affects the performance, Controller Based DSTATCOM, Fuzzy Logic Controller, Logic Controller Based
handover, time consuming, enhanced fuzzy, LTE, cellular networks, changing the parameters, previous cellular, enhanced fuzzy logic, Long Term Evolution, previous cellular networks, fuzzy logic, optimization technique
autonomic software, autonomic, software systems, fuzzy logic Autonomic, systems, automatically resolve, software, Predicting maintainability, produces effective software, fuzzy logic, autonomic software systems, produces effective
fuzzy membership function, fuzzy neuro systems, algorithm proposed, fuzzy neural networks, training approach based, Levenberg marquardt algorithm, training algorithm proposed, order derivatives, training, marquardt algorithm, Levenberg marquardt, neuro systems
classifying simultaneous fault, identifying types, logic for identifying, simulate fault signals, paper proposes, wavelet transform, simultaneous fault types, Application of DWT, fuzzy logic, fault types, fuzzy logic algorithm, discrete wavelet transform
Logic Theory, method for assess, Fuzzy Logic Theory, effective method, Fuzzy Logic, Operation Quality Assessment, flight exam results, Flight Operation, Flight Operation Quality, Quality Assessment Model, civil flight cadets, Assessment Model Based
Automated GPC, fuzzy logic based, based GPC online, Automated GPC tuning, event triggered mechanism, GPC tuning based, generalized predictive control, logic based GPC, GPC online tuning, fuzzy logic, fuzzy logic algorithm, event triggered
identify the efficiency, Model Predictive Controllers, Control System, Cruise Control, enhance driving comfort, Cruise Control System, Fuzzy Logic, System Cruise control, Model Predictive, Control System Cruise, underscore the importance, avoid road accidents
Stochastic Logic-Based Fuzzy, demonstrates the application, Experimental Results, Fuzzy Logic, random binary sequences, numbers are represented, Logic-Based Fuzzy Logic, random binary, Fuzzy Logic Controller, fuzzy inference architecture, binary sequences, stochastic computing
control induction motor, logic controller techniques, output membership functions, describes a simple, include overlap, Implementing fuzzy logic, fuzzy logic controller, Field Oriented Control, fuzzy logic, confirm the efficiency, vector control induction, indirect vector control
non-linear fast technological, fast technological, Fuzzy Logic Control, Fuzzy Logic, fast technological processes, modern numerical methods, Linguistic Fuzzy-Logic Control, Control, paper presents, Logic Control, sensitive non-linear fast, sampling period
fuzzy logic, steepest descent method, logic systems trained, descent method, tune the parameters, demonstrating the effectiveness, trained by steepest, fuzzy logic system, electromechanical device, switch machine, handle with uncertainties, steepest descent
highlighted the superiority, VSI fed IPMSM, drives Fuzzy set, fuzzy logic-based speed, IPMSM drives Fuzzy, fed IPMSM drives, power electronic systems, logic-based speed controller, DTC of VSI, gained great attention, electronic systems control, Fuzzy set theory
shown the feasibility, Enhanced Vector Control, Logic Speed Controller, Fuzzy Logic, Fuzzy Logic Speed, motor drive applications, Logic Speed, Vector Control, Enhanced Vector, fuzzy rules, Fuzzy Logic Controller, specific plant characteristics
maximum power, point tracking, power point tracking, solar photovoltaic modules, power, power point, solar, increasingly encouraged, electrical energy, perturb and observe, encouraged and adopted, maximum power point
disrupting plant operation, model, plant operation, deodorizer, Fuzzy logic, plant, Standard Operating Procedure, Fatty Acid Distillate, sources that disrupting, Deodorizer failure, Fuzzy logic model, High Pressure Boiler
expert system based, splits the work, estimating effort, Logic-based Expert System, Fuzzy Logic-based Expert, Expert System, task, Effort Estimation, System, scrum process splits, Scrum, Scrum Projects
inorder to detect, Edge detection finds, Image Edge Detection, enhances the performance, learning models require, Controller Edge detection, machine learning models, applied to MRI, features to simplify, Edge Detection, series of steps, reviews the effectiveness
fuzzy-logic based clustering, Wireless Sensor, Sensor Networks, Energy-efficient Clustering Algorithm, Wireless Sensor Networks, Based Energy-efficient Clustering, Fuzzy-logic Based, determines the communication, Based Energy-efficient, reduce the energy, based clustering algorithm, Fuzzy-logic Based Energy-efficient
introduces the design, analyzes the response, Mobile Robot Heading, Fuzzy Logic, Robot Heading Control, logic control, Robot Heading, Mobile Robot, Fuzzy Logic Controller, Controller This paper, paper introduces, Design of Mobile
increasingly popular, past few decades, Intelligent Control, Inverted Pendulum Based, conventional PID controller, Inference System Interval, Adaptive Interval, show the efficacy, Fuzzy Inference, Fuzzy Inference System, control an inverted, utilizes the Takagi-Sugeno
