gas algorithm Recent, algorithm Recent theoretical, fluid dynamics problems, Recent theoretical results, quantum lattice gas, solve fluid dynamics, lattice gas algorithm, Recent theoretical, theoretical results suggest, quantum information processors, algorithm Recent, information processors communicating, dynamics problems, lattice gas, communicating via classical, classical channels, fluid dynamics, nonlinear Burgers equations, Quantum lattice-gas algorithms, NMR implementation
Jooyoo Kanji-hyo, basic Japanese kanji, Japanese government published, basic Japanese, Japanese kanji, Japanese government, Web-accessible database, Japanese, including specifications, specifications of pronunciation, government published, kanji, Jooyoo, Kanji-hyo, Oxford Text Archive, Web-accessible, database, basic, characteristics, published a list
Ryder Cup matches, Ryder Cup, Cup matches, team captains order, captains order golfers, final day, team captains, captains order, Ryder, Cup, order golfers, matches, day, final, examine how team, team, captains, order, golfers, game theory
PCI card saves, card shields data, card saves power, Firewall card shields, power and space, large networks, PCI card, shields data, data The SlotShield, saves power, offer enough security, security for large, card shields, card saves, Firewall card, PCI, space, networks, Firewall, card
singular spectrum analysis, Modeling daily realized, daily realized futures, logarithmic standard deviations, singular spectrum, spectrum analysis, realized futures volatility, futures return series, important futures return, logarithmic standard, Modeling daily, futures return, standard deviations, realized volatility, realized futures, daily realized, futures volatility, volatility and logarithmic, volatility, spectrum
obtained dynamic characteristics, characteristics of computational, software applications, prior change, communication medium, effort to optimize, dynamic characteristics, computational processes, basic set, set of processors, optimal strategies-a set, obtained dynamic, dynamics of software, scalable resources, processes in scalable, characteristics, optimize the dynamics, scalableness of resources, resources of computational, strategies-a set
States Postal Service, United States Postal, center Spot welding, sorting center Spot, Postal Service, ABB RCS, Spot welding, ABB, United States, States Postal, robotic containerization system, RCS, containerization system, Post-haste, center Spot, ABB developed specifically, ABB robots, containerization system installed, machine tending, material handling
British Standard, United Kingdom, framework for geocoding, geocoding land, property information, Standard, British, land and property, property gazetteer, property, national framework, article examines, examines the role, development, land, introduction of British, Kingdom, geocoding, information, role of British
automated theorem proving, make theoretical advances, Researchers who make, theoretical advances, automated theorem, theorem proving, CADE ATP System, make theoretical, positive consequences, ATP System Competition, system performance, system, Researchers, CASC, communal system competition, competition, ATP System, design, CADE ATP, development of CASC
Chinese postman problem, mixed Chinese postman, Chinese postman, problem Arc routing, Arc routing problems, postman problem Arc, consist of finding, finding a traversal, satisfying some conditions, conditions related, postman problem, so-called Mixed CPP, mixed Chinese, CPP, Undirected CPP, graph satisfying, links, Mixed CPP, Arc routing, routing problems
fast-moving application areas, software manufacturers, application areas, LIMS inspiration, inspiration For software, form of fast-moving, fast-moving application, LIMS, maintain consistently rapid, manufacturers, blessings, areas, Integration, case of LIMS, driving seat, inspiring developers, levels of innovation, inspiration, software, form
Unified Modelling Language, Unified Modelling, Modelling Language, UML, present the logic, lightweight version, actions and real, Extending CTL, real time, LUML, Unified, Modelling, ATCTL, logic ATCTL, CTL, actions, ATCTL extends CTL, real, model checking models, time
engineering and technology, technology principles, typically difficult, difficult to learn, human-centered distributed information, distributed information systems, human-centered, Johnson Space Center, systems, Designing human-centered, Designing, NASA Johnson Space, Designing human-centered distributed, information systems, computer systems, distributed information, human-centered computing, designing human-centered computing, HCC, human-centered computing systems
flash memory programmers, flash memory, applications to design, plethora of applications, memory programmers, versatile microcontroller, flash, design, hand, microcontroller in hand, memory, faced, plethora, applications, essential, versatile, programmers When faced, microcontroller, microcontroller programmer, inexpensive microcontroller programmer
single machine scheduling, common due window, Studies a single, location penalty Studies, due window involving, machine scheduling problem, Minimizing weighted number, tardy jobs, penalty Studies, common due, due window, window involving location, single machine, machine scheduling, weighted number, involving location penalty, tardy, early, window, number of early
circular interval arithmetic, Sun and Kosmol, recent methods, simultaneous method, interval arithmetic, recent results, simultaneous determination, determination of polynomial, note we give, fourth-order for finding, finding complex, circular interval, recent, simultaneous, presented comments include, Kosmol, rediscovered iterative formula, Comments, Sun, presented comments
capable of translations, long-range translation mechanism, dimensional error compensation, piezoelectrically actuated fine, precision motion stage, actuated fine motion, article presents, presents the design, design and performance, performance evaluation, fine motion stage, translation mechanism, long-range translation, motion stage, precision motion, dimensional error, error compensation, actuated fine, stage, fine motion
paper describes application, describes application, paper describes, turbofan engine, PDQLF, SQLF, application, Linear, PDQLF controllers, control design, control, parameter-dependent control design, parameter-dependent, LPV, turbofan, engine, performance, SQLF and PDQLF, design, parameter-dependent control
Internet age, chemical mark-up language, difficult for chemistry, mark-up language, paper discusses CML, eXtensible Mark-up Language, chemical brotherhood, chemical mark-up, Internet, discusses CML, language, language could herald, chemical, discipline, mark-up, eXtensible Mark-up, brotherhood, difficult, chemistry, age
Dihedral congruence primes, primes dividing expressions, totally positive fundamental, positive fundamental unit, real quadratic fields, congruence primes, Dihedral congruence, real quadratic, form epsilon, primes dividing, quadratic nebentypus, cusp forms, nebentypus are essentially, dividing expressions, totally positive, positive fundamental, fundamental unit, essentially the primes, primes, quadratic fields
existing computer systems, wireless health care, Cutting the cord, cut the cord, health care, electing to cut, existing computer, computer systems, cord, mobile technology, executives are electing, wireless health, implementing mobile technology, mobile, personal digital assistants, adorn today professionals, healthcare executives, Cutting, care, systems by implementing
efficient multiresolution adaptive, partial differential equations, Adaptive multiresolution approach, multiresolution adaptive approach, adaptive approach combined, Adaptive multiresolution, multiresolution adaptive, efficient multiresolution, PDEs This paper, paper establishes, establishes an innovative, innovative and efficient, combined with high-resolution, system of partial, partial differential, differential equations, multiresolution approach, adaptive approach, hyperbolic PDEs, high-resolution methods
M-commerce business processes, editorial preface investigates, preface investigates current, investigates current developments, implement M-commerce business, successfully implement M-commerce, Mobile commerce, business processes, supports business, transforming the vision, M-commerce, vision into reality, reality This editorial, editorial preface, preface investigates, investigates current, current developments, successfully implement, M-commerce business, implement M-commerce
important axiomatization questions, axiomatization questions remain, general branching time, branching time Logics, questions remain open, branching time, historical necessity, long been studied, studied but important, important axiomatization, axiomatization questions, questions remain, general branching, time Logics, remain open, branching, time, Logics of general, Logics, necessity
quasi-definite linear functional, negative integer numbers, negative integer, Jacobi polynomials, negative integer parameters, integer numbers, Sobolev orthogonality, orthogonal with respect, quasi-definite linear, linear functional, Jacobi, negative, integer, beta, alpha, integer parameters, beta negative integer, polynomials, numbers, Orthogonality
Closed-loop persistent identification, linear time-invariant systems, probing signal selection, persistent identification, unmodeled dynamics, linear time-invariant, Closed-loop persistent, essential issues, selection are studied, time complexity, stochastic disturbances, closed-loop setting, linear systems, issues of time, signal selection, identification, time-invariant systems, identification accuracy, identification of linear, rank periodic signals
Toland critical points, semilinear elliptic problems, Toland sense, Toland critical, critical point, semilinear elliptic equation, convex functions, problems We prove, semilinear elliptic, Toland, Convergence of Toland, resolution of semilinear, elliptic problems, functions, converges, critical, point, sense, elliptic equation, functions and application
important clinical implications, cardiac deformation estimation, sequences has important, important clinical, clinical implications, assessment of viability, left ventricular deformation, biomechanical models, cardiac deformation, deformation, regional cardiac deformation, medical images, image sequences, Estimation, left ventricular, deformation estimation, cardiac, dense motion field, soft tissue deformation, heart wall
bookshelf face thousands, management Midcareer librarians, join the circus, thousands of choices, late to join, bookshelf face, face thousands, midlife career management, career management, Midcareer librarians, career, career management Midcareer, midlife career, career self-help books, management, books, management Midcareer, popular career self-help, thirteen popular career, circus
single-input single-output feedback, single-output feedback linearisable, feedback linearisable nonlinear, nonlinear adaptive controller, Nonlinear adaptive, linearisable nonlinear systems, sliding-mode state, system, paper presents, single-input single-output, single-output feedback, feedback linearisable, perturbation observer, state and perturbation, system states, adaptive controller, linearisable nonlinear, perturbation, observer, adaptive
nearest neurosurgical department, mobile neurosurgical team, specialist centres, frequently use teleradiology, located in specialist, teleradiology to make, neurosurgical department, neurosurgeon Neurosurgical teams, mobile neurosurgeon Neurosurgical, nearest neurosurgical, Neurosurgical teams, mobile neurosurgical, patient, Neurosurgical, clinical status, French military, mobile neurosurgeon, cervical dislocation, unstable clinical status, make a decision
XML storage strategies, storing XML documents, XML documents including, alternative XML storage, relational database system, XML documents, alternative XML, XML storage, storing XML, file system, database system, object manager, leaves documents, design and performance, performance evaluation, evaluation of alternative, paper studies, relational database, XML, system
effects of work, between-participant keying force, EMG activity, extensor EMG activity, EMG, work pace, determine the effects, extensor EMG, typing, within-participant and between-participant, fatigue A laboratory, laboratory study, study was conducted, conducted to determine, typists, EMG activity increased, finger extensor EMG, flexor EMG activity, finger flexor EMG, work
recent works Included, annual bibliography update, select list, list of recent, CyberEthics bibliography, recent works, conference proceedings, annual bibliography, bibliography update, works Included, select, recent, books and conference, June, bibliography, list, Included, recently published, recently published books, published
cucumber disorder diagnosis, Diagnostic expert system, Diagnostic expert, reach a conclusion, expert system, cucumber disorder, disorder diagnosis, develop an expert, non-monotonic reasoning, expert, reasoning, information, system, reason, handle the situation, situation, non-monotonic, diagnosis using non-monotonic, reasoning The objective, incomplete
hyperbolic polynomial B-splines, arbitrary integer larger, polynomial B-splines, called hyperbolic polynomial, Uniform hyperbolic polynomial, space Omega, hyperbolic polynomial, polynomial B-spline curves, polynomial B-splines share, B-splines, paper presents, arbitrary integer, integer larger, called hyperbolic, Uniform hyperbolic, polynomial, Omega, B-spline curves, hyperbolic, B-splines share
Jacobi polynomials Lag, lag windows connected, polynomials Lag windows, lag windows, polynomials Lag, Jacobi, connected with Jacobi, sums of Jacobi, lag, polynomials, spectral density estimators, polynomials are introduced, polynomials or sums, windows, introduced, spectral windows, windows are Jacobi, spectral, spectral density, connected
geometry Reconstruction-based microwave-induced, spherical geometry Reconstruction-based, Reconstruction-based microwave-induced thermoacoustic, microwave-induced thermoacoustic tomography, geometry Reconstruction-based, thermoacoustic tomography, configuration is presented, spherical geometry, spherical configuration, microwave-induced thermoacoustic, tomography, Time-domain reconstruction, spherical surface enclosing, Reconstruction-based, spherical, thermoacoustic, unfocused ultrasonic transducer, spherical surface, Thermoacoustic waves, wide-band unfocused ultrasonic
Current-mode fully-programmable, mode is presented, current mode, implement an arbitrary, neuro-fuzzy applications, block, presented, N-shaped, method to implement, fully-programmable, applications, method, arbitrary, current, mode, N-shaped block operates, N-shaped block, characteristic in current, separately controllable, neuro-fuzzy
spotty data integrity, true supply-chain collaboration, secretive corporate cultures, Newton Upper Falls, CPFR remains, Disappointment reigns, MoonWatch Media Inc., CIOs' minds, number of barriers, data integrity, forefront of CIOs', secretive corporate, corporate cultures, cultures and spotty, spotty data, organizations and true, true supply-chain, Media Inc., Newton Upper, Upper Falls
service positioning generally, positioning generally hinges, attractively priced consumer, potential competitive abilities, service benefit positionings, priced consumer benefits, service positioning, positioning generally, decision support model, abilities to imitate, service, generally hinges, set of attractively, attractively priced, priced consumer, actual or potential, potential competitive, competitive abilities, selecting product, successful product
continuous-time gain-scheduled controller, gain scheduled controller, Sampled-data implementation, gain scheduled, continuous-time gain scheduled, scheduled controller, discrete-time controller, controller, multi-rate gain scheduled, Sampled-data, gain, implementation, continuous-time gain, scheduled, scheduled controllers arising, continuous-time, transformed, discrete-time, show, multi-rate gain
Baylor University, computer science, computer, science, humane tool, tool for aiding, perform adequately, substantial difficulty, students, Baylor, objective, Baylor has observed, sophomore, aiding computer science, computer science department, study, science department faculty, aiding computer, science department, department faculty
DOF control scheme, integral processes, controlling integral processes, processes with dead-time, control scheme, Control, DOF control, DOF internal model, disturbance observer-based control, observer-based control scheme, Disturbance observer-based, DOF, Disturbance, DOF internal, internal model control, observer-based control, disturbance response, processes, integral, time
Assessment of prehospital, telephone line, hundred general practitioners, portable electrocardiograph, telecardiology service, prehospital chest pain, chest pain, ECG, telecardiology, hundred general, prehospital chest, general practitioners, service, chest, pain, patients, telecardiology service allowed, practitioners were equipped, Assessment, electrocardiogram
point of view, George Mason University, Enterprise Engineering Laboratory, George Mason, Mason University, Boeing Company, Engineering Laboratory, University was contracted, Company to develop, Enterprise Engineering, n-tier hub technology, Laboratory at George, first-tier aerospace supplier, large first-tier aerospace, laboratory environment, Taiwan, n-tier hub, eHub capability, aerospace suppliers, Engineering
analytic transcendental function, Explicit solutions, transcendental equations, analytic transcendental, transcendental function, equations A simple, function is presented, Cauchy integral theorem, simple method, explicit expression, formulate an explicit, solutions for transcendental, Explicit, transcendental, exact expression, based on Cauchy, Cauchy integral, method, presented, expression
Multimedia applications require, services Multimedia applications, differentiated services Multimedia, Multimedia applications, applications require high, Transmission of real-time, services Multimedia, applications require, guaranteed quality, delivering MPEG videos, require high bandwidth, Multimedia, real-time video, current Internet, require high, MPEG videos, differentiated services, MPEG, QoS, high bandwidth
simulation and revenue, revenue and cost, rigorous airline base, Airline base schedule, Airline base, base schedule optimisation, rigorous airline, base schedule, base, Airline, schedule, optimisation, system for rigorous, underlying problem structure, system, system reflects, aircraft schedule optimisation, annealing, architecture, rigorous
mobile telecommunications industry, mobile service providers, data mining approach, Turning telecommunications call, mobile telecommunications provider, mobile service, service provider wishing, data mining, competitors open, great concern, mobile telecommunications, proposed technique, call details, telecommunications call details, churn prediction, telecommunications industry, telecommunications provider investigated, technique, mobile, service providers
Waltzing through Port, Web services follow, businesses and consumers, follow the trusting, trusting model, powerful payloads, payloads to travel, travel between businesses, Web services, store Web services, services follow, Port, Internet, Web security, Web, store Web, Waltzing, consumers, security concerns, security
derive asymptotic expansions, Struve function, Kelvin functions, Asymptotic expansions, derive asymptotic, special functions, Asymptotic, functions We derive, expansions, functions, Struve, Kelvin, Numerical evidence, special, derive, cosine-integral, extend, formulae, evidence is provided, provided to illustrate
discrete time series, time series data, time series, Differential and integral, found that discontinuity, discontinuity plays, plays a crucial, crucial role, role in natural, integral calculus, natural evolutions, discrete time, Lin, time, series data, series, calculus on discrete, data, outliers, discontinuities
quantified formula obtained, study the computational, obtained by quantifying, structure, quantifying the variables, quantified formulas, structure trees, quantified, computational problem, Hunt III, Exploiting structure, formula obtained, terms, sum, local reductions, problem, local, formulas, variables, trees
piezoelectric laminates Exact, laminates Exact solutions, laminates Exact, thermoelectroelastic laminated plates, coupled thermoelectroelastic behavior, exact solution, exact, static analysis, coupled thermoelectroelastic, laminated plates, composite laminated plates, thermoelectroelastic behavior, piezoelectric laminates, piezoelectric, thermoelectroelastic, analysis of thermoelectroelastic, solution, basic coupled piezoelectric, coupled piezoelectric differential, plates
nonlinearly reconstructed near-infrared, reconstructed near-infrared tomographic, nonlinearly reconstructed, near-infrared tomographic images, Image error, Image, error, analysis of nonlinearly, reconstructed near-infrared, near-infrared tomographic, tomographic images, Statistical, minimization, nonlinearly, reconstructed, tomographic, ROI, Image error analysis, objective function, analysis
finite time extent, finite trajectories, finite time, estimating perturbation bounds, time extent, trajectories is considered, estimating perturbation, Robustness of trajectories, perturbation bounds, trajectories, finite, trajectories with finite, integral quadratic constraints, bounds of finite, considered, Lagrange relaxation, extent The problem, problem of estimating, quadratic optimization problem, time
pulmonary arterial, quantitative parameters describing, determine whether quantitative, synthesized to make, make a reasonable, reasonable estimate, pulmonary arterial pressure, Pulmonary perfusion patterns, Pulmonary, perfusion, perfusion images, arterial, arterial pressure, image parameters describing, image, pressure, ANN, perfusion patterns, parameters describing, quantitative parameters
ITNET Graham Urquhart, Information management vendors, Graham Urquhart, ITNET Graham, Information management, content management, vendors are rushing, rushing to re-position, put a portal, portal spin, management vendors, Information, Urquhart, workflow, ITNET, Graham, confusion, management, Cutting, content
business makes money, efforts increase business, increase business productivity, mining efforts increase, makes money, efforts increase, productivity and efficiency, key part, increase business, business productivity, business makes, Data mining efforts, Data mining, Data mining technologies, mining efforts, business, mining technologies, mining, Data, Steven Kudyba
disambiguation Recent models, probabilistic disambiguation Recent, processing employ statistical, employ statistical reasoning, disambiguation Recent, natural language processing, language processing employ, Recent models, processing employ, employ statistical, statistical reasoning, reasoning for dealing, formal grammars, ambiguity resolution, Recent, probabilistic disambiguation, natural language, language processing, Computational complexity, ambiguity
nonlinear partial differential, Laguerre Gauss-Radau interpolation, partial differential equations, Laguerre pseudospectral method, interpolation is investigated, method for nonlinear, nonlinear partial, partial differential, Gauss-Radau interpolation, Laguerre pseudospectral, Laguerre Gauss-Radau, Laguerre pseudospectral scheme, pseudospectral method, differential equations, Laguerre, BBM equation, investigated, pseudospectral, method, nonlinear
technologies Modern language, Modern language studies, technologies Modern, Modern language, variety of forms, language studies, studies are characterized, specific areas knowledge, Modern, Linguistic knowledge, areas knowledge, development, knowledge, forms, differentiation and classification, specific areas, technologies, language, studies, characterized
active functionality service, Service based architectures, functionality service, active functionality, e-business applications Service, applications Service based, meet the fast, fast evolution, business rules, Service based, based architectures, service, service-based middleware architecture, e-business applications, powerful approach, active, functionality, evolution of business, applications Service, events
multi-hop radio networks, deterministic distributed broadcasting, unknown topology, multi-hop radio, radio networks, deterministic distributed, upper bound, gossiping in radio, Fast broadcasting, radio, distributed broadcasting, log, bound of Omega, broadcasting in multi-hop, broadcasting, lower bound, bound, time for deterministic, Fast, upper
brainiac theorem prover, superposition-based theorem prover, brainiac theorem, superposition-based theorem, describe the superposition-based, theorem prover, theorem, prover, DISCOUNT loop proof, brainiac, describe, superposition-based, logic with equality, DISCOUNT loop, prover include strong, complete prover, prover We describe, sound and complete, clausal first order, order logic
continuous feedback control, distributed discrete-event scheduling, continuous feedback, feedback control, feedback control approach, Sliding mode dynamics, distributed manufacturing applications, feedback control systems, distributed discrete-event, Sliding mode, control theoretic techniques, control, discrete events, events is presented, presented motivated, control system, control systems exhibit, Sliding, distributed manufacturing, mode dynamics
specific logical formulation, logical formulation based, relationship between omega, temporal logic formulae, omega, specific logical, logical formulation, formulation based, automata, logic formulae, relationship, temporal logic, normal form, temporal, normal, formulae, logic normal forms, form, logic, specific
missions Future manned, space missions Future, Future manned space, missions Future, Future manned, manned space operations, life support, operations will include, include a greater, Johnson Space Center, NASA Johnson Space, Intelligent control, Future, space missions, manned space, space operations, space, Space Center, NASA Johnson, automated agents
RISCy business, Cornell University students, Atmel Design, Cornell University, Cooking Coach, University students entered, RISC projects, Barbie zip drive, University students, Cornell, Cornell students, RISCy, business, wireless Internet pager, Barbie zip, Internet pager, RISC, wireless Internet, students, Part
measured or simulated, solvable queueing network, detailed train schedules, queueing network model, solvable queueing, railway networks, detailed train, train schedules, queueing network, railway, Netherlands The performance, network model, Netherlands, model, network, requiring train schedules, simulated, solvable, queueing, Railway infrastructure
information system Based, intranet portal organizational, portal organizational memory, Based on previous, organizational memory information, memory information system, organizational memory, information retrieval tools, well-known organizational memory, human-centred features, memory structure map, system Based, conceptual model, retrieval functions, portal organizational, Development and validation, navigation and retrieval, intranet portal, support user navigation, previous research
vector cascade algorithm, multivariate refinable vector, cascade algorithm, vector cascade, multivariate refinable, relationship between accuracy, accuracy of multivariate, refinable vector, vector, cascade, algorithm, isotropic dilation converges, algorithm The focus, refinable, note on vector, Strang-Fix conditions, note, focus, paper, relationship
Positive productivity, health care, Workflow software, unexpected financial boost, hospital specialists, Workflow, communication solution, solution for hospital, delivers an unexpected, unexpected financial, financial boost, Positive, productivity, billing, health, care, specialists, software, communication, solution
NARX polynomial models, NARX polynomial, polynomial models, NARX models, representation and estimation, NARX, Nonlinearities in NARX, mapped in NARX, models, polynomial, shown how nonlinearities, nonlinearities are mapped, Nonlinearities, representation, coefficients of NARX, estimation, shown, mapped, General expressions, expressions are derived
Century project team, Utilizing Web-based case, Web-based case studies, cutting-edge information services, information services issues, Academic Libraries, pilot study conducted, Utilizing Web-based, case study method, Century project, training framework, Web-based case, studies for cutting-edge, cutting-edge information, information services, services issues, issues This article, article reports, project team, team to determine
Internet backbone industry, pervasive information technology, emerging information society, Internet infrastructure, Internet backbone, real constraints, Internet, information society, industry This paper, backbone industry, emerging information, pervasive information, contemporary society, Internet age, paper examines, information technology, examines the real, information, society, infrastructure
widths as short, rate parallel computer, parallel computer interface, interface bus parallel, computer interface bus, parallel data card, transfer rate parallel, bus parallel data, high transfer rate, general statistical analysis, standard high transfer, rate parallel, parallel computer, bus parallel, designed and built, interface bus, standard high, data card, dynamic light scattering, parallel data
stochastic batch service, batch service problem, illustrate the importance, batch service, service, stochastic batch, dynamic programming, adaptive dynamic programming, customers, Exploiting structure, problem, structural results, dynamic programming algorithms, dynamic, programming, service problem, batch, adaptive dynamic, cost, programming algorithms
binocular free viewing, diverse viewing conditions, optic tunnel, present experiments investigate, viewing conditions, diverse viewing, free viewing, binocular free, viewing, tunnel, present experiments, experiments investigate, optic, monocular perspective, flat figures, perspective transformations, stereoptic viewing, figures, mapping, perspective projections
allocation of servicing, Euclidean combinatorial optimization, Euclidean combinatorial, dynamic programming method, combinatorial optimization problem, class of Euclidean, combinatorial optimization, dynamic programming, Euclidean, programming method, optimization problem, combinatorial, method A class, optimization, method, Solution, problem, problems is selected, solved, class
gray level images, Automatic extraction, mouth fields, paper presents, gray level, eye and mouth, mouth, fields, extraction, face image, level images, extraction of eye, eye, eigenfeatures, facial features, locating fields efficiently, finely locating fields, features, edge data set, data set constructed
managing customer relationships, customer relationships, open-ended questions, business decisions, tools for marketing, managing customer, basis for business, Mining open answers, open answers, Mining open, answers, important tools, important basis, questionnaire data Surveys, open, valuable information, important, Web makes, Mining, relationships
projection-type methods, linear complementarity problem, monotone linear complementarity, monotone LCP, LCP, paper we establish, linear complementarity, methods, projection-type, Newton method, complementarity problem, LCP with finite, finite termination, monotone linear, linear, linear system, finite termination property, monotone, active set strategy, extragradient method
urban digital cadastre, urban cadastral reality, operationally efficient cadastral, efficient cadastral database, accurate cadastral database, urban digital, digital cadastre, legally supportive, analytical reconstruction, generating a spatially, supportive and operationally, operationally efficient, field reconstruction process, cadastral database, conventional field reconstruction, parcel boundaries, urban cadastral, spatially accurate, efficient cadastral, cadastral reality
parametric uncertainty Probabilistic, probabilistic system parameters, uncertainty Probabilistic robustness, Probabilistic robustness analysis, parametric uncertainty, uncertainty Probabilistic, probabilistic system, Monte Carlo simulation, nonlinear systems, uncertain parameters, Robust control, Monte Carlo, Probabilistic, robustness analysis, system parameters, Probabilistic robustness, control, Carlo simulation, systems with parametric, systems with uncertain
NYSE Composite Index, Composite Index, Stock market trading, NYSE Composite, technical charting heuristics, bull flag, technical charting, trading rule discovery, market trading rule, discover trading rules, Stock market, data mining, charting heuristics, case study, study in knowledge, knowledge engineering, engineering and data, market trading, discover trading, Index
kinematic DEVS formalism, Geometric and kinematic, kinematic DEVS, simulation methodology based, DEVS formalism, continuous simulation methodology, conventional DEVS formalism, continuous state set, event system specification, continuous state dynamics, continuous state, DEVS, conventional DEVS, formalism, methodology based, paper that satisfies, continuous, system specification, Geometric, simulation
result published previously, elliptical probability distributions, Siegel metric, elliptical distributions based, Siegel group, generalizing a result, group This paper, paper describes, informative geometry, positive-definite matrices, result published, published previously, elliptical probability, probability distributions, Siegel, distributions based, manifold of positive-definite, elliptical distributions, t-Student and Cauchy, elliptical
Blind identification, identification of non-stationary, adaptive algorithm, identification, Blind, algorithm, channels is derived, equations derived, identification of time-varying, tracking time-varying systems, derived, system of equations, time-varying systems, time-varying MA channels, instrumental variable-type algorithm, systems, algorithm proposes, non-stationary, adaptive, channels
tracking controller design, Gaussian wavelet networks, Adaptive tracking controller, Gaussian wavelet, Adaptive tracking, Gaussian wavelet functions, controller design, robotic systems, tracking controller, Gaussian, design for robotic, wavelet networks, wavelet, closed-loop robotic system, systems using Gaussian, design, robotic, tracking, adaptive learning algorithm, Adaptive
Software maintenance accounts, software maintenance Software, maintenance Software maintenance, software maintenance, software system, Hypothesis-based concept assignment, significant proportion, concept assignment, software, maintenance accounts, Hypothesis-based concept, maintenance Software, maintenance, lifetime cost, maintenance process, concept, assignment, Software comprehension, cost, concept assignment method
accountants Software Technology, quality accountants Software, Software Technology, accounting market, accountants Software, quality accountants, years of reselling, reselling experience, legal business, Technology, Software, market, quality, accountants, turn, years, reselling, experience, legal, business
inspire professional growth, article challenges librarians, Exploring the sabbatical, Concordia University, challenges librarians, create leaves, article challenges, inspire professional, professional growth, leave, librarians to create, time, librarians at Concordia, energizing a career, article, successful leave, librarians, career, midlife leave, Exploring
convex polyhedral Lyapunov, polyhedral Lyapunov functions, time hybrid systems, nonlinear discrete time, discrete time hybrid, Switching controller design, systematic switching control, polyhedral Lyapunov, Lyapunov functions, control design method, hybrid systems, Switching controller, systematic switching, convex polyhedral, functions We propose, propose a systematic, class of nonlinear, nonlinear discrete, discrete time, time hybrid
LPV systems Stability, linear parameter-varying systems, gain properties, properties of LPV, LPV systems, parameter rate, properties of linear, linear parameter-varying, obtained under assumed, assumed bounds, maximum or average, parameter-varying systems, gain, Stability, systems are obtained, properties, LPV, systems, rate, linear
sufficient optimality condition, nondifferentiable invex programming, nonlinear programming problem, data wherein Clarke, generalized gradient, define invexity, sufficient condition, nondifferentiable invex, problem without differentiability, differentiability assumption, sufficient optimality, optimality condition, invex programming, nonlinear programming, programming problem, condition is established, Clarke, condition for optimality, optimality in nondifferentiable, programming A sufficient
Tactical airborne reconnaissance, Multispectral imaging technologies, Tactical airborne, Multispectral imaging, airborne reconnaissance, technologies are satisfying, imaging technologies, Multispectral, persistent, battlefield, Tactical, reconnaissance goes dual-band, infrared imaging, airborne, reconnaissance, technologies, satisfying, imaging, persistently monitor, dual-band
classifications-a statistical approach, ideological classifications-a statistical, classifications-a statistical, statistical approach, statistical method, approach The paper, paper presents, method of verifying, verifying ideological classifications, presents a statistical, ideological classifications-a, verifying ideological, statistical, actual vote results, ideological, Parliamentary votes, assumed significance level, Verification of ideological, Verification, actual vote
saccadic eye movements, knowledge gathering, image understanding based, image decision support, decision support, eye movements, paper presents, understanding based, saccadic eye, Computed Tomography images, visual search, generic image feature, image feature extraction, image understanding, support This paper, method of knowledge, dynamics of saccadic, visual assessment, information extracted, gathering
railway freight wagon, freight wagon wheelset, railway freight, freight wagon, dry friction dampers, dry friction, supports one end, springs with linear, linear characteristics, wagon wheelset, investigate the dynamics, friction dampers, wheelset that supports, railway, freight, wagon, simple model, wheelset, dry, friction
Structural invariance, Pythagorean hodographs introduced, introduced by Dietz, Pythagorean hodographs, spatial Pythagorean hodographs, three-dimensional Pythagorean hodographs, four-polynomial characterization, arbitrary spatial rotations, spatial rotations, Pythagorean, rotated Pythagorean hodograph, hodographs introduced, spatial Pythagorean, three-dimensional Pythagorean, three-dimensional Euclidean space-a, invariance, Structural, spatial, Dietz, arbitrary spatial
radial basis function, resultant decision boundaries, input layer, hidden layer, conventional RBF, Optimal learning, basis function, regions is reported, weight matrix, learning for patterns, proposed modifying, radial basis, direct connection, adaptively separated, resultant decision, decision boundaries, boundaries and class, class regions, RBF networks, RBF
weighted autocorrelation function, fuzzy weighted autocorrelation, fuzzy weighting scheme, autocorrelation function, function for pitch, pitch extraction, weighted autocorrelation, speech An investigation, investigation is presented, feasibility of incorporating, weighting scheme, fuzzy weighted, fuzzy weighting, noisy speech, extracting pitch period, incorporating a fuzzy, autocorrelation, function, extraction, Simulation results reveal
symmetric positive definite, regularized conjugate gradient, positive definite system, positive definite matrix, ill-conditioned symmetric positive, large sparse system, linear equations, system of linear, symmetric positive, positive definite, conjugate gradient method, regularized conjugate, definite system, conjugate gradient, sparse system, definite matrix, ill-conditioned symmetric, coefficient matrix, presented for solving, solving the large
influence firm performance, influence firm, firm performance, performance, companies, training and development, development policies, medium-sized companies, training, middle-sized, firm, ETD, Education, policies and practices, practices in medium-sized, practices, development, policies, medium-sized, influence
rent-producing resources, select organizational designs, resource-based view, story has emerged, knowledge accumulated, routines and structures, structures influences, organizational routines, influences the firm, Organizational design, firm, capabilities, resources, dynamic story, firm ability, resources and capabilities, Organizational, acquisition of rent-producing, select organizational, exploit existing capabilities
order of numbers, numbers of operations, piecewise analytic functions, piecewise analytic, compact interval, analytic, analytic functions, approximation of piecewise, Self-validating integration, piecewise, function, Self-validating, integration, approximation, compact, interval, integration and approximation, produce enclosures, present algorithms, integration algorithm
