data and structured information, books named English, Books, Gutenberg Project, Grammar, grammar books are important, Century English grammar books, materials for English learning, important materials, unstructured data and structured, order to systematically analyze, themes and trends
Direct torque control strategy, electromagnetic torque based, stator flux and electromagnetic, estimation of stator flux, responses and reduced, error into different intervals, Comparative Study Between Classical, strategy involves the estimation, Aimed to an IPMSM, Logic DTC Strategies Aimed, Fuzzy Logic DTC, IPMSM Drives This Direct
existing methods for evaluation, detection quality evaluation Recently, similarity with respect, fuzzy logic, selected from existing methods, Interval, image edge detection quality, edge, evaluation of edge detection, Recently, logic for image edge, methods
Permanent Magnet Synchronous Generator, mechanism regulates the speed, fuzzy logic MPPT controller, projected by the researchers, Maximum Power Point Tracking, small-scale Wind Turbine System, irregular wind velocity, Turbine System based, MPPT controller based Vienna, generates the output power, System based on Fuzzy, Boost type Vienna Rectifier
Determining South African, network loading measurements data, South African distribution power, fuzzy logic, system big data integrity, power systems network loading, data, power, African, distribution power system big, application This paper presents, experiment to determine distribution
Fuzzy Logic Approach, water resource management, disaster preparedness, including agriculture, Delhi Weather Data dataset, wide range of applications, paramount importance, Logic, Mamdani fuzzy inference system, Rainfall, Logic Approach to Predicting, Predicting Rainfall Patterns Rainfall
image processing systems, simplifies the analysis, essential step, systems, edge, recognition systems Edge detection, applied, face recognition, fuzzy, systems to improve performance, training phase in pattern, fuzzy edge detectors applied
Mobile Robot Autonomous mobile, Controller for obstacle avoidance, Mobile, pertinent problems of dealing, unreliable because of pertinent, Fuzzy, Avoidance, avoidance methodology is needed, Fuzzy Logic Sensor Fusion, recent times gained interest, sensors, Obstacle Avoidance Mobile Robot
Adaptive Fuzzy, problem in control theory, Control of a Class, Approach Controlling nonstrict-feedback nonlinear, Systems by Fuzzy Approximation, overcome the difficulty, Systems, Approach, Class, challenging problem, Fuzzy Approximation Approach Controlling, Class of Nonlinear Systems
wireless sensor networks Fuzzy, fuzzy logic, paper discusses how choice, methods and membership functions, reduces the frequency, works, cluster head selection, sensor, choice of fuzzification methods, head, research, selection in wireless
number of vehicles arrival, traffic light, management system The inefficiency, fuzzy logic, adaptive traffic, light timing contributes, road, arrival, timing, contributes to road rage, rage and air pollution, number
motors, Signal, Gate, Electric, applications and Electric Vehicles, Fuzzy Logic Control Permanent, Switched Reluctance Motor, Periodic Gate Signal Blocking, drive, Vehicles, Analysis of Periodic Gate, industrial applications
Smart Irrigation Decision Support, Support Based on Fuzzy, Fuzzy Logic Using Wireless, Network Smart Irrigation, Decision, measure the agricultural, WSN consists of limited-energy, Wireless Sensor Network Smart, Network, moisture using the sensor, Smart, soil moisture
Prototype Design for Routing, packets that the network, packets, nodes to improve, Load, Routing Load Balancing Algorithm, Balancing, Network, Algorithm, based on Fuzzy Logic, Network congestion may occur, Fuzzy Logic Network congestion
CMOS technology This paper, CMOS, asynchronous circuits in CMOS, circuits in CMOS technology, transistor level, operators as digital asynchronous, paper presents, basic fuzzy logic, logic, fuzzy set operators, implementation of fuzzy set, fuzzy
Fuzzy Logic Control, raw materials, Copra, industries to obtain, easier for oil producing, Production Using Fuzzy Logic, guaranteed both in physical, copra producing tools aims, Dryer Coconut for Copra, obtain ready, Design of Dryer Coconut, make it easier
control the temperature, humidity and Carbon Dioxide, relative humidity, inside the prototype tomato, vent fan and growlight, logic, prototype tomato growth chamber, growth chamber fuzzy logic, tomato plant environment condition, fuzzy, Dioxide, fuzzy logic controller
Fuzzy Logic Based VANETS, based vehicular ad-hoc networks, VANETS, smart and well-organized, stations for smart, roadside base stations, Smart, interconnect a group, group of vehicles, Smart Transportation System Vehicular, System, vehicles to communicate
fixed set-point based, outputs were the synchronous, cross track error, control of the left, interval type II fuzzy, Parafoil, emergency situation, Parafoil air-dropped control, fuzzy logic Nowadays, fuzzy, based on the interval, parameter was defined
consist of thousands, selection, WSNs having different important, Today, cluster, sensor networks Today WSNs, scheme, important role, network, wireless sensor, thousands of small, energy
devices and public data-sets, application fields of Hyperspectral, number of endmembers present, fuzzy systems to estimate, image The application fields, years because the availability, published works demonstrating, algorithm, hyperspectral imagery in order, fuzzy, real and synthetic, number
presents a supervisory control, robot motion planning, hierarchical navigation using Petri, paper presents, Petri net, robot, Humanoid robot hierarchical navigation, Humanoid, walking in a closed, system, Fuzzy Inference System, control system for humanoid
uncertainties of an FLS, interval, FSs, Fuzzy Logic Systems, FLS overestimates the output, Fuzzy, commonly attributed, number of embedded, Logic, output, sources of data uncertainties, Monte Carlo simulation
heater temperature control process, method to determine Proportional, determine Proportional Integral Derivative, Algorithm with the Fuzzy, stirred tank heater temperature, fuzzy logic, Optimization of PID control, search for the transfer, process This paper describes, tank, genetic algorithm, logic in stirred tank
VHDL description style, evolving as the missing, Super Capacitors management, VHDL language imposes, code with a GUI, Lithium-Ion Hybrid Super Capacitors, descriptions of neural fuzzy, logic based systems, neural fuzzy logic based, VHDL based Neuro-Fuzzy Lithium-Ion, analyses the potential, fuzzy system structure
compensation and harmonic elimination, electrical distribution system, logic controlled shunt active, shunt, reactive power compensation, widely used in electrical, load, active, power, harmonic elimination Active filters, unlike the other traditional, Fuzzy logic
model, interval, systems, LMI-based, stability conditions for interval, paper presents, fuzzy logic control systems, control systems This paper, Takagi-Sugeno fuzzy logic, Matlab LMI Toolbox, logic, fuzzy
Fuzzy Logic Control, Method, Bicycle Electric bike, Soft-Starting Method Brushless, electric vehicle started, vehicle started to developed, Method Brushless DC Motor, energy converting method, Fuzzy, Implementation of Fuzzy Logic, Logic, energy
Central, CMRS, Geomechanical rating, Mining, Station, CMRS rock mass, system, fuzzy logic CMRS, Central Mining Research Station, classification system based, Prediction of CMRS rock, Research
student, teacher, highly needed to ease, grade, Fuzzy Mamdani Logic, Fuzzy, ease teacher in providing, decision making is highly, Mamdani fuzzy method, Grading System Recommendations, Logic, System
Field controlled and armature, analysis includes time domain, Motor, focus of this paper, algorithm The main focus, state space averaging technique, Motor using Fuzzy logic, Stability analysis, Field, Fuzzy, armature controlled, logic and Genetic algorithm
Fuzzy Sets, interval, Secondary, paper by Bustince Sola, Meet, meet operations for general, Nonconvex, Join, Join and Meet Operations, paper, present two theorems, arbitrary secondary memberships
resources are an interesting, achieve global sustainability, controller Green energy resources, loop controlled boost converter, Design and implementation, photovoltaic system based application, fuzzy logic controller Green, system, solar power installation system, Green, implementation of closed loop, readable solution to achieve
approach to a hybrid, logic control This study, goal seeking and obstacle, fuzzy logic based approach, vehicle, construct the input, study presents a fuzzy, hybrid mobile quadrotor vehicle, perform goal seeking, vehicle with range sensors, sensors using fuzzy logic, Obstacle avoidance
soft, Soft Information Relaying scheme, wireless, Quadrature Amplitude Modulation, soft Decode and Forward, demapping technique, LDPC, cooperative wireless networks Relays, Decode, LDPC receiver in cooperative, networks, achieve cooperative diversity
processors increased drastically, advancement of Electronics, decades to solve complex, power consumption, solve complex problems, general purpose processors, power, logic, logic based general purpose, fuzzy, accurate and efficient, fuzzy logic controller
conventional FLSs to hierarchical, number of low-dimensional, Fuzzy Logic Systems, fundamental problem, viewed as a promising, Fuzzy, Fuzzy Systems Hierarchical Fuzzy, HFSs, Decomposing Conventional Fuzzy Logic, rules, Logic, input variables
biggest limitations, Logic to Improve Lifespan, effective ways to reduce, CHSFL, Cluster Head Selection based, Based on Fuzzy Logic, limitations of wireless, Fuzzy, Head, low energy usage, put out to offer, wireless body area networks
considered in the decision, process the information, logic controlled intelligent traffic, system Pre-timed traffic light, fuzzy logic, light, traffic, handling vehicular congestion, longer sufficient at handling, system, traffic light system Pre-timed, vehicles
Application of Clustering Optimization, performance of wireless sensor, Disaster, Research and Application, factor of upper, Disaster Monitoring The performance, Line Natural Disaster Monitoring, wireless sensor network, Transmission Line Natural Disaster, Based on Fuzzy Logic, Clustering Optimization Algorithm Based, directly affect the reliability
Making, Method Using Fuzzy Logic, reach the top, Effective Business Strategy, world, Fuzzy, Strategy Decision Making Method, technical evaluation, Present world is based, Logic, Business Strategy Decision, Fuzzy Logic Present world
ability to handle, Fuzzy Logic Systems, Interval, handle uncertainties, FLSs, Inverted Pendulum Stabilization Interval, Fuzzy, due to their ability, Mathematical Representations, Logic Systems with Application, compare the performance, Logic
study aims to implement, Mamdani and defuzzification method, controller This study aims, defuzzification method of Centroid, logic, system, implement fuzzy logic, Mamdani, Testing, Centroid, fuzzy logic controller, time
response from converter based, power units A fuzzy, fuzzy rules extracted, governing the performance, functions of supplementary inertial, frequency control in wind, converter based wind power, Fuzzy, logic approach for frequency, common symmetrical rule table, wind turbine generating units, proposed fuzzy logic approach
extinguisher to detect fires, sensor and is equipped, Fuzzy Logic on Fire, robot, Implementation of Fuzzy Logic, Fuzzy, track and extinguish fires, sensor, Fire, Logic, Robots A fire fighting, Fire Fighting Robots
control device, fuzzy logic are considered, methods for optimizing electrical, power systems and develops, Voltage Mode, modes, Based on Fuzzy Logic, Development of a Method, Fuzzy, regulating the position, Logic This article studies, optimizing electrical modes based
imprecise and incomplete, Malware, Rules, utilises string or pattern, perform malware analysis, Malware Analysis YARA rules, YARA rules utilises string, YARA, Boolean, pattern matching to perform, Embedding Fuzzy Rules, execution phase
vital for traffic management, increase the efficiency, Dynamic Phase Scheduling, System for Four-Way Intersection, Phase Scheduling Traffic Light, Fuzzy Logic, signals are vital, Traffic Light Control System, System, Traffic, Four-Way Intersection and T-Crossing, Light
temperature, efficient operation of utility, utility boiler steam turbines, steam, Design of superheated steam, superheated steam temperature control, Conventional, Design, logic, fuzzy, PID, fuzzy logic controller
shows the reduction, Mamdani fuzzy inference method, paper proposes, fuzzy data processing based, Fuzzy, data, method, reduction in run-time processing, classical Mamdani mechanism, processing based on Mamdani, Mamdani, comparatively to the time
increasing due, limits for economic purposes, due to pushing, loads such as electric, power system stabilizer Variability, wind turbines and photovoltaic, Variability in power systems, types of loads, fuzzy logic-based power, energy sources like wind, electric vehicle chargers, results for two fault
fuzzy logic control, hit the world, food, high voltage pulse generator, Generators The nutritional crisis, Cycle, food processing, nutritional crisis is predicted, Tuning by Using Fuzzy, voltage, Duty Cycle Tuning, predicted to hit
adaptive interval, generic hypersonic flight vehicle, flight, control, Direct adaptive, fuzzy logic, generic, paper, includes big uncertainties, logic controller is designed, designed in this paper, flight vehicle A direct
monitoring the water quality, controller system for monitoring, Aquaculture Pond The objective, water quality level decides, fuzzy logic controller system, Implementation of Fuzzy Logic, Fuzzy, dissolved oxygen, water, Logic, quality of aquaculture ponds, Pond
Fuzzy Logic inference System, non-singleton fuzzification, inference System completely, ANFIS, study it is attempted, training for the Interval, Gradient descent and Levenberg-Marquardt, Fuzzy, achieve this goal Adaptive, Logic, Adaptive Network-based Fuzzy Inference, System
K-Means, constantly served a purpose, fuzzy logic Swarm Intelligence, Swarm Intelligence algorithms, clustering, particle, purpose of global search, employing fuzzy logic Swarm, swarm, optimization, global search method, APSO
Power System, stabilized operation of power, commonly used for stabilized, Fast stability achievement, excitation control, system voltages, control of synchronous generator, fuzzy, logic, fuzzy logic based, controller, logic based non-linear excitation
Simulink Model for Adaptive, Model, dynamics identification, Simple Matlab Simulink Model, Fuzzy Logic Systems, Simulink, FLSs, Fuzzy, control problems, Matlab, Logic, Adaptive General
system controller Series compensation, fuzzy inference system controller, fuzzy logic, solution to damp, enhance power transfer capacity, Mitigation of subsynchronous resonance, SSR, capacity of Power System, adaptive neuro fuzzy inference, long transmission lines, Series compensation in long, STATCOM for the purpose
time-varying system based, system is proposed, Fuzzy inference modeling method, kind of fuzzy inference, mathematical modeling of time-varying, based, Fuzzy, second-order freedom movement systems, method, modeling, build the mathematical modeling, based on T-S fuzzy
Smelling on the Edge, Display in a Video, paper presents, Edge Computing, incorporates smell generated, fuzzy logic control software, Olfactory Display, controlled by fuzzy logic, generated by an olfactory, ultrasonic humidifier, Video Game, game project that incorporates
model, Interpretable Fuzzy Logic, Measurement Based on Interpretable, Based, assess the perceived quality, Quality, Parametric Audio-visual Quality Measurement, Audio-visual, Fuzzy, experience, fuzzy inference systems based, experience assessment is presented
image processing systems, recognition rate, simplifies the analysis, training phase in pattern, edge, applied, General, system, neural networks Edge detection, fuzzy, fuzzy edge detector method, phase in pattern recognition
radar based on fuzzy, development of phased array, Task, array, radar, Fuzzy Logic Priority, Research on Task Scheduling, Algorithm, Task Scheduling Algorithm Based, phased array radar technology, priority of the task, extensive and in-depth
X-band Doppler weather, Algorithm Radar echoes detected, Radar, Identification and Removal, echoes detected by Doppler, Removal of Ground Clutter, non-meteorological factors, Removal, Logic, measurements of reflectivity, Fuzzy Logic Algorithm Radar, affects the quantitative application
anti-swing regulation, positioning along five axes, reliability and proves, crane, precision and reliability, including the self-scaling procedure, controller for crane positioning, logic, fuzzy, Self-scaling laboratory crane fuzzy, axes including, adaptive fuzzy logic controller
based on Fuzzy, assessment method integrating aging, overhead transmission line, Risk, run for decades, Aging Risk Assessment based, aging problem, transmission line Many overhead, line, integrating aging mechanism analysis, decades may lead, Fuzzy logic
Classification This paper, faults in a transmission, logic scheme in MATLAB, test the fuzzy logic, paper presents, measurement of RMS, Scheme for Directional Earth, Scheme, involves the measurement, Fuzzy Logic Based Scheme, Directional Earth Fault Detection, transmission network
attack, computing environment by Detecting, secure, part and parcel, cloud, Detecting DDoS, life, Denial of Service, computing, fuzzy, Enhancing secure cloud computing, Distributed Denial
Intelligent Control Based, work presents a study, machine with permanent magnets, Synchronous Machine, number of revolutions, permanent magnets in order, speed by the total, objective to synthesize, Control Based on Adaptative, Fuzzy Logic for Permanent, logic of the synchronous, Adaptative Fuzzy Logic
wind, control for a wind, wind turbine fed induction, MATLAB-Simulink and its results, entire wind turbine system, Angle Fuzzy Logic Controller, pitch angle, intelligent self-tuning fuzzy logic, fed induction generator, fuzzy, developed and simulated, turbine
objective of this work, order to create, upright position, Real-time Control, pendulum system, Rotary, investigate the fuzzy logic, Fuzzy, frequently used rotary inverted, Logic, Rotary Inverted Pendulum, Logic The major objective
Fuzzy Logic Wheelchair mounted, social participation of individuals, robotic arm using Proportional, amputated arms by improving, individuals with physical disabilities, living and social participation, upper extremity impairments, independent living and social, improving independent living, Wheelchair mounted robotic arms, prove the performance, spine injuries or amputated
Robot Robot positioning precision, Robot, Enhanced Trajectory Tracking Accuracy, Genetic based Optimized Fuzzy, critical in industrial automation, Fuzzy, position and velocity PID, Trajectory, Controller for Enhanced Trajectory, Enhanced, Optimized Fuzzy Logic Controller, PID
Aero-Engine Over Vibration Monitoring, Vibration Monitoring Method Based, level of real-time, paper proposes a method, shows the effectiveness, Based on Fuzzy Logic, monitoring aiming at vibration, intelligent level, engine state, inference technology to analyze, carry out hierarchical alarm, Fuzzy Logic In order
design, proposed fuzzy logic, Cuk, paper presents a design, Fuzzy, paper, Aerospace Application The paper, Cuk Converter for Aerospace, Logic, Controller in a Cuk, voltage, Fuzzy Logic Controller
Time, improvements of prediction, time series approaches make, forecasting, fuzzy logic systems Conventional, models, upper and lower, logic, fuzzy, series, intuitionistic fuzzy, Conventional fuzzy time series
high control quality, require the mathematical, motor drives are simple, fed to the semiconductor, types of electric, development of various types, comparison between the performance, logic, fuzzy, robotic and industrial applications, controller for DC motor, fuzzy logic controller
operation safe and reliable, electric and hybrid-electric vehicles, fuzzy logic, battery management system, health of Li-Po, estimate state of health, important component of electric, battery, cell balancing in BMS, system, Li-Po batteries based, BMS
design Induction Generator, Static, Stabilization A Static VAR, crucial role, VAR, Fuzzy Logic Based Static, Wind Farm Voltage Stabilization, plays a crucial, Based Static VAR Compensator, ensuring stable and efficient, VAR Compensator For Wind, Wind Farm
fuzzy logic systems, prior knowledge monotonicity, function approximation, interval, integrating prior knowledge, approximation under noisy circumstances, logic systems using prior, conditions on the antecedent, logic, fuzzy, first-order Single-Input Single-Output, presents the methods
Low Cost Electric, carbon emission, day increase in carbon, BLDC motor, torque to weight, recently electric vehicles play, Fuzzy, Fuzzy Logic Algorithm, Logic, vehicles play major role, role in automobile industry, Algorithm for Low
priority, support in Diff-Serv networks, quality of service support, packets, implementation at the output, decision algorithm is proposed, fairness control, queue, queue scheduling approach, fuzzy logic-based decision algorithm, fuzzy, account the dynamic
time for better intersection, Intricacies in digital CMOS, CMOS, control that may work, fuzzy logic traffic light, chip receives the membership, High Speed Integrated Circuit, reconfigurable fuzzy logic, procedure of CMOS design, traffic light control, digital CMOS implementation, severe condition is discussed
converter passive components, Quadratic, Boost Converter This paper, Soft-Switched Quadratic Boost Converter, Boost, paper introduces, introduces of successful, Designing a Fuzzy Logic, successful implementation of fuzzy, active clamp-coupled, clamp-coupled inductor-based soft-switched Quadratic, Fuzzy Logic Controller
rail, factors may interact, Chinese urban rail, Fuzzy, urban, security, transit security region decision, Fuzzy logic based, system, operating system make fuzzy, urban rail transit operating, logic based information process
Effective Routing Mechanism Based, low throughput and poor, exploiting fuzzy logic inference, Software Defined Networking, traffic scheduling algorithm exploiting, paper proposes a traffic, paths between the source, algorithm uses the characteristics, based on Software Defined, problem of low throughput, Mechanism Based on Fuzzy, performance of the data
Based, Design, Nonlinear Water Level Tank, Based Fuzzy Controller, Fuzzy, widely in industry, direct controller design, Level Tank Fuzzy direct, Particle Swarm Optimization algorithm, Swarm Intelligence Based Fuzzy, Design for Nonlinear Water, industry these days
design, real swarm robot, behavior-based for real, paper presents, formation control using behavior-based, design for real swarm, real, logic, swarm robot using fuzzy, fuzzy, Formation, Fuzzy Logic Controller
catch cybercriminals, make, today, cost the world, Cybersecurity is a major, Logic to Increase, Fuzzy Logic, major issue today, Increase Password Security, user from a normal, Keystroke Identifier Using Fuzzy, system
heightened glucose levels experienced, Fuzzy Logic Approach, distinguished by heightened glucose, Mellitus Using Risk Factors, levels experienced during pregnancy, GDM, Predicting Gestational Diabetes Mellitus, Fuzzy, Mellitus, Mamdani Fuzzy Inference System, Logic Approach for Predicting, health condition distinguished
PI-fuzzy, Hybrid PI-fuzzy logic controller, controller based DC-DC, high, based, Hybrid, FLC, DC-DC, voltage, convert, based DC-DC converter DC-DC, results
level of compliance, solving problems, characteristics of determining, study the characteristics, paper presents, Fuzzy, Recruitment Systems This paper, presents methods for solving, Logic, problems using the method, Applications of Fuzzy Logic, Fuzzy Logic in Recruitment
optimal plant root development, innovative approach to automatically, sensor using Fuzzy Logic, introduces an innovative approach, present paper introduces, fuzzy logic techniques programmed, Arduino for the monitoring, effectively calculated the amount, acidity, alkalinity in irrigation water, control acidity or alkalinity, irrigation water This present
Teling Intersection in Manado, vehicles in the city, Real Time Traffic Light, ANFIS, Time, Traffic Light at Teling, fast causing a high, Fuzzy Logic and ANFIS, growth of the number, Manado is very fast, high level of congestion, City
algorithm has been widely, Genetic, PID and fuzzy logic, refrigeration Genetic algorithm, local optimal, show the effectiveness, optimal problems, cavity of refrigeration, temperature at the level, fuzzy, fuzzy logic optimized controller, control in a cavity
fuzzy logic Traffic Actuated, signal, widely used for signal, Maximum green, traffic actuated signal control, isolated intersections, actuated, results show the efficiency, efficiency and the robustness, green times, TAC, control
extract the maximum power, controller for grid integration, single stage conversion method, Logic and ANFIS controller, integration of the Solar, Maximum Power Point Tracking, based Fuzzy Inference System, Adaptive Network based Fuzzy, SPV, power, power produced by SPV, Solar Photo Voltaic
lattice congruence relation, complemented elements, elements are the special, role, play an important role, relation and homomorphism, fuzzy lattices, special, research, play, special elements in fuzzy, show the relation theorem
work is to study, based on DC motor, horizontal axis wind, current and electromagnetic, XSG tools Applied, Variable Speed Wind Turbine, design a Fuzzy Logic, Implementation using XSG tools, quality and to overcome, Logic Controller Hardware Implementation, wind turbine emulator based, proved the efficiency
Conductivity, limited land, fuzzy was the duration, simultaneously manage fish, aquaponics, Fuzzy, Cultivation technology in agriculture, Aquaponic Cultivation Cultivation technology, Electrical, System, duration of the pump, Logic-Based Electrical Conductivity Control
controlling and monitoring ornamental, utilizes the concept internet, embedded system, fuzzy logic method, ornamental plants using fuzzy, concept internet of things, sensor, presented the design, Automation system for controlling, logic, paper, fuzzy
Logic The research presents, adjustment method, supplied to the furnace, Stoves Unit Using Fuzzy, Reducing the hot blast, end of blast cycles, temperature at the end, Fuzzy Logic, Hot-Blast Stoves Unit, air heaters sequential mode, taking into account, blast furnace air heaters
action system Traffic congestion, problem that requires extremely, extremely complex, demonstrates the main, dynamic hybrid fuzzy logic, network with accident detection, fuzzy logic theory, complex and iterative solutions, Traffic light control system, accident, system, explain the main parts
Factor Based Improved Switching, researchers to remove noise, Logic Gain Factor Based, Based, Noise, Fuzzy Logic Gain, continuously modified, Improved, based switching median filter, Filter, median filter is actively, Median
Measure, Application of Fuzzy Logic, Logic on Astronomical Images, astronomical observations quality, Focus Measure Focus accuracy, Focus, Fuzzy, accuracy is an essential, essential factor that affects, Logic, Images, tolerant of imprecise
fuzzy logic inference systems, toolkit, logic software toolkit based, types of fuzzy logic, discuss and present, functionality of an initial, toolkit supports the implementation, programming language, initial version, logic, describe the main functionality, fuzzy
fuzzy logic control, control scheme, Motor, strategy to optimize parameters, Motor This paper proposes, Magnet, magnet brushless motor drive, Permanent Magnet Brushless, determine all the static, logic, MATLAB Environment to compare, fuzzy
motor using Arduino based, Arduino based on MATLAB, industry is proportional, shows the effectiveness, fuzzy logic, PID controller, control strategy in industry, Support Package for Arduino, proportional integral derivative, Simulink Support Package, servo motor, PID
fuzzy inference system, Google, support the superiority, advertising campaigns Google Adwords, user proposes the maximum, maximum bidding price, bidding price optimization scheme, adapts the final bidding, price controller based, Adwords, fuzzy, Google Adwords advertising campaigns
Logic based Recommendation System, System, Accident Data Analysis Road, Analysis, life threatening thing, Fuzzy Logic, road accident studies spotlight, road transportation, System for Road Accident, hazards in recent days, Road, public health hazards
parameter optimization for forecasting, fuzzy hybrid rule-based system, interval, fuzzy disjunctive normal forms, paper addresses, amount of tardiness, company in Canada, operation in a steel, fuzzy, membership functions, system, tardiness variables are represented
networks This research addresses, interference coordination, coordination schemes require, small, improve the performance, resource, cells, method, research addresses the issue, allocation in small cell, Three-state fuzzy logic method, small cell networks
PSO, applied to the wind, Wind, permanent magnet generator, fuzzy logic controller, strategy based, presents a control strategy, Logic, Variable Speed Wind Turbines, particle swarm optimization applied, energy conversion system equipped, logic controller utilizing particle
press a button, posturally perturbed standing subjects, standing subject is required, guesses in posturally perturbed, thought that a short, standing, experiments to separate hits, fuzzy logic in psychophysical, Anterior-Posterior Center of Pressure, Forced Choice Interval task, false positives, Forced
end goal to hold, hold existing clients, Customer Loyalty Internet, Retail, capacities to improve customer, thing, good source of revenue, focus their assets, Fuzzy Logic, Loyalty, assets and capacities, Loyalty Internet of thing
Peak Current Detection, PV-FED Water Pumping System, BLDC Motor, water supply solutions, Brushless Direct, Modeling of Peak Current, involves the development, Fuzzy Logic, results demonstrate the superior, Motor for PV-FED Water, Water, Fuzzy Logic Controller-based Simulation
Mamdani Interval Type, Based, controlling power electronics devices, affects the performance, Fuzzy Logic, device attracts many researchers, Interval Type II Fuzzy, Based DSTATCOM with Controlled, Type, Sugeno, Logic Controller Based DSTATCOM, DSTATCOM
technique for Long Term, handover In previous cellular, optimization technique, changing the parameters, manually was time consuming, based, based on user mobility, previous cellular networks, Long Term Evolution, enhanced fuzzy logic optimization, LTE, handover
software systems are challenging, era computing that produces, systems, fuzzy logic Autonomic, produces effective software, challenging in new era, resolve their own problems, properties of automatically resolve, systems using fuzzy logic, Predicting maintainability, Quality Metrics, autonomic software systems
training approach based, neural networks, based on the Levenberg-Marquardt, proposed, fuzzy neuro systems, Levenberg marquardt algorithm, membership function, conventional gradient descent, order, fuzzy, show that the learning, order derivatives
technique using discrete wavelet, discrete wavelet transform, logic algorithm, types, types This paper proposes, paper proposes a technique, Application of DWT, DWT and fuzzy logic, fuzzy logic for identifying, fuzzy, DWT, classifying simultaneous fault types
Model, shows that the score, FOQ, expert and the analysis, training to civil flight, Based, assess the flight training, effective method, Flight Operation Quality Assessment, Fuzzy Logic, Quality Assessment Model Based, Flight
mechanism This paper proposes, GPC, proposes a fresh method, MIMO, event triggered mechanism, logic and event triggered, fresh method for generalized, fuzzy, fuzzy logic based GPC, Automated GPC tuning based, generalized predictive control, based on fuzzy logic
Model Predictive, achieve safety, Control System Cruise control, results underscore the importance, Fuzzy Logic, save energy, Cruise Control System, identify the efficiency, enhance driving comfort, System, PID, avoid road accidents
random binary sequences, Architecture In stochastic computing, systems numbers, fuzzy inference architecture, SL-based fuzzy logic controller, computational mechanism is based, Fuzzy, Stochastic Logic-Based Fuzzy Logic, numbers are represented, demonstrates the application, Experimental Results, Stochastic
design of a Fuzzy, Implementing fuzzy logic controller, control induction motor drives, paper describes a simple, include overlap, techniques for indirect vector, indirect vector control induction, drives This paper describes, confirm the efficiency, output membership functions, logic controller techniques, FLC based Field Oriented
Ostrava for the control, levitation model and obtained, sampling period, modern numerical methods, University of Ostrava, paper presents, technological processes with sampling, Informatics and Computers, Fuzzy Logic, Computers the Faculty, sensitive non-linear fast, non-linear fast technological processes
demonstrating the effectiveness, Computing derivatives in interval, handle with uncertainties, fuzzy logic systems trained, method for fault classification, switch, descent method for fault, lack of adjustment, guided from one track, switch machine A switch, machine is an electromechanical, trained by steepest descent
DTC of VSI fed, IPMSM drives Fuzzy set, area of power electronic, power electronic systems control, Fuzzy set theory, gained great attention, VSI fed IPMSM drives, set theory has gained, speed controller for DTC, highlighted the superiority, Design and performance analysis, analysis of fuzzy logic-based
specific plant characteristics, Vector Control of Induction, errors in selecting fuzzy, relying on specific plant, motor drive applications, function without relying, Fuzzy, Controller The Fuzzy Logic, shown the feasibility, Fuzzy Logic Speed Controller, Logic, Enhanced Vector Control
energy, modules The conversion, solar, solar energy into electrical, increasingly encouraged and adopted, fuzzy logic based, point, maximum power point tracking, track the maximum power, conversion of solar energy, perturb and observe algorithm, solar photovoltaic modules
failure, root cause of problem, sources that disrupting plant, plant, High Pressure Boiler, palm oil refining, disrupting plant operation, troubleshooting, deodorizer, Fuzzy logic model, Process and Instrumentation Diagram, Standard Operating Procedure
expert system based, task, impacts the work estimation, logic for estimating effort, estimation in the scrum, process splits the work, Fuzzy, task complexity, Effort, team, Fuzzy Logic-based Expert System, Scrum Projects
enhances the performance, algorithms in each software, detection finds a greater, finds a greater significance, edge detection technique, applied to MRI images, Fuzzy Logic Controller Edge, processing and computer vision, features to simplify, machine learning models require, inorder to detect, reviews the effectiveness
Algorithm for the Wireless, Sensor, consumption since the power, inputs of the Node-Density, determines the communication, Clustering Algorithm, Wireless Sensor Networks, power constraint still remains, Fuzzy-logic Based Energy-efficient Clustering, Residual-Energy and the Total-Distance, promising schemes to reduce, energy
Robot, design and implementation, Heading Control using Fuzzy, response of the control, Design, Mobile Robot Heading, Fuzzy, Controller This paper introduces, analyzes the response, Logic, implementation of mobile robot, Fuzzy Logic Controller
past few decades, Takagi-Sugeno fuzzy inference, Inverted Pendulum Based, Interval, engineering applications, Fuzzy Inference System Interval, Fuzzy, utilizes the Takagi-Sugeno, Adaptive, Control of an Inverted, Intelligent Control, show the efficacy
Ostrava for the control, fast and sensitive, sensitive non-linear technological processes, sampling period, modern numerical methods, University of Ostrava, Intelligent Systems Laboratory, paper presents, technological processes with sampling, Fuzzy Logic, application of the Linguistic, fast
paper proposes an advanced, financial risk assessment leveraging, Learning This paper proposes, Risk, machine learning techniques, leveraging a synergistic blend, advanced framework, Learning, Fuzzy Logic, Enhanced Decision Support System, Financial, synergistic blend of fuzzy
formation, requirements for materials, factors affecting the process, Fuzzy Logic Methods, Power of Siberia trunk, ice, main pipelines passing, including ice, Functioning of Main Pipeline, passing through the distribution, permafrost zone are affected, affects the environmental
order to effectively prevent, paper proposes, Yangtze River, accidents in the Yangtze, Navigation Obstruction Risk, proposes a fuzzy logic, Logic, Obstruction Risk of Shipwreck, Fuzzy Logic Based Approach, effectively prevent accidents caused, logic approach for navigation, River In order
