named English, books named English, Century English, English learning, Grammar, Century English grammar, books named, Grammar Books, English, Gutenberg Project, English words, English Grammar Books
Logic Control, Maximum power point, power point trackers, Logic Control Strategy, Studied FPPT Method, Comparative Analysis, Fuzzy Logic, traditional MPPT methods, Control Strategy Based, Strategy based Perturb, Perturb and Observe, Fuzzy Logic Control
Adaptive Fuzzy Control, Multi-agent Systems Based, Cooperative Adaptive Fuzzy, Affine Nonlinear, Uncertain Affine, higher-order affine nonlinear, Affine Nonlinear Multi-agent, Nonlinear Multi-agent Systems, Systems Based, Uncertain Affine Nonlinear, Potential Functions Cooperative, Artificial Potential Functions
Interval, Logic Systems, Logic, Computational Cost, cost-sensitive real-world applications, Comparisons Interval, real-world applications, Fuzzy Logic, Approaches for Reducing, overview and comparison, Systems, Fuzzy Logic Systems
control doubly fed, improved stator active, Hyposynchronous mode, fuzzy logic, power point tracking, power control based, fed induction generator, presents an improved, doubly fed induction, wind-turbine dfig, fuzzy logic control, paper presents
complex relationships hidden, classifier requires understanding, Handling CHD Classifier, requires understanding, based fuzzy logic, Fuzzy Logic Techniques, statistical information, Fuzzy Logic, fuzzy logic based, Logic Techniques Developing, Machine Learning, fuzzy logic approaches
dynamic environments, improve classical approaches, proposed ant colony, ant colony algorithm, grown dramatically, Fuzzy Logic, improve classical, approaches have grown, ant colony optimization, ant colony, dynamic environments Researches, Fuzzy Logic algorithms
buck-boost DC-DC converter, DC-DC converter powered, Photo Voltaic, fuzzy logic controlled, buck-boost DC-DC, powered by Photo, powered buck-boost, Battery-Load system, logic controlled buck-boost, DC-DC converter, converter for Battery-Load, controlled buck-boost DC-DC
logic Negative, considered as important, important as positive, positive knowledge, type of fuzzy, logic calculus system, knowledge, Negative, fuzzy propositional logic, logic Negative knowledge, propositional logic Negative, knowledge processing
system combining intuitionistic, fuzzy description logics, hybrid system combining, intuitionistic fuzzy logic, logic programs suffice, intuitionistic fuzzy description, intelligent hybrid system, fuzzy logic, hybrid system, combining intuitionistic fuzzy, logic programs, fuzzy logic programs
application requirements, meet the application, network lifetime, routing protocol, wireless sensor, wireless sensor networks, Distributed fuzzy logic, techniques to meet, requires adaptive methods, cluster-based routing protocol, Low Energy Adaptive, methods and techniques
buck-boost DC-DC converter, FLC, converter for solar, controlled, solar energy-battery, Fuzzy logic, buck-boost DC-DC, logic controlled buck-boost, DC-DC converter, controlled buck-boost DC-DC, logic, Fuzzy logic controlled
CART Fuzzy Logic, faulty steel plates, production to reduce, Plate Fault Classification, CART Fuzzy, Fuzzy Logic, reduce the cost, Steel Plate, faulty steel, systems correct faulty, Steel Plate Fault, correct faulty production
solve the problem, fuzzy logic techniques, fuzzy logic, Grey Relational Analysis, heterogeneous wireless environment, attempt to solve, Analytic Hierarchy Process, decision making, heterogeneous wireless, wireless environment, Multiple Attribute Decision, Attribute Decision Making
sensor, Cluster, wireless sensor, wireless sensor networks, formation, nodes are partitioned, sensor networks, sensor nodes, energy, network lifetime, order to conserve, Cluster formation
Logic Algorithm Herbs, identify herbaceous plants, Herbaceous Plants, electronic nose system, Fuzzy Logic Algorithm, Herbs produce, Electronic Nose, Fuzzy Logic, produce non-woody stems, applications in medicine, Algorithm Herbs produce, Herbs produce non-woody
International Electrotechnical Commission, Fuzzy Logic Approach, Power Transformer Fault, Dissolved Gas Analysis, Based on Dissolved, Transformer Fault Based, tuned hyperparameters based, Dissolved Gas, Fault Based, Gas Analysis, gas analysis results, high voltage transformer
resulting in inefficient, Pakcoy Cultivation Based, Mamdani Fuzzy Logic, Sprinkler Irrigation System, Irrigation System, uncontrolled resulting, Fuzzy Logic, Mamdani Fuzzy, manual irrigation systems, LoRa Communication, Irrigation, affect costs
based Control Technique, Solar PV System, Logic based Control, based Control, Fuzzy Logic based, System This paper, Control, logic based maximum, Fuzzy Logic, Logic based, System, MPPT
grid power consumption, renewable energy source, Controller for Load-Shifting, Fuzzy Logic Controller, Smart Homes, Battery Storage, renewable energy, solar panels varies, Fuzzy Logic, Battery, dominant renewable energy, energy source
Dengue notification system, patient, fuzzy logic Dengue, Dengue fever, fuzzy logic, fuzzy, critically ill, hard to identify, logic, Dengue, fuzzy logic approach, logic Dengue fever
bipedal robot, enables precise, Fuzzy Logic Controller, Particle Swarm Optimization, enables precise walking, Fuzzy Logic, Bipedal Walking Robot, Optimized Fuzzy Logic, hybrid fuzzy logic, Robot, bipedal robot composed, precise walking behavior
Temperature and Humidity, Oyster Mushroom Cultivation, consumed by Indonesian, Humidity Control, Fuzzy Logic Controller, Humidity Control System, Controller Oyster mushroom, Fuzzy Logic, Oyster Mushroom, Design and Implementation, Indonesian people, Logic Controller Oyster
form fuzzy, interpolating inference results, reduce system complexity, interpolation enables fuzzy, bases by interpolating, Closed form, fuzzy, form fuzzy interpolation, removing similar, enables fuzzy inference, Closed form fuzzy, sparse rule bases
Fuzzy Logic toolbox, logic based transesophageal, fuzzy logic, transesophageal echocardiography motorized, exists growing, motorized probe control, echocardiography motorized probe, growing demand, logic based, fuzzy logic based, based transesophageal echocardiography, exists growing demand
Load Frequency Control, broadly expended, frequency control suitable, Power System, Load Frequency, Fuzzy Logic Controller, area thermal power, Fuzzy Logic, power plant, contemporary power system, thermal power plant, Multi-Area Power System
photo voltaic, wind turbine, power industry, Distributed Generation, technology like fuel, Distributed, Fuzzy Logic Technique, Fuzzy Logic, customer demands, power distributed system, Islanding Detection, fuel cell
Conditional Responses, Motion input device, Logic, Algorithm for Gestural, Gestural Input Game, Responses Algorithm, Fuzzy Logic, Fuzzy Logic Classifier, Leap Motion input, Conditional Responses Algorithm, paper presents hand, Classifier and Conditional
Application of fuzzy, ARM Cortex, gap, electrical discharge machine, fuzzy logic, fuzzy, controller, discharge machine, gap-width controller, Application, discharge, logic
VTOL Aircraft, Logic Trajectory Tracking, Quadrotor VTOL Aircraft, Elliptic Membership, unmanned aerial vehicles, Fuzzy Logic Trajectory, Trajectory Tracking Control, Quadrotor VTOL, quadrotor vertical take-off, Elliptic Membership Functions, Membership Functions Emerging, Functions Emerging applications
online marketing, fuzzy logic Approach, usage proportion, proportion of internet, logic Approach, online marketing Online, Approach to predict, showed dramatic, increase related, dramatic increase related, marketing Online marketing, showed dramatic increase
paper aimed, strategies for real, Optimal power flow, power flow, strategies, fuzzy logic, Petri Nets, MicroGrid, real time, flow management strategies, real time operation, power flow management
transactions This article, article proposes suitable, proposes suitable solution, solution to detect, Takagi-Sugeno Neural-Fuzzy, article proposes, Fuzzy logic, Deutsche bank fraud, bank fraud transactions, Takagi-Sugeno training method, Neural-fuzzy Takagi-Sugeno training, Deutsche bank
fuzzy logic Notwithstanding, multi-sensor fire detection, campaigns being carried, real-time multi-sensor fire, Hardware module design, massive fire safety, fire outbreaks continue, fire safety campaigns, Hardware module, logic Notwithstanding massive, Notwithstanding massive fire, fire detection
paper present, fault type classification, input pattern, DWT, distribution system, underground distribution system, fuzzy logic, proper input, proper input pattern, system This paper, fuzzy logic algorithm, underground cable
Case, fuzzy systems, Footprint of Uncertainty, biometrics This research, research proposes, systems based, uncertainty, fuzzy, fuzzy systems based, fuzzy system inputs, level of uncertainty, response integration
results MARA Junior, examinations results MARA, MARA Junior, Amanah Rakyat, Sijil Pelajaran Malaysia, Majlis Amanah, Penilaian Menengah Rendah, Majlis Amanah Rakyat, forecasting general examinations, Junior Science College, MARA Junior Science, Science College
fuzzy logic controller, quadrotor hovering mode, paper proposes, proposes fuzzy logic, fuzzy logic, proposes fuzzy, fuzzy, hovering mode, quadrotor, logic controller algorithm, paper proposes fuzzy, logic
main fuzzy logic, Picture Fuzzy, picture fuzzy operators, Antanassov intuitionistic fuzzy, Zadeh fuzzy sets, Fuzzy Sets, Picture, Zadeh fuzzy, Fuzzy Logic, Fuzzy Logic Operators, Fuzzy, Sets
fuzzy logic controller, controlling complex systems, Tuning Fuzzy Logic-based, Optimization, Fuzzy Logic-based Trajectory, quadcopter trajectory tracking, Trajectory Tracking Control, shown a great, quadcopter indoor trajectory, Optimization Algorithms, Tracking Control, complex systems
expert systems, rate and blood, measuring system, Healthcare sector quality, system Healthcare sector, heart rate, blood pressure measuring, sector quality demands, measuring system Healthcare, blood pressure, design expert systems, pressure measuring system
nonlinear model, law is presented, law, generic hypersonic vehicle, vehicles based, generic hypersonic, hypersonic, dynamic inverse theory, hypersonic vehicles based, control law, integrated control law, dynamic inverse
power electronics devices, including power electronics, commonly used tools, variety of systems, tools for studying, studying stress conditions, electrochemical batteries, Fuzzy Logic, wide variety, Stress Cycle-counting Algorithms, Li-ion Batteries, including power
Weather prediction based, Automation Control System, supporting general farming, watering based, general farming automation, Weather Service Provider, supporting general, fuzzy logic, farming automation, Farming Automation Control, fuzzy logic algorithm, general farming
inverted pendulum robot, TWIPR, control, pendulum robot, fuzzy logic, logic control, two-wheeled inverted pendulum, control of two-wheeled, two-wheeled inverted, logic control strategy, fuzzy logic control, paper presents
sensitive-energy aware adaptive, wireless technologies, algorithm Nowadays, decision algorithm Nowadays, Speed sensitive-energy aware, increasing rapidly, wireless, generation wireless networks, Nowadays, generation wireless, based vertical handoff, aware adaptive fuzzy
Internet, Soil Moisture, Internet of Things, Things The Internet, optimize life based, Soil Moisture conditions, Automatic Watering System, Watering System Based, Measure Soil, Moisture and Environmental, Soil Moisture sensor, Measure Soil Moisture
Greenhouse, Control System, protocol Nowadays, Fuzzy Logic Controller, communication protocol Nowadays, Humidity Control System, land for farming, Humidity Control, urban areas, Intensity and Humidity, Light Intensity, Intensity
Nowadays nonlinear loads, Logic Technique Nowadays, Technique Nowadays nonlinear, Harmonic Compensation, increasing day, Active Filter, nonlinear loads, Fuzzy Logic, due to industriliasation, day due, Compensation Using Fuzzy, Shunt Active Filter
sensitive device, P-type fuzzy logic, Fuzzy logic, photon avalanche diode, single photon avalanche, temperature, single photon, single, application Single photon, avalanche diode, temperature sensitive device, diode
greenhouse gases, global temperature increase, greenhouse, Intergovernmental Panel, range of future, IPCCs Fourth Assessment, wide range, greenhouse gases concentrations, Fourth Assessment Report, temperature, estimate of global, gases
Selection, Personnel, Personnel Based, global competition, Multifactor Selection, personnel selection, problem, Based on Fuzzy, Based, human capital, conditions of global, essential factor
Active Power Filter, reactive power compensation, Power Filter, harmonic mitigation leading, Shunt Active Power, Fuzzy Logic, Shunt Active, Neuro fuzzy logic, Neuro Fuzzy Controller, Filter Shunt active, Active Power, Power Filter Shunt
fuzzy logic controller, control of BLDC, Closed loop control, Closed loop, fuzzy logic, fuzzy, BLDC, controller, BLDC motor, logic, loop current control, current
possessing significant potential, Convolutional Neural Networks, Danger Level, Control and Automation, Convolutional Neural, computer technologies applying, Cast Products, Neural Networks, applying combined systems, classifying hot cracks, Application of Convolutional, technologies applying combined
Characterization and Classification, Classification of Mangifera, Fuzzy Logic Algorithm, unripe Mangifera Indica, Electronic Nose, Mangifera Indica, Mangifera Indica Ripeness, Fuzzy Logic, plays a vital, Classification, agriculture plays, vital role
transmitted data, devices using secure, Security Evaluation Method, received through eavesdropping, transmitted data received, network or devices, proposed fuzzy logic, Proposed Security, security level, secure communication, Proposed Security Evaluation, data received
Internet of Things, mass mortality, reservoir caused, rapid mass, Fuzzy Logic, Based, Based on Internet, temperature, Upwelling, Fuzzy Logic Based, Logic Based, rapid mass mortality
Recommender System, improve and strengthen, Expert-Based Recommender System, Logic Expert-Based Recommender, evaluating their strategies, System for Improving, Fuzzy Logic, higher education institutions, higher education, Fuzzy Logic Expert-Based, strategies of enhancing, Improving Students’Employability
fuzzy logic, controllable precision based, logic based MPPT, densely clustered controllable, fuzzy logic based, densely clustered fuzzy, clustered controllable precision, fuzzy logic algorithm, clustered fuzzy logic, based densely clustered, based MPPT algorithms, maximum power point
logic approach, fuzzy logic, fuzzy, Classifier, proposed to improve, Fuzzy Logic Classifier, approach, improve flight recognition, Air targets, Air targets recognition, fuzzy logic approach, logic
West Sulawesi, Input Single Output, Study Case, Fuzzy Logic Algorithm, Multi Input Single, Zoning Using Fuzzy, Case In Majene, regional zoning, Susceptibility Zoning, Majene Regency area, Landslide Susceptibility Zoning, Regency area
Fuzzy Logic Approach, insulation properties, Identifying Transformer Oil, Fuzzy logic model, Condition monitoring, Approach Condition monitoring, Fuzzy Logic, Logic Approach Condition, Transformer Oil, Transformer Oil Criticality, aspect which leads, Logic Approach
Synthesis Strategy Based, Fuzzy Logic Approach, Granular Synthesis, synthesis technique constrained, Approach This paper, granular synthesis technique, Musical Harmony Theory, Harmony Theory, Strategy Based, Granular Synthesis Strategy, Musical Harmony, playback small portions
proposes a design, MAS, MAS energy management, MAS energy, fuzzy logic, fuzzy logic decision, optimal micro grid, autonomous multi agent, design and implementation, micro grid, energy, fuzzy logic control
extreme low power, Area Networks Wireless, Fuzzy Logic Controller, demand extreme low, Body Area Networks, Dynamic MAC Protocol, Networks Wireless body, Wireless Body Area, Traffic Aware Dynamic, Body Area, Wireless, Aware Dynamic MAC
transmission line, wavelet transforms, post fault samples, fuzzy logic, paper implemented wavelet, Haar mother wavelet, wavelet transforms integrated, cycle post fault, wavelet, Fault, paper implemented, logic
indirect vector controlled, motor drive SVPWM, fed indirect vector, SVPWM based, drive SVPWM algorithm, SVPWM based two-level, maximum output torque, Fuzzy logic based, vector controlled induction, vector controlled SVPWM, logic based controllers, controlled SVPWM based
Early tumor detection, Temper based K-means, Fuzzy logic, based brain MRI, Fuzzy logic based, MRI images, tumor, images Early tumor, MRI images Early, brain MRI, Early tumor, brain MRI images
obstacle avoidance controller, neural network methods, neural network, paper describes, fuzzy logic, logic control, avoidance controller, describes the development, robot obstacle avoidance, artificial neural network, artificial neural, fuzzy logic control
city of Wuhan, Fuzzy Logic Approach, India, Fuzzy Inference System, Wuhan China, cough and cold, Fuzzy Logic, Approach In December, Fuzzy, cold and ventilation, fuzzy system, Logic Approach
system fault detection, Performance Comparison, power transmission system, electrical power transmission, power system fault, fault detection, comparison of deep-learning, Logic and Deep, Deep Learning algorithms, Deep Learning, Comparison, paper introduces
reliability and safety, power circuit, activity for increase, fuzzy logic, technical condition, diagnosis system based, power circuit breakers, important activity, represent an important, increase the reliability, circuit breakers Monitoring, circuit breakers represent
broccoli plants, automatic watering system, Implementation of Watering, Fuzzy Logic Algorithm, Watering, Monitoring and Implementation, Fuzzy Logic, Robot based, System on Farming, Farming Robot, Farming Robot based, Watering System
image, image processing, fuzzy logic, fuzzy, detection, disease, detection system, processing, Orchid disease, disease detection system, Orchid disease detection, paper presents
Approach Mineral oil, Insulating Oil, Logic Approach Mineral, rapeseed oil, Oil, Mineral oil, distribution and transmission, insulating properties making, transmission transformers, palm oil, Transformers, insulating oil based
convenient method, method for expressing, logic approach, Fuzzy logic, components Fuzzy logic, Fuzzy logic approach, logic operations, performing logic operations, equipments' components Fuzzy, performing logic, electrical equipments' components, expressing vague categories
Induction Motor based, Logic Technique Fault, Faults Detection, increasingly important, Fuzzy Logic Technique, Fuzzy Logic, winding faults based, Stator Faults Detection, stator winding faults, Technique Fault detection, Detection in Induction, Electric Stator Faults
acknowledged due, Fuzzy logic controller, Fuzzy logic, model-free characteristics, machine Fuzzy logic, Fuzzy logic based, induction machine Fuzzy, machine Fuzzy, logic based, Fuzzy, logic based controllers, largely acknowledged due
uncertain dynamics, control, Fuzzy logic, proposed fuzzy logic, tracking control problems, logic control, uncertain robot, adaptive fuzzy logic, output constraint, fuzzy logic strategy, Fuzzy logic control, robotic system
profiling system based, vehicle class, Automated vehicle class, intelligent traffic system, system, color profiling system, color profiling, study proposes, class and color, distinct information, automated car profiling, specifically have distinct
fuzzy logic controller, set point, Nutrient Concentration Control, concentrations in hydroponic, Total Dissolve Solid, Control System, Concentration Control System, Hydroponic Plants Based, control nutrient concentrations, Hydroponic, Fuzzy Logic, Nutrient
suitable control technique, logic applied, control technique, Fuzzy logic applied, Fuzzy logic, machines, electrical, technique for fast, suitable control, fuzzy logic algorithm, fast processes, electrical machines
Image enhancement, neural network, fuzzy logic, Digital, logic Digital images, Digital images, logic Digital, Image, artificial neural network, source of information, artificial neural, fuzzy logic Digital
widespread adoption due, adoption due, aspect of modern, Fuzzy Logic Traveling, witnessing widespread adoption, Electric Bicycle Controller, witnessing widespread, essential aspect, Electric Bicycle, modern life, Bicycle Controller, energy-efficient operation
formation control scheme, formation shape control, group formation control, wheeled mobile robots, logic-based formation control, Fuzzy logic-based group, group formation, group of wheeled, logic-based group formation, multiple wheeled robots, multiple wheeled, paper presents
Maximum Power, Power Point Tracking, DC-DC converter based, fuzzy logic, Residential grid connected, connected solar inverter, logic DC-DC Converter, Maximum Power Point, grid connected, fuzzy logic algorithm, fuzzy logic DC-DC, grid connected inverter
Logic, Testing Fuzzy Logic, fighting robot based, Fire Fighting, fighting robot requires, Fire, Fuzzy Logic, input signal received, Fire Fighting Robot, Robot, Flame Detector, Fuzzy Logic Control
DTC Strategies Aimed, estimation of stator, Fuzzy Logic DTC, Drives This Direct, stator flux, IPMSM Drives, Direct torque control, DTC Strategies, Logic DTC Strategies, Comparative Study, electromagnetic torque based, classical DTC strategy
measure the similarity, edge, quality evaluation, detection quality evaluation, edge detection quality, fuzzy logic, quality evaluation Recently, similarity with respect, edge detectors evaluation, edge detection, image edge detection, edge reference image
Turbine System based, Power Point Tracking, Point Tracking, Boost type Vienna, Magnet Synchronous Generator, Boost type, Permanent Magnet Synchronous, Maximum Power Point, type Vienna Rectifier, small-scale Wind Turbine, Wind Turbine System, Wind Turbine
power systems network, South African power, South African distribution, African power systems, big data integrity, power system big, Determining South African, African distribution power, African power, system big data, South African, distribution power system
Predicting Rainfall Patterns, Fuzzy Logic Approach, water resource management, Patterns Rainfall prediction, Approach to Predicting, Predicting Rainfall, Patterns Rainfall, Rainfall Patterns Rainfall, Fuzzy Logic, including agriculture, Logic Approach, Rainfall Patterns
edge detectors applied, edge, image processing systems, systems Edge detection, improve performance, training phase, fuzzy edge detectors, essential step, edge detectors, pattern recognition systems, phase in pattern, fuzzy edge
Mobile Robot, Obstacle Avoidance Mobile, Autonomous mobile robots, recent times, times gained interest, Avoidance Mobile Robot, Robot Autonomous mobile, Mobile Robot Autonomous, Robot Autonomous, Mobile, recent times gained, times gained
Adaptive Fuzzy Control, Approximation Approach Controlling, Approach Controlling, Controlling nonstrict-feedback nonlinear, Fuzzy Approximation Approach, Fuzzy Control, nonstrict-feedback nonlinear systems, Adaptive Fuzzy, control theory, Approach Controlling nonstrict-feedback, Nonlinear Systems, Class of Nonlinear
sensor, wireless sensor, wireless sensor networks, selection in wireless, sensor networks Fuzzy, fuzzy logic, cluster head selection, networks Fuzzy logic, wireless, head selection, cluster head, research works
light timing contributes, adaptive traffic light, traffic light, rage and air, traffic light management, traffic, traffic light timing, light, number of vehicles, vehicles arrival, air pollution, light management system
Electric Vehicles, Logic Control Permanent, industrial applications, Gate Signal Blocking, Performance Analysis, Periodic Gate, applications and Electric, Gate Signal, Periodic Gate Signal, Analysis of Periodic, Control Permanent magnet, Fuzzy Logic Control
Sensor Network, Decision Support Based, Support Based, Irrigation Decision Support, Smart Irrigation Decision, Wireless Sensor, Network Smart Irrigation, Network Smart, Fuzzy Logic, Sensor Network Smart, Smart Irrigation, Wireless Sensor Network
Routing Load Balancing, Load Balancing, Prototype Design, Load Balancing Algorithm, Balancing Algorithm based, Logic Network congestion, Fuzzy Logic, Fuzzy Logic Network, Design for Routing, Network, network performance, Routing Load
digital asynchronous circuits, transistor level, fuzzy logic intersection, CMOS technology, fuzzy set operators, fuzzy logic, Implementation of fuzzy, technology This paper, circuits in CMOS, fuzzy logic union, digital asynchronous, paper presents
producing tools aims, Logic Control, make it easier, easier for oil, raw materials, copra producing tools, tools aims, Fuzzy Logic, Copra Production, oil producing, oil producing industries, Fuzzy Logic Control
fuzzy logic controller, MATLAB fuzzy logic, tomato growth chamber, fuzzy logic, Carbon Dioxide, relative humidity, fan and growlight, growth chamber, vent fan, humidity and Carbon, chamber fuzzy logic, prototype tomato growth
Vehicular ad-hoc network, Logic Based VANETS, well-organized transportation system, Smart Transportation System, interconnect a group, logic based vehicular, roadside base stations, Fuzzy Logic, Vehicular ad-hoc, Smart, Fuzzy Logic Based, Based VANETS
interval type, cross track error, fuzzy logic, fuzzy logic Nowadays, emergency situation, fixed set-point based, type II fuzzy, Parafoil, logic Nowadays, rescue material, key technology, Parafoil air-dropped control
cluster, sensor networks Today, Today WSNs, sensor, wireless sensor, wireless sensor networks, consist of thousands, networks Today WSNs, important role, Today, thousands of small, wireless
number, fuzzy systems, systems to estimate, public data-sets, estimate the number, fuzzy logic, hyperspectral image, devices and public, hyperspectral, number of endmembers, create material maps, endmembers present
Humanoid robot, Humanoid robot hierarchical, system, presents a supervisory, Fuzzy Inference System, robot motion planning, control system, humanoid robot motion, supervisory control system, Petri net, robot hierarchical navigation, paper presents
uncertainty modeling, Logic Systems, Logic, input-output uncertainty modeling, Fuzzy Sets, uncertainty, Fuzzy Logic, commonly attributed, Fuzzy, Monte Carlo simulation, Systems, Fuzzy Logic Systems
stirred tank, Proportional Integral, Proportional Integral Derivative, genetic algorithm, fuzzy logic, determine Proportional Integral, Integral Derivative, tank heater temperature, temperature control process, stirred tank heater, heater temperature control, tank heater
logic based systems, Hybrid Super, neural fuzzy logic, fuzzy logic oriented, Hybrid Super Capacitors, Super Capacitors management, Lithium-Ion Hybrid Super, Neuro-Fuzzy Lithium-Ion Hybrid, fuzzy logic based, VHDL based Neuro-Fuzzy, VHDL language imposes, based Neuro-Fuzzy Lithium-Ion
harmonic elimination Active, current harmonic elimination, reactive power compensation, electrical distribution system, controlled shunt active, Fuzzy logic, shunt active filter, reactive power, elimination Active filters, active power filter, shunt active, Fuzzy logic controlled
Takagi-Sugeno fuzzy logic, conditions for interval, fuzzy logic, LMI-based, fuzzy, logic control, Matlab LMI Toolbox, fuzzy controllers, stability conditions, fuzzy logic control, fuzzy model, logic control systems
Soft-Starting Method Brushless, Logic Control, Electric bikes, energy converting method, Electric, vehicle started, Fuzzy Logic, Method Brushless, Electric Bicycle, electric vehicle started, Fuzzy Logic Control, started to developed
Central Mining Research, Station, Geomechanical, logic CMRS, classification system based, Central, Mining Research, Research Station, Central Mining, fuzzy logic CMRS, Mining Research Station, Geomechanical rating
highly needed, Logic, ease teacher, Fuzzy Inference System, Fuzzy Mamdani Logic, making is highly, Fuzzy, decision making, System, needed to ease, Mamdani Logic, Fuzzy Mamdani
main focus, domain analysis, logic and Genetic, Motor, Field, Fuzzy logic, Stability analysis, stability analysis includes, analysis, Field controlled, armature controlled, Genetic algorithm
Join and Meet, Meet, Memberships, Fuzzy Sets, Secondary Memberships, arbitrary secondary memberships, Meet Operations, Bustince Sola, Operations, Fuzzy, Sets, interval-valued fuzzy sets
Green energy, controlled boost converter, achieve global sustainability, logic controller Green, loop controlled boost, implementation of closed, Green energy resources, boost converter, readable solution, Design and implementation, closed loop controlled, controller Green energy
hybrid mobile, based approach, quadrotor vehicle, fuzzy logic, logic based approach, study presents, perform goal seeking, fixed path, Obstacle avoidance, hybrid mobile-quadrotor vehicle, fuzzy logic based, fuzzy logic control
wireless networks Relays, networks Relays, soft demapping technique, achieve cooperative diversity, Forward, Quadrature Amplitude Modulation, cooperative wireless networks, Decode and Forward, Amplify and Forward, achieve cooperative, cooperative wireless, LDPC receiver
fuzzy logic controller, power consumption, fuzzy logic, fuzzy, controller, general purpose controllers, advancement of Electronics, complex problems efficiently, general purpose, fuzzy logic based, logic, processors increased drastically
Fuzzy Systems Hierarchical, Logic Systems, Logic, Systems Hierarchical Fuzzy, Conventional Fuzzy Logic, Fuzzy Systems, Fuzzy Logic, Hierarchical Fuzzy, Hierarchical Fuzzy Systems, Fuzzy, Fuzzy Logic Systems, Decomposing Conventional Fuzzy
Cluster Head Selection, Improved CHSFL, body area networks, Fuzzy Logic, wireless body area, Logic to Improve, low energy usage, Head Election Algorithm, Improve Lifespan, Head Selection based, Election Algorithm Based, Cluster Head
traffic light system, controlled intelligent traffic, system Pre-timed traffic, system, fuzzy logic, traffic, handling vehicular congestion, longer sufficient, intelligent traffic, Pre-timed traffic light, logic controlled intelligent, light system Pre-timed
EAUCF algorithm, Transmission Line, Optimization Algorithm Based, Transmission Line Natural, Research and Application, Fuzzy Logic, Clustering Optimization Algorithm, Natural Disaster Monitoring, Line Natural, wireless sensor network, Clustering Optimization, Line Natural Disaster
Business Strategy, Fuzzy Logic Present, Method Using Fuzzy, Logic Present, Decision Making, Fuzzy Logic, Making Method, Logic Present world, technical evaluation, Present world, Decision Making Method, Effective Business Strategy
Interval, Pendulum Stabilization Interval, Logic Systems, handle uncertainties, Logic, wide range, ability to handle, Inverted Pendulum Stabilization, Fuzzy Logic, Fuzzy, applications due, Fuzzy Logic Systems
fuzzy logic controller, Mamdani and defuzzification, fall time, time, settling time, fuzzy logic, system, method of Centroid, Testing, implement fuzzy logic, rise time, study aims
wind turbine generating, based wind power, wind power units, wind turbine, logic approach, Fuzzy logic, proposed fuzzy logic, Fuzzy logic approach, generating units, turbine generating units, converter based wind, based wind
fire sensor, fighting robot, detect fires, extinguisher to detect, Fire Fighting, robot, Fire Fighting Robots, Fire, Tracking fires requires, room, Fuzzy, Fighting
electrical modes based, Fuzzy Logic, electric power systems, Voltage Mode Based, optimize the voltage, Voltage Mode, modern promising methods, Mode Based, electric power, systems and develops, power systems, optimizing electrical modes
YARA, YARA Rules, Malware Analysis YARA, YARA rules employed, perform malware analysis, Analysis YARA rules, YARA rule conditions, Rules, YARA rules utilises, Analysis YARA, Embedding Fuzzy Rules, rules utilises string
Scheduling Traffic Light, traffic light system, Light Control System, fuzzy logic controller, Fuzzy Logic Traffic, Traffic, Phase Scheduling Traffic, Logic Traffic signals, Fuzzy Logic, light system, Traffic Light, Light Control
fuzzy logic controller, operation of utility, superheated steam temperature, fuzzy logic, Design of superheated, fuzzy, controller, steam, conventional PID controller, efficient operation, Conventional PID, boiler steam turbines
fuzzy inference method, data, Fuzzy data, paper proposes, classical Mamdani mechanism, Mamdani fuzzy, Mamdani fuzzy inference, method, Fuzzy, fuzzy inference, data processing based, Fuzzy data processing
increasing due, logic-based power system, electric vehicle chargers, limits for economic, system stabilizer Variability, vehicle chargers, due to pushing, energy sources, turbines and photovoltaic, power system stabilizer, Variability in power, economic purposes
Tuning, voltage, food, crisis is predicted, voltage pulse generator, Duty Cycle, Duty Cycle Tuning, high voltage pulse, predicted to hit, hit the world, nutritional crisis, Cycle
adaptive, Direct adaptive, hypersonic flight vehicle, fuzzy logic, Direct, fuzzy, fuzzy logic system, flight vehicle, hypersonic flight, fuzzy logic control, logic, generic hypersonic flight
logic controller system, water quality, Pond The objective, temperature and dissolved, Fuzzy Logic Controller, Oxygen Control System, monitoring the temperature, Fuzzy Logic, control water oxygen, Aquaculture Pond, Implementation of Fuzzy, water oxygen systems
ANFIS, Network-based Fuzzy Inference, inference System completely, Network-based Fuzzy, Fuzzy Inference System, System completely, describe inference structure, Fuzzy Logic, Fuzzy, Fuzzy Logic inference, goal Adaptive Network-based, Adaptive Network-based Fuzzy
constantly served, logic Swarm Intelligence, purpose of global, clustering, swarm optimization, Swarm Intelligence algorithms, swarm, served a purpose, global search, Intelligence, global search method, particle swarm optimization
based non-linear excitation, maintain power system, synchronous generator Power, Fast stability achievement, generator Power System, power system voltages, Power, excitation control, operating conditions, non-linear excitation control, stabilized operation, Power System
Simulink Model, control problems, Logic Systems, Logic, Simple Matlab Simulink, Simple Matlab, Model for Adaptive, Fuzzy Logic, Adaptive General, Matlab Simulink Model, Systems, Fuzzy Logic Systems
fuzzy logic controller, controller Series compensation, Series compensation, adaptive neuro fuzzy, power transfer capacity, fuzzy inference system, system controller Series, enhance power transfer, neuro fuzzy, Power System networks, long transmission lines, neuro fuzzy inference
