Grammar Books, English Grammar Books, named English, order to systematically, adopted to study, English learning, English Grammar, Century English, Century English grammar, named English Grammar, important materials, English, books named English, Gutenberg Project, Text Mining, books named, unstructured data, Grammar, Books, English words
Evolution algorithm, Fuzzy differential evolution, Differential Evolution algorithm, parameter adaptation, dynamic parameter, interval type, mutation parameter, dynamic parameter adaptation, comparison algorithm, call Fuzzy, set of functions, call Fuzzy Differential, Fuzzy differential, evolution method, differential evolution method, differential evolution, Fuzzy, fuzzy logic, differential, functions Benchmark
Intuitionistic, Logic, Fuzzy Logic Fuzzy, vagueness, partial, Intuitionistic Fuzzy Logic, study, uncertainty, truth, Fuzzy Logic, reasoning, Fuzzy, Logic Fuzzy Logic, partial truth, imprecision, Logic Fuzzy, comparative, reasoning process, Intuitionistic Fuzzy, comparative study
Interval, fuzzy logic systems, processing uncertain data, fuzzy, fuzzy set, set, Fuzzy systems, data classification Fuzzy, logic systems optimization, advantages in processing, data, systems based, processing uncertain, optimization, Fuzzy systems based, based, classification Fuzzy systems, fuzzy logic, systems, uncertain data compared
real world, fuzzy, real world problems, linguistic data, survey In recent, literature survey, world problems, power systems, imprecise data, numerical data, fuzzy system theory, data, system, logic in power, fuzzy logic, recent years, systems, deal with linguistic, fuzzy systems, problems is increasing
extensive computational applications, Logic, model theory, Gödel, Gödel Modal Logic, extensive computational, propositional modal, Modal Logic, Bisimulation for Gödel, computational applications, Modal, Modal Logic Bisimulation, fuzzy modal, Fuzzy, Bisimulation, central concept, propositional modal logic, Gödel Modal, Fuzzy Bisimulation, fuzzy modal logic
improved Chicken Swarm, fuzzy, logic system, wind speed, logic, wind speed prediction, paper proposes, Dempster-shafer based probabilistic, improved probabilistic fuzzy, secondary probability density, probabilistic fuzzy logic, probability density function, probabilistic fuzzy, Dempster-Shafer structure, Chicken Swarm Optimization, speed prediction, fuzzy logic, secondary probability, based probabilistic fuzzy, fuzzy logic system
fuzzy logic controllers, uncertainties, controllers, airplane altitude, fuzzy, logic control, logic, study The standard, inability to handle, altitude control, standard fuzzy, standard fuzzy logic, airplane altitude control, fuzzy logic control, fuzzy airplane altitude, fuzzy logic, control processes, logic controllers, logic controller outperforms, comparative study
PID, fuzzy, controller, BLDC, logic, speed control, motor based, fuzzy logic-based PID, speed, Adaptive speed, motor, logic-based PID controllers, BLDC motor controllers, accurate motor, BLDC motor, fuzzy logic, precisely control, high speed, accurate motor model, Adaptive speed control
Fuzzy logic based, computer, fuzzy, possibility theory, computer engineering, contemporary philosophical logic, science cognitive function, logic, engineering Fuzzy, important development, fuzzy concept, engineering Fuzzy logic, logic based, management engineering Fuzzy, philosophical logic, development of contemporary, fuzzy logic, engineering, contemporary philosophical, management engineering
energy conversion system, variable speed wind, wind energy conversion, variable speed, synchronous generator, wind energy, Power management, extra wind energy, speed wind turbine, fuzzy logic supervisor, store extra wind, turbine for stand-alone, variable speed synchronous, WECS, variable, speed synchronous, fuzzy logic, store extra, speed synchronous generator, speed wind
logic deals incomplete, fuzzy granular sets, fuzzy, fuzzy propositions deal, temporal sets, fuzzy temporal sets, fuzzy set, set, fuzzy set α-cut, sets, fuzzy sets fuzzy, fuzzy logic deals, incomplete information, fuzzy rough sets, fuzzy temporal, fuzzy granular, fuzzy quantifiers, fuzzy sets, sets fuzzy temporal, deals incomplete information
Honduran, cuppers Honduran, coffee, Honduran coffee, expert system, Honduran cup, system approach, logic system approach, system, coffees worldwide, train Honduran, train Honduran coffee, cuppers Honduran coffee, approach to train, fuzzy logic, expert, coffee cuppers Honduran, Honduran coffee cuppers, fuzzy logic system, cuppers
robotic finger Underactuated, fuzzy, underactuated truss-like, truss-like robotic, finger Underactuated, logic control, logic, finger Underactuated mechanical, truss-like robotic finger, fuzzy logic controller, underactuated truss-like robotic, Underactuated mechanical systems, mechanical systems, control, fuzzy logic control, underactuated, complex underactuated mechanical, fuzzy logic, Underactuated mechanical, robotic finger
Modular Implementation Scheme, Logic, Scheme, Systems, Nonsingleton, Logic Systems, proposed scheme, Implementation, Fuzzy Logic, Input, Implementation Scheme, Modular Implementation, Fuzzy Logic Systems, Input Uncertainties, Fuzzy, Uncertainties, recent years, received some attention, proposed implementation scheme, attention in recent
Fuzzy Sets, fuzzy set concept, logic system, marginal fuzzy sets, fuzzy set, set, Sets, Fuzzy Logic, marginal fuzzy, secondary variables, primary and secondary, set framework, conditional fuzzy set, fuzzy set theory, Fuzzy, conditional fuzzy, conditional, primary, fuzzy set framework, fuzzy logic system
computer software primarily, making and self-testing, purpose of self-learning, fuzzy, supporting educational, logic, educational softwares Educational, software, methods supporting educational, Educational software, fuzzy logic model, logic model, Contribution of fuzzy, educational, fuzzy logic, model, supporting educational softwares, type fuzzy logic, practice making, softwares Educational software
fuzzy logic systems, fuzzy, system inversion, logic, system inversion methods, interval, logic system inversion, represent highly, uncertain systems, logic systems, system, inversion, fuzzy sets, logic system output, fuzzy logic, highly nonlinear, inversion method, systems, sets can represent, represent highly nonlinear
God, shift fuzzy logic, Fuzzy Clustering, Spectrum, logic, shown, Fuzzy logic, Boolean, Clustering, Human, akin, fuzzy logic finds, Boolean logic, Fuzzy, digital logic, Fuzzy Clustering Algorithm, Clustering Algorithm, Spectrum of Fuzzy, conventional Boolean logic, creation of God
generalize the omitting, model theory, Theorem, Types, Theorem for Fuzzy, t-norms and uninorms, Fuzzy Logics, classical model, left-continuous t-norms, Omitting Types, Types Theorem, class of fuzzy, prominent logics, Logics, wide class, classical model theory, result of classical, Fuzzy, important result, Omitting Types Theorem
paper presents, fuzzy, time-varying hydrodynamic disturbances, logic system, logic, fuzzy logic controller, indirect adaptive, fuzzy logic system, positioning, vessels with attached, presents an indirect, dynamic positioning, dynamic, adaptive, FLC, fuzzy logic, attached thrusters, time-varying hydrodynamic, logic controller, positioning This paper
Multi-Criteria Group Decision, fuzzy logic systems, fuzzy, make decisions, Intuitionistic Fuzzy Sets, decision-making systems, Group Decision, solve complex, Decision Making based, Making, Group Decision Making, solve complex problems, Making based, Decision Making, Group, conflicting criteria, fuzzy logic, Multi-Criteria Decision Making, Intuitionistic Fuzzy evaluation, Intuitionistic Fuzzy
fuzzy, logic system, hybrid algorithm, logic, Kalman filter based, learning algorithms, interval, Hybrid, logic system Learning, hybrid learning algorithms, evolutionary algorithm Based, interesting topic, system, filter based interval, fuzzy logic, Kalman filter, system Learning, fuzzy logic system, multi-objective evolutionary algorithm, Hybrid multi-objective forecasting
student meets standards, governmental educational policies, educational policies, fuzzy logic systems, fuzzy, performance evaluation, educational institutions, performance, fuzzy logic based, meets standards set, institutional rules, institutions the success, standards set, rules and regulations, governmental educational, success is measured, meets standards, performance evaluation method, educational, fuzzy logic
process fully, fuzzy, algorithm based fully, Genetic algorithm, fully automated, expert knowledge, human expert knowledge, adaptive fuzzy logic, fuzzy logic controller, Genetic algorithm based, algorithm based, design process fully, process fully automatic, fully automatic, fuzzy logic, fuzzy rules, automated and adaptive, logic controller, based fully automated, based fully
Triangular membership function, active filter, based Shunt active, controller based, Fuzzy logic, Triangular fuzzy membership, filter Id-Iq control, Shunt active, controller based Shunt, Shunt active filter, Fuzzy logic controller, based Shunt, membership function, active filter Id-Iq, research article proposes, Id-Iq control strategy, FLC, control strategy, logic controller, logic controller based
evolutionary algorithm, real coded, fuzzy, fuzzy control, inspired evolutionary, adaptive fuzzy logic, fuzzy logic controller, quantum-inspired evolutionary algorithm, coded quantum-inspired evolutionary, quantum inspired evolutionary, real coded quantum-inspired, inspired evolutionary algorithm, control, coded quantum inspired, fuzzy logic control, real coded quantum, integrated for intelligent, fuzzy logic, quantum inspired, logic controller based
Education Fuzzy set, Set, Fuzzy logic propose, logic propose, Theory and Fuzzy, Engineering Education Fuzzy, Fuzzy Logic, Education Fuzzy, logic propose bases, Theory, Fuzzy Set Theory, Set Theory, Fuzzy Set, Fuzzy, Engineering Education, propose bases, Activities Automation, evaluation and optimization, bases for modeling, events and processes
controllers, fuzzy, handling fuzzy systems, logic, water, problem, fuzzy controllers, uncertainty, tank, paper, Fuzzy System presents, linguistic fuzzy, water tank, linguistic fuzzy systems, benchmark problem, fuzzy logic, fuzzy systems manage, systems, fuzzy systems, benchmark
fuzzy conditional, fuzzy, proposed fuzzy conditional, conditional inference, TSK fuzzy, information, consequent part, conditional inference applicable, inference, Zadeh, consequent, fuzzy reasoning Zadeh, conditional, prior information, proposed, prior, part, fuzzy conditional inference, inferences, TSK fuzzy conditional
investment return index, Logic, Fuzzy Logic Approach, Investment Projects, Evaluating the Effectiveness, effectiveness and risks, evaluating investment projects, Projects, Evaluating, Effectiveness, Fuzzy Logic, evaluating investment, projects based, Logic Approach, project payback period, Fuzzy, Approach for Evaluating, Investment, investment projects based, Approach
fuzzy logic controllers, controllers, fuzzy logic systems, fuzzy, system design, logic, non-linear system, pendulum, Rule-Base fuzzy logic, inverted pendulum, control system, control, logic systems, system, logic controllers provide, On-line, fuzzy logic, inverted, control system design, logic controllers
Information Systems, fuzzy logic inference, Drivers' route, Logic Systems, choice problem, Drivers' route choice, Traveler Information Systems, Advanced Traveler Information, inference Drivers', Traveler Information, route choice problem, Fuzzy Logic Theory, Fuzzy Logic Systems, important to Advanced, Advanced Traveler, traffic congestion problem, fuzzy logic, route choice, inference Drivers' route, logic inference Drivers'
paradigm based fuzzy, fuzzy, interval logic based, paper continues, logic, Bandler and Kohout, interval, excluded middle, fuzzy interval logic, interval logic, based fuzzy interval, checklist paradigm, based fuzzy, fuzzy interval, continues a study, interval logic system, checklist paradigm based, semantics of Bandler, Kohout, paradigm based
Based on Interval, Logic Algorithm, Drive System Based, control of precision, Servo Drive, Control of Servo, Drive System, Fuzzy Logic, fuzzy systems membership, electromechanical system specifically, paper is extension, major research, Servo Drive System, system specifically pointing, extension of major, precision electromechanical system, Fuzzy Logic Algorithm, Position Control, drive system due, System Based
Sequential Fuzzy Description, Logic, Sequential, knowledge representation formalisms, Sequential Fuzzy, logic-based knowledge representation, Knowledge Bases, expressive description logics, Fuzzy Description Logic, Fuzzy Description, Fuzzy Knowledge, standard fuzzy description, Description Logic, standard fuzzy, Fuzzy, Description, Fuzzy Knowledge Bases, extended fuzzy description, Information Description logics, Sequential Information Description
Evolution algorithm, FDE algorithm, Fuzzy Differential Evolution, Evolution, fuzzy, Differential Evolution algorithm, Differential, parameter adaptation, dynamic parameter, logic dynamic, mutation parameter, dynamic parameter adaptation, Differential Evolution, Fuzzy Differential, make dynamic, fuzzy logic dynamic, Evolution method, logic dynamic parameter, fuzzy logic, Differential Evolution method
Interval, Fuzzy K-Nearest Neighbor, K-Nearest Neighbor algorithm, Logic, paper we present, Fuzzy KNN, Fuzzy Inference System, Fuzzy KNN algorithm, K-Nearest, Fuzzy Inference, Fuzzy Logic, algorithm, variant, variant of Fuzzy, K-Nearest Neighbor, Neighbor, Neighbor algorithm, Fuzzy, KNN algorithm, Fuzzy K-Nearest
monitoring This paper, fuzzy, logic system, logic control, logic, paper, control for airlane, paper describes, air-lane, control, system, fuzzy logic control, fuzzy system, developed, decision, airlane monitoring, Fuzzy Logic system, Implemented fuzzy logic, fuzzy logic, monitoring
Logic concepts, fuzzy logic systems, systems Fuzzy, fuzzy, logic, applied with great, great success, fuzzy logic controller, world applications, Performance, Performance comparison, logic systems, system, systems Fuzzy Logic, fuzzy logic, FLS, logic systems Fuzzy, Fuzzy Logic concepts, logic controller, comparison
Logic, twofold fuzzy set, deals with incomplete, Logic with twofold, Learning through Neural, information with belief, Fuzzy neural net, Generalized Fuzzy Logic, Fuzzy Logic, Learning, fuzzy logic deals, Net and Application, undecided information, Application to Business, logic deals, Fuzzy, vagueand undecided information, twofold fuzzy, Neural Net, vagueand undecided
Decision Support, Quantitative Strategic Planning, traditional QSPM criteria, Fuzzy Inference System, classical Quantitative, Etreprise Strategies, classical Quantitative Strategic, Strategic Planning, Decision Support System, Support System, Strategic Planning Matrix, Quantitative Strategic, Planning Matrix, Fuzzy Logic, developing a Decision, article proposes, Logic Framework, Fuzzy Logic Framework, Choising of Etreprise, Assesing and Choising
system is presented, Logic, fuzzy, fuzzy Logic system, fuzzy set, set, fuzzy Logic, paper, overview, optimal, Summary, Logic system, system This paper, system, AIS, introduction, optimal computation, fuzzy sets, presented, computation
predictive control, Indirect, correct results, parameters, Indirect adaptive model, model predictive, supervised, control, Indirect adaptive, system, adaptive model predictive, model predictive control, adaptive, predictive, fuzzy logic, predictive control parameters, model, adaptive model, predictive control supervised, control supervised
aerial vehicle, Search, Logic, Target Search, visual data coming, Fuzzy Logic, Quadcopter, Fuzzy Logic Controller, Tracking, Logic Controller, Autonomous, provide visual feedback, Autonomous Quadcopter, unmanned aerial, Fuzzy, Target, Search and Tracking, tracking mission, Controller, unmanned aerial vehicle
set theory, Substructural Tripos Theory, logic, Categorical Semantics, set, Translation via Substructural, Fuzzy Logics, Fuzzy set, Higher-Order, Substructural Tripos, Fuzzy set theory, Theory, Higher-Order Fuzzy, Logics, Substructural, Baaz Translation, Fuzzy, Semantics, Linear Completeness, Higher-Order Fuzzy Logics
Fuzzy logic approach, approach to predict, topic in terms, kinetic energy, acceleration data Vehicle, dynamical modeling, crash, Fuzzy logic, logic approach, challenging topic, vehicle crash, vehicle, vehicle crash severity, fuzzy logic model, data Vehicle crash, complex behavior, predict vehicle crash, crash severity, terms of dynamical, predict vehicle
Interval, Logic, important blocks, Karnik Mendel, Enhanced Iterative Algorithm, Systems, Logic Systems, logic systems designers, Fuzzy Logic, Centroid Type-Reduction, Logic Systems Type-reduction, Algorithms, enhanced Karnik Mendel, called Karnik Mendel, Fuzzy Logic Systems, Type-Reduction, Type-Reduction Algorithms, Fuzzy, enhanced type-reduction algorithms, Centroid Type-Reduction Algorithms
non-military and military, vehicles have gained, aerial vehicles, military domains, diverse applications, spanning non-military, Controller Designed, gained prominence, Fuzzy Logic, Quadrotor Systems Unmanned, Fuzzy Logic Controller, Systems Unmanned, applications spanning non-military, Unmanned aerial vehicles, Systems Unmanned aerial, Unmanned aerial, prominence in diverse, diverse applications spanning, applications spanning, Logic Controller Designed
multiple method, define operations, typical fuzzy, fuzzy multisets, fuzzy, multisets, typical, common multiple method, methods, filling methods, operate lists, lists, common multiple, fuzzy lists, fuzzy multisets logics, typical fuzzy multisets, lists of degrees, truncating methods, multisets logics, typical fuzzy lists
parallel hybrid electric, presented for parallel, hybrid electric vehicles, torque control, logic torque, Fuzzy logic, fuzzy torque, electric vehicles, conventional logic torque, logic torque control, torque control strategy, fuzzy torque control, hybrid electric, control strategy, design method, parallel, Fuzzy logic torque, controller receives vehicle, receives vehicle information, parallel hybrid
high computational cost, Xilinx FPGA Spartan, fuzzy edge detection, Hardware Description Language, detection based, parallelism and pipelining, hardware architecture, edge detection algorithm, real-time edge detection, performing fuzzy edge, edge, edge detection based, hardware design strategies, reduced computational time, model and robustness, fuzzy edge, fuzzy edge detector, edge detection, work presents, strategies as parallelism
fuzzy logic controllers, logic control architecture, noisy sensor measurements, fuzzy, logic control, logic, flocking, interval, sensor measurements, architecture for flocking, noisy sensor, fuzzy logic control, fuzzy sets, noisy, FLC, fuzzy logic, flocking algorithm, sensor, control architecture, logic controllers
fuzzy reasoning method, compensatory fuzzy, network, based interval, compensatory fuzzy reasoning, proposed functional-link neural, fuzzy neural network, combines compensatory fuzzy, functional-link based interval, compensatory fuzzy neural, fuzzy reasoning, nonlinear system modeling, fuzzy neural, functional-link neural network, proposed functional-link, functional-link based, interval weights, functional-link neural, neural, neural network
Discrete complex fuzzy, fuzzy, propose a complex, complex fuzzy logic, fuzzy facts, logic, CFL, EPS, Discrete complex, complex, paper we propose, Post, multi-valued logic, demonstrate its utility, EPS based CFL, facts and rules, fuzzy logic, complex fuzzy, extended Post, multi-valued
speed-controlled permanent, power high, permanent, low power high, high performance servo, magnet synchronous, fuzzy logic controller, power high performance, permanent magnet, synchronous motor drive, low power, motor, Robust speed-controlled permanent, magnet synchronous motor, synchronous motor, speed-controlled permanent magnet, magnet, fuzzy logic, permanent magnet synchronous, logic controller
set theory, fuzzy logic Fuzzy, interesting tools, fuzzy, solving image, image processing problems, logic Fuzzy logic, fuzzy set, logic Fuzzy, noise removal, video noise, engineers when solving, Powerful video, Powerful video noise, fuzzy set theory, solving image processing, processing problems, fuzzy logic, image processing, video noise removal
car, fuzzy, logic system, fuzzy control, logic, interval, additional design degrees, introduce the design, Takagi-Sugeno fuzzy logic, model car, control, system, fuzzy system, model uncertainty, design, fuzzy logic, FLS, Takagi-Sugeno fuzzy, model, fuzzy logic system
mathematical morphologies, Edge Detector, detection applications, edge detection applications, fuzzy implications, fuzzy morphological gradients, performance in edge, Morphological Edge Detector, fuzzy mathematical, Morphological Edge, mathematical morphologies based, morphologies based, Fuzzy Morphological, deeply analyzed, fuzzy mathematical morphologies, edge detection, Fuzzy, Fuzzy Morphological Edge, analyzed in order, morphological gradients
network, sensor networks, Protocol, Cluster wireless sensor, Entropy Weight Method, energy-constrained wireless sensor, cluster, cluster heads, base station, clustering wireless sensor, wireless sensor networks, Unequal Clustering Protocol, Clustering Protocol, Clustering, Clustering Protocol based, Unequal Clustering, Weight Method, heads, wireless sensor, sensor
fuzzy probability, fuzzy probabilistic, higher order fuzzy, fuzzy sub-events, fuzzy, Probabilistic Model, Probability Density, Membership Probability, order fuzzy events, probabilistic, deal with higher, fuzzy probabilistic system, Membership Probability Density, J-plane Representation, Fuzzy Probabilistic Model, fuzzy logic, Probability Density Function, probabilistic system, Density Function, fuzzy logic system
fuzzy logic controllers, fuzzy pursuing, fuzzy pursuing system, fuzzy, Sphero, solve a real-time, real-time pursuit-evasion game, Sphero company, pursuit-evasion game problem, Game, pursuer droid, spherical droids, droid Sphero, pursuer droid Sphero, fuzzy logic, fuzzy strategy planner, pursuing system, spherical droids Sphero, fuzzy strategy, pursuing system structure
Tourism Sites, Logic Method, Warshall Algorithm, Tourism, variety of purposes, diverse tourism places, Case Study, Fuzzy Logic, Floyd Warshall Algorithm, tourism places, Yogyakarta, attractive tourism places, recreation or leisure, Mamdani Fuzzy, Fuzzy Logic Method, activities carried, purposes and objectives, Floyd Warshall, Mamdani Fuzzy Logic, Method and Floyd
information Fuzzy logic, incomplete information Fuzzy, fuzzy set, Fuzzy Certainty, Fuzzy logic, defined fuzzy sets, information, incomplete information, defining fuzzy, Belief, Certainty Factor, Fuzzy, Fuzzy Certainty Factor, fuzzy sets, single fuzzy membership, defining fuzzy sets, fold fuzzy set, flexibility in defining, Certainty, Factor
context aware Congested, context aware, Automatic Crash Notification, aware Congested, Notification, Notification system, Crash Notification, aware Congested Road, context aware system, Congested Road Notification, VANET context aware, VANET safety, fuzzy logic model, Congested Road, Road Notification, Automatic Crash, VANET context, Road and Automatic, Road Notification system, VANET safety services
Fuzzy Sets, Logic, sensor characteristics, based on sensor, attention due, Systems, Systems based, Logic Systems, increased research attention, research attention, Logic Systems based, Fuzzy Logic, Fuzzy Logic Systems, potential to outperform, research attention due, gained increased research, gained increased, past decade, Uncertainty modeling, increased research
information Zadeh, fuzzy, Generalized fuzzy set, REN Ping generalize, information Zadeh defined, Generalized Fuzzy Certainty, defined Generalized fuzzy, defined fuzzy sets, REN Ping, Generalized fuzzy logic, incomplete information, Zadeh defined fuzzy, Generalized fuzzy, fuzzy membership, Zadeh fuzzy logic, single fuzzy membership, fuzzy sets, fuzzy logic, paper Zadeh fuzzy, incomplete information Zadeh
Logic, Fuzzy Logic Models, verifying, verifying fuzzy, Models Fuzzy logic, Verification, Fuzzy Logic, Logic Models Fuzzy, applications, Models, logic is widely, Fuzzy, widely, Symbolic, Logic Models, verifying fuzzy logic, widely applied, verification method, applied, Models Fuzzy
systems Triangulated irregular, fuzzy logic systems, fuzzy, TIN, systems Triangulated, Triangulated irregular network, computational complexity, representing general, Triangulated, results of reducing, reducing computational, general, reducing computational complexity, fuzzy sets, logic systems Triangulated, fuzzy logic, gained some results, irregular network, Triangulated irregular, refinement constraint TIN
Knowledge representation techniques, Fuzzy predicate logic, predicate, Representation, logic, deal with incomplete, incomplete, Fuzzy Knowledge Representation, Knowledge, Fuzzy Automated Reasoning, information, deal, Artificial Intelligence, Fuzzy Knowledge, Fuzzy predicate, incomplete information, Knowledge Representation, Fuzzy, predicate logic, paper Fuzzy Knowledge
Interval, Logic, Polynomial Functions, Rational Polynomial Functions, FLSs, Karnik Mendel, Systems, Logic Systems, Insight, Single, Single input, Fuzzy Logic, Calculation Method, mappings of Interval, Fuzzy Logic Systems, Fuzzy, Sets Calculation Method, fuzzy sets, Sets Calculation, Rational Polynomial
fuzzy, logic system, logic, complexity system, fuzzy logic controller, Platform Due, Platform is high, controller with Stewart, Platform, uncertainty and imprecision, Stewart Platform Due, system, Due, Stewart, fuzzy logic, high nonlinear, fuzzy logic system, logic controller, imprecision information, Stewart Platform
traffic congestion problems, Traffic, fuzzy logic theory, detection system based, systems primarily focus, theory Intelligent, theory Intelligent Traffic, logic theory Intelligent, primarily focus, accident detection system, Accident, detection system, Intelligent Traffic, Intelligent Traffic light, light systems primarily, Traffic light systems, Fuzzy Logic system, Accident detection, focus on solving, fuzzy logic
based on probability, Logic, single membership function, Based, Fuzzy Logic Based, fuzzy set, Disbelief Membership Functions, Fuzzy Logic, Membership Functions, fuzzy logic deals, incomplete information, theories are developed, Logic Based, Belief, Fuzzy, developed based, fold fuzzy, Membership, single membership, fold fuzzy set
sets applications, Held of fuzzy, role in recent, fuzzy, times, wider sense, prominent role, logic, t-norm fuzzy, fuzzy logics, LUKASIEWICZ systems, fuzzy sets applications, t-norm, t-norm fuzzy logics, sense, Held, t-norm based systems, recent times, applications, fuzzy sets
Logic, FLSs, Systems, Logic Systems, Shadowed Sets, computational complexity, FLS consists, Systems General, Fuzzy Logic, complexity, Fuzzy Set, FLSs lack, FSs, Fuzzy Logic Systems, Fuzzy, Logic Systems General, FLS, General, Shadowed, computational
Mutually-inversistic, rough fuzzy sets, fuzzy, fuzzy logic Mutually-inversistic, logic, mutually-inversistic fuzzy, rough fuzzy logic, logic constructed, fuzzy association, logic Mutually-inversistic rough, mine fuzzy association, mine fuzzy, mutually-inversistic fuzzy logic, Mutually-inversistic rough, Mutually-inversistic rough fuzzy, fuzzy sets, fuzzy logic, rough fuzzy, fuzzy association rules, fuzzy logic constructed
Logic, human body, seasonal, ontology, seasonal variations, Fuzzy Logic, human, results, Prakriti, Logic People, People, conscious, body, Diet, Fuzzy, seasonal variations affect, Fuzzy ontology, Diet recommendation, Fuzzy Logic People, variations
Fuzzy Sets, IEEE Trans, Logic, Fuzzy Systems, Systems, Logic Systems, review, IEEE, critical, Sets, debunks, Fuzzy Logic, Fuzzy Logic Systems, Fuzzy, claims, critical review, Trans, letter, Critique
fuzzy, increase the popularity, popularity of Brushless, logic, Motors High, size increase, Motors, fuzzy logic current, fuzzy logic speed, torque density, Brushless, High efficiency, small size increase, small size, high torque density, fuzzy logic, Brushless DC Motors, Motors High efficiency, high torque, Fuzzy Logic Controllers
linguistic intuitionistic fuzzy, fuzzy first-order logic, six-element linguistic truth-valued, intuitionistic fuzzy, research aims, truth-valued linguistic, first-order logic, aims at finding, linguistic truth-valued linguistic, negative evidence, fuzzy first-order, linguistic intuitionistic, truth-valued intuitionistic fuzzy, intuitionistic fuzzy first-order, first-order logic system, uncertain problem, linguistic truth-valued, truth-valued linguistic intuitionistic, linguistic truth-valued intuitionistic, positive evidence
sliding mode control, fuzzy, Combined fuzzy logic, logic, auxiliary sliding mode, adaptive fuzzy system, logic and sliding, mode approach, approach for modelling, sliding mode, chattering problems, sliding mode approach, fuzzy system Takagi-Sugeno, design a robust, present a combined, fuzzy logic, Combined, link robot, robust controller, Combined fuzzy
Logic, control systems, intelligent control systems, intelligent control, control systems based, Fuzzy Logic, Method of Implementing, Fuzzy Logic Controller, paper describes, Logic Controller, systems based, universal fuzzy inference, Fuzzy, universal programmable logic, fuzzy sets, Implementing a Fuzzy, fuzzy controller, Controller, fuzzy inference algorithm, programmable logic controllers
buildings Internal environments, Application, internal visual, buildings, greatly benefit, Internal Environment, Environment, Internal, Geodetic Engineering, regulation, Integral Control system, regulate internal visual, automated regulation, system, regulation of Internal, application of automated, fuzzy logic, Integral Control, buildings Internal, thermal and ventilation
digital resource, fuzzy, FAIRness, logic, Utilizing fuzzy logic, FAIR Assessment Framework, Utilizing fuzzy, possibility of utilizing, Assessment Framework, findability, examine the possibility, accessibility, digital, Utilizing, fuzzy logic, Fuzzy FAIR, Fuzzy FAIR Assessment, FFAF, FAIRness level, FAIR Assessment
ranking system, Logic, Indian Institutions, Ranking, Academic Institutions, performance, KSM index, Fuzzy Logic, Institutions, Academic, fuzzy logic-based Mamdani, important task, Fuzzy, evaluation of performance, current NIRF system, NIRF, ranking framework based, ranking system based, Ranking of Academic, ranking framework
Logic, control systems, distributed control, decision making, fuzzy logic fundamentals, Fuzzy Logic, elementary signals, control systems Subject, Subject, based Fuzzy Logic, signals, systems Subject, distributed control systems, elementary, control systems elements, decision, Fuzzy, data transmission channels, decision making method, making
controller, axial AMB, bearings eliminate, fuzzy logic controller, complete support, Conical Active, AMB-rotor system, rotor by Conical, conical AMB-rotor system, Magnetic Bearings, conical AMB-rotor, system, Active, Active Magnetic Bearings, fuzzy logic, conical, Active Magnetic, logic controller, Magnetic, Conical Active Magnetic
set theory, implications Properties, Boolean-like, fuzzy, classical theory, fuzzy implications, theory, fuzzy set, Boolean-like law, law, implications Properties valid, Properties valid, Boolean, Boolean laws, main classes, standard fuzzy set, laws, fuzzy implications Properties, fuzzy set theory, Properties
Logic, fuzzy logic systems, autonomous mobile robot, Motion This paper, Robotic Motion, mobile robot motion, paper proposes, Robotic, Fuzzy Logic, mobile robot, Controllers, Logic Controllers, Autonomous, robot motion, Fuzzy, robot, Autonomous Robotic, Autonomous Robotic Motion, Motion, Fuzzy Logic Controllers
module for working, paper presents, Basics of Fuzzy, Reasoning This paper, Inference, Logic Inference Systems, Moscow Power Engineering, Fuzzy Logic, Fuzzy Case-Based, Case-Based Reasoning, Power Engineering Institute, Inference Systems, Fuzzy Case-Based Reasoning, Fuzzy, National Research University, Mathematics and Computer, Fuzzy Logic Inference, Logic Inference, Applied Mathematics, Computer Science
logic presuppositions, fuzzy logic assumptions, fuzzy, so-called polyvalent logics, fuzzy epistemology, logic, main characteristic, Possibility of building, presuppositions Fuzzy, ontology, so-called polyvalent, fuzzy logic presuppositions, logic presuppositions Fuzzy, fuzzy ontology, difference between concepts, polyvalent logics, presuppositions Fuzzy logic, fuzzy logic, building a fuzzy, epistemology
suppliers where products, fuzzy, study Supply, products are produced, Supply Chain, forecasted commodity prices, genetic fuzzy, Chain Managers, industrial case, industrial case study, genetic fuzzy commodity, produced via respective, case study Supply, Fuzzy Logic system, negotiate with suppliers, fuzzy logic, Supply Chain Managers, study Supply Chain, Genetic Fuzzy Systems, Managers in major
point tracking control, logic control, generation system, photovoltaic cell effectively, photovoltaic generation, photovoltaic generation system, logic control method, Fuzzy logic, maximum power, tracked rapidly, maximum power point, power point, rapidly and stably, conversion efficiency, improve its photoelectric, power point tracking, photoelectric conversion, Fuzzy logic control, photoelectric conversion efficiency, control of MPPT
multi-object tracking based, visual multi-object tracking, frequent occlusions, tracking algorithm based, proposed algorithm, Online visual multi-object, online multi-object tracking, multi-object tracking, multi-object tracking algorithm, cluttered backgrounds, algorithm based, online multi-object, based on fuzzy, multi-object, Online visual, occlusions and cluttered, complex scenario, scenario with frequent, fuzzy logic, visual multi-object
infinite bus, controller, fuzzy, multi machine, machine system, power system, fuzzy logic controller, multi machine system, machine infinite, power system stabilizer, machine infinite bus, SMIB, PSS, single machine infinite, system, machine system incorporated, system stabilizer, fuzzy logic, single machine, logic controller
