keyword analysis, text mining, paper text mining, mining word, text mining word, word analysis research, word frequency analysis, mining english grammar, english grammar gutenberg, english grammar books, word analysis, text mining english, results text mining, mining word frequency, mining english, mining word analysis
modelling control link, robust controller links, sliding mode control, sliding mode design, logic sliding mode, control link robot, fuzzy logic, adaptive fuzzy takagi, controller links robot, adaptive fuzzy, sliding mode approach, link robot, fuzzy logic sliding, links robot, auxiliary sliding mode, combined fuzzy logic
logic controllers plcs, implementation intelligent control, fuzzy logic controller, logic controller hardware, implementing fuzzy logic, operation fuzzy controller, implementing fuzzy, method implementing fuzzy, fuzzy controller, configuring fuzzy, logic controller, fuzzy controller controls, fuzzy inference algorithm, configuring fuzzy logic, controlling electric motor, programmable logic controllers
internal environment buildings, application fuzzy logic, fuzzy logic controllers, control internal environment, buildings internal, uses fuzzy logic, buildings internal environments, integral control internal, environment buildings internal, internal environment, fuzzy logic regulation, environment buildings, visual thermal ventilation, environments buildings, internal environments buildings, application fuzzy
assessing fairness digital, evaluate uncertainty fairness, logic assessing fairness, fairness digital, built fuzzy fair, fuzzy logic assessing, fuzzy fair assessment, technique evaluating fairness, assessing fairness, fairness level digital, evaluating fairness level, fairness evaluation studies, evaluating fairness, fairness digital resource, fuzzy fair, fairness evaluation
institutions fuzzy, fuzzy logic ranking, logic ranking, logic ranking academic, ranking based mamdani, fuzzy logic based, ranking academic institutions, indian institutions fuzzy, ranking academic, institutions fuzzy logic, ranking framework based, based fuzzy logic, ranking, based fuzzy, ranking based, ranking framework
realization soft decoding, fuzzy logic processing, soft decoding based, model fuzzy logic, soft decoding decision, theory fuzzy logic, decoding based fuzzy, based fuzzy sets, fuzzy logic math, fuzzy logic methods, signals soft decoding, based fuzzy logic, fuzzy logic fundamentals, symbol based fuzzy, method based fuzzy, application fuzzy sets
conical amb rotor, active magnetic bearings, fuzzy logic controller, modelling fuzzy, controller it2flc uncertain, logic controller conical, controller it2flc, controller conical amb, amb rotor, logic controller it2flc, modelling fuzzy logic, logic controller, controller flc satisfies, type fuzzy logic, interval type fuzzy, logic controller flc
boolean laws extended, classes fuzzy implications, fuzzy implications properties, fuzzy logic, theory generalizations boolean, fuzzy implications, generalizations boolean laws, laws extended fuzzy, theory boolean laws, law holds fuzzy, boolean like laws, holds fuzzy logic, valid standard fuzzy, fuzzy set theory, fuzzy implications ql, fuzzy logic focus
control wheeled mobile, mobile robot, fuzzy logic controllers, wheeled mobile robot, logic controllers autonomous, ts fuzzy logic, fuzzy controllers, fuzzy controllers simulation, fuzzy logic systems, proposed fuzzy controllers, avoidance fuzzy logic, obstacle avoidance fuzzy, avoidance fuzzy, mobile robot motion, autonomous mobile robot, type fuzzy logic
logic inference systems, based reasoning fuzzy, reasoning fuzzy logic, reasoning fuzzy, basics fuzzy logic, fuzzy logic, fuzzy logic inference, context fuzzy case, basics fuzzy, teaching basics fuzzy, systems fuzzy case, fuzzy case based, fuzzy logic providing, fuzzy case, inference systems fuzzy, working fuzzy logic
building fuzzy epistemology, ontology fuzzy, identified fuzzy ontology, epistemology ontology fuzzy, epistemology fuzzy, logic ontology epistemology, fuzzy epistemology fuzzy, fuzzy ontology, fuzzy ontology implies, fuzzy ontology built, ontology fuzzy logic, fuzzy epistemology ontology, turn fuzzy epistemology, fuzzy epistemology, epistemology fuzzy logic, fuzzy ontology epistemology
fuzzy commodity, commodity prices, pricing prediction, commodity price prediction, pricing prediction systems, prediction systems fuzzy, proposes commodity pricing, genetic fuzzy commodity, commodity pricing, forecasted commodity, commodity pricing prediction, commodity price, fuzzy commodity price, price prediction systems, price prediction, forecasted commodity prices
mppt photovoltaic power, photovoltaic generation, power point photovoltaic, photovoltaic generation working, environment keeping photovoltaic, simulate photovoltaic generation, model simulate photovoltaic, simulate photovoltaic, photovoltaic generation simulink, use photovoltaic cell, photovoltaic power, keeping photovoltaic, mppt photovoltaic, control mppt photovoltaic, photovoltaic generation tracked, keeping photovoltaic generation
visual multi object, multiple features objects, online visual multi, tracking algorithm, object tracking, tracking based, multi object tracking, state art tracking, tracking based fuzzy, tracking algorithms, multiple features similarity, object tracking based, online multi object, object tracking complex, object tracking algorithm, tracking algorithm based
power stabilizer interval, power stabilizer, logic controller respectively, fuzzy logic controller, stabilizer interval type, design power stabilizer, interval value fuzzy, logic controller power, fuzzy logic based, logic based interval, logic controller it2flc, logic controller, power stabilizer pss, controller power stabilizer, interval type fuzzy, stabilizer interval
intelligent traffic, traffic light flcs, conventional traffic controller, algorithm fuzzy logic, genetic algorithm traffic, traffic light controller, fuzzy logic controller, traffic light, traffic light intelligent, intelligent traffic light, fuzzy logic genetic, flc genetic algorithms, genetic algorithm metaheuristic, hybrid algorithm fuzzy, logic genetic algorithm, algorithm traffic light
fuzzy controller parameters, fuzzy logic key, predictive control gpc, generalized predictive control, tracking control based, inputs fuzzy controller, tracking error parafoil, parameters gpc controller, parafoil path tracking, fuzzy controller, fuzzy logic self, predictive control, improve parafoil path, interval type fuzzy, tracking control strategy, gpc controller designed
sensor irrigation control, control fuzzy logic, irrigation control nonlinear, sensor irrigation, moisture sensor irrigation, irrigation control, fuzzy control process, irrigation sensing, automatic irrigation, manage irrigation sensing, control automatic irrigation, fuzzy logic control, logic autonomous irrigation, autonomous irrigation, manage irrigation, autonomous irrigation efficient
based interval type, harmony search, harmony search algorithm, parameters using interval, harmony search hs, interval type, using interval type, logic fuzzy harmony, fuzzy logic dynamic, type fuzzy logic, fuzzy harmony search, fuzzy harmony, method based interval, adaptation harmony search, interval type fuzzy, parameter adaptation harmony
type fuzzy, forecasting time series, series forecasting, proposed interval type, time series forecasting, interval type, fuzzy logic, fuzzy logic based, noval interval type, forecasting time, fuzzy logic proposed, type fuzzy logic, interval type fuzzy, fuzzy logic improve, series forecasting time, series forecasting task
speed controller, controlled induction motor, based type fuzzy, speed controller based, pi speed controller, induction motor drive, flux control dtfc, controller t2flsc proposed, controller t2flsc, fuzzy logic speed, torque flux control, logic speed controller, dtfc induction motor, speed controller t2flsc, type type fuzzy, motor drive imd
logic controllers interval, fuzzy logic controllers, embedded t1 fuzzy, controllers interval type, generalized t1 fuzzy, type fuzzy logic, functions it2 fuzzy, it2 fuzzy set, fuzzy sets equivalent, differences interval type, fuzzy sets used, interval t1 flcs, interval type fuzzy, type type fuzzy, t1 fuzzy sets, controllers interval
congestion proposed technique, weighted random early, network congestion, congestion control approach, network congestion occurs, delay estimated based, heavy congestion proposed, congestion control, logic congestion important, congestion proposed, logic congestion, detection type fuzzy, random early detection, event heavy congestion, fuzzy logic congestion, possible network congestion
detect pregnant cows, cow pregnancy based, detection cow pregnancy, cows using sulfuric, urine ultrasonic sensor, cow pregnancy using, acid based fuzzy, pregnancy detection process, urine pregnant cows, cow pregnancy detection, control cow urine, pregnancy cows using, detect pregnancy cows, cow urine ultrasonic, cow urine using, urine using fuzzy
fuzzy sets, area fuzzy sets, fuzzy functional, type fuzzy sets, method extends fuzzy, simplified fuzzy inference, fuzzy inference method, proposes type fuzzy, fuzzy sets consequent, fuzzy sets antecedent, fuzzy inference, compared simplified fuzzy, fuzzy functional inference, explains type fuzzy, type fuzzy, type fuzzy functional
based microgrid combined, cities hydrogen storage, hydrogen storage systems, hydrogen storage fuel, multiple hydrogen storage, hydrogen storage operates, operate hydrogen storage, battery storage hydrogen, storage based microgrid, model hydrogen storage, hydrogen storage, storage hydrogen storage, modeling hydrogen storage, storage hydrogen, hydrogen storage based, microgrid combined fuzzy
model based fuzzy, mamdani fuzzy inference, using fuzzy control, based fuzzy control, rule based fuzzy, fuzzy inference mfis, fuzzy logic, addicts using fuzzy, implementation fuzzy logic, using fuzzy, based fuzzy, fcs fuzzy logic, fuzzy inference, implementation fuzzy, monitor alcoholic addicts, logic model rai
robot environment demonstration, robot teaching learning, robot based, bot food, fuzzy logic teaching, actions robot based, robot environment, robot developed, robot teaching, serving robot teaching, serving robot developed, fuzzy bot, fuzzy bot food, robot based inputs, food serving robot, robot
fuzzy logic paper, java based toolkit, juzzy java based, academia fuzzy logic, toolkit java, based toolkit type, fuzzy logic, fuzzy logic systems, logic systems flss, general type fuzzy, juzzy java, logic systems, type fuzzy logic, fuzzy logic research, type fuzzy, toolkit type fuzzy
standard fuzzy linguistic, probabilistic uncertainty fuzzy, description theory fuzzy, uncertainty fuzzy systems, theory fuzzy natural, probabilistic fuzzy linguistic, uncertainty standard fuzzy, fuzzy natural, systems fuzzy natural, probabilistic fuzzy, fuzzy natural logic, concept probabilistic fuzzy, fuzzy linguistic, fuzzy linguistic description, theory fuzzy, uncertainty fuzzy
industrial applications fuzzy, fuzzy logic controllers, applications fuzzy, design structure fuzzy, fuzzy logic controller, fuzzy logic, utilize fuzzy, logic controller design, fuzzy logic convert, structure fuzzy logic, flcs utilize fuzzy, applications fuzzy logic, logic controller, utilize fuzzy logic, structure fuzzy, logic controller flc
robot manipulator research, robot manipulator chosen, fuzzy logic controller, parameters robot manipulator, robot manipulator, controller nonlinear object, matlab fuzzy logic, logic controller nonlinear, controller fuzzy, controller traditional fuzzy, uncertain parameters robot, simulation model robot, nonlinear object control, model robot manipulator, model matlab fuzzy, controller fuzzy logic
fuzzy logic controllers, controllers terms interval, logic control nonlinear, network based fuzzy, logic controllers annfl, fuzzy logic controller, vibration control, method annfl controllers, annfl controllers, rotation vibration control, based fuzzy logic, fuzzy logic control, logic controller annit2fl, control manipulator, interval type fuzzy, vibration control training
robot fuzzy logic, robots multiple, cooperative robot fuzzy, intelligence multiple robot, multiple fuzzy logic, intelligence multi agent, multiple robot fira, agent robot multiple, multiple robots multiple, robot multiple robots, robots multiple identity, mimo fuzzy logic, robot multiple, multiple robots, multiple robot, multiple agent robot
neutrosophic logic new, data neutrosophic, neutrosophic representation data, neutrosophic logic, reasoning introducing neutrosophic, representation data neutrosophic, neutrosophic reasoning, data neutrosophic reasoning, reliable measurements neutrosophic, neutrosophic representation, measurements neutrosophic logic, neutrosophic, introducing neutrosophic representation, introducing neutrosophic, neutrosophic logic extended, moving neutrosophic logic
control eel fish, simulation approach eel, aquaculture using sensors, aquaculture based fuzzy, water aquaculture based, aquaculture using, eel aquaculture using, fish aquaculture desired, water quality eel, eels water salinity, fish aquaculture, quality eel aquaculture, control eel, water aquaculture, eel aquaculture, eel fish aquaculture
cluster fuzzy logic, cluster fuzzy, classification using fuzzy, fuzzy logic, fuzzy logic data, fuzzy logic based, using fuzzy logic, ranking fuzzy rules, using fuzzy rules, technique data mining, ranking fuzzy, logic data mining, data mining, data mining process, classifying clusters admitted, fuzzy rules generated
manet routing protocols, nodes manet selection, manet selection, ch manet routing, different manet routing, hoc network manet, communication nodes manet, manet self organizing, network manet self, ad hoc network, manet selection cluster, nodes manet, network manet, routing protocols cluster, analysis manet routing, manet routing
fuzzy method control, balancing robot reach, fuzzy logic controller, self balancing robot, wheeled self balancing, logic controller linear, robot balance disturbance, stable robot balance, fuzzy logic control, balancing robot, inequality stable robot, balancing robot used, ii fuzzy method, ii fuzzy logic, robot used controller, robot balance
filtering edge, filtering edge detection, edge detection based, edge detection methods, technique edge detection, sobel filtering edge, fuzzy logic, edge detection techniques, identify true edges, edge detection primitive, conventional edge detection, ignored edge detection, fuzzy logic sobel, type fuzzy logic, interval type fuzzy, edge detection
images it2fss edge, edge detector, edge detection method, it2fss edge detector, fuzzy it2fss, type fuzzy it2fss, t1fss edge detector, compared edge detection, color image edge, color edge detection, edge detection novel, image edge detection, interval type fuzzy, edge detection algorithms, fuzzy it2fss presented, edge detection
converter based interval, buck converter control, controller buck converter, buck converter based, design buck converter, control buck converter, fuzzy logic controller, converter control buck, buck converter, simulink module interval, logic controller buck, buck converter controlled, buck converter wind, buck converter dc, interval type fuzzy, use buck converter
risk factors company, risk level decision, affect company risk, fuzzy logic assess, evaluated fuzzy, logic risk estimation, company risk, company risk problems, evaluate risks systematically, company risk level, level company risk, indication company risk, fuzzy logic risk, corporation risk level, evaluate risks, risk level company
forecasting electrical, forecasting electric loads, forecasting electric, load schedule forecast, networks fuzzy logic, predicting applying fuzzy, fuzzy logic implementation, applying fuzzy logic, application fuzzy logic, logic forecasting electric, forecasting electric load, predicting electric loads, distribution networks fuzzy, forecasting electrical power, fuzzy logic forecasting, planning forecasting electrical
rule matrix fam, implemented fuzzy rule, speed control fuzzy, mini fuzzy associative, fuzzy associative, implemented fuzzy, control fuzzy fuzzy, table rule matrix, algorithms implemented fuzzy, control fuzzy, fuzzy associative matrix, fuzzy logic control, using fuzzy associative, fuzzy rule evaluation, fuzzy control study, fuzzy fuzzy processing
fuzzy risk set, application fuzzy risk, probability fuzzy, fuzzy set membership, probability fuzzy set, fuzzy risk sets, studied fuzzy risk, fuzzy membership functions, membership function fuzzy, making fuzzy certainty, information fuzzy logic, fuzzy certainty factor, fuzzy risk, fuzzy certainty, risk set fuzzy, decision making fuzzy
fuzzy sets, it2fss general interval, valued fuzzy sets, interval type, fuzzy sets ivfss, type fuzzy sets, fuzzy logic systems, fuzzy logic, logic systems gfit2flss, general type fuzzy, fuzzy sets it2fss, interval valued fuzzy, type fuzzy logic, interval type fuzzy, fuzzy sets gt2fss, type fuzzy
approaches honeybee crisis, approaches honeybee, honeybee crisis, honeybee hive, beehive monitoring, intelligent bio environments, beehive monitoring systems, logic approaches honeybee, environment horizon honeybee, honeybee hive presented, honeybee, honeybee crisis paper, fuzzy logic adaptive, invasive beehive monitoring, beehive fuzzy logic, intelligent bio environment
fuzzy sets, valued fuzzy sets, fss general interval, type fuzzy sets, fuzzy logic systems, fuzzy sets it2, fuzzy logic, fuzzy sets t1, normal type fuzzy, fuzzy sets recent, fuzzy sets iv, fuzzy sets gfit2, interval valued fuzzy, type fuzzy logic, interval type fuzzy, type fuzzy
voltage stability, fuzzy mathematical model, based adaptive fuzzy, voltage stability power, adaptive fuzzy logic, fuzzy voltage indexes, mathematical model fuzzy, stability analysis based, adaptive fuzzy, fuzzy voltage, established voltage stability, fuzzy factors power, load fluctuation voltage, fluctuation voltage stability, voltage stability analysis, model fuzzy voltage
optimum performance chicken, chicks using energy, temperature controller using, temperature humidity controller, humidity temperature controller, simulation neuro fuzzy, automatic chicken, humidity controller, chicks banda temperature, neuro fuzzy logic, domestic chicken chick, control cage humidity, automatic chicken chicks, temperature controller, using neuro fuzzy, fuzzy logic technique
unnormalized type fuzzy, tsk fuzzy logic, knowledge based unnormalized, fuzzy logic uit2fls, normalized interval type, flss normalized interval, normalized interval, interval type, fuzzy logic, fuzzy logic systems, based unnormalized interval, unnormalized interval type, type fuzzy logic, interval type fuzzy, interval type flss, type fuzzy
online adaptive fuzzy, time delay packet, fuzzy logic controllers, delay packet switching, control ethernet, fuzzy logic controller, delay parameter online, logic controller adaptive, systems networked control, controller using neural, logic controller controlled, control purpose fuzzy, logic controller, network designed controller, networked control systems, delay packet
particle swarm optimization, swarm fuzzy, swarm optimization pso, fuzzy logic controller, genetic algorithm fuzzy, fuzzy swarm, controller fuzzy, swarm optimization designing, controller combination fuzzy, designing optimal fuzzy, fuzzy swarm fuzzy, swarm fuzzy neural, combination fuzzy swarm, controller fuzzy logic, use particle swarm, fuzzy genetic algorithm
speed controller, brushless dc, control brushless dc, dc motor adaptive, controller brushless dc, adaptive fuzzy logic, logic pi control, motor adaptive fuzzy, speed control brushless, fuzzy logic pi, error brushless dc, fuzzy logic speed, controller brushless, logic speed controller, speed controller brushless, brushless dc motor
fuzzy sets, fuzzy reasoning, sets interval type, interval type, type fuzzy sets, fuzzy logic systems, fuzzy sets interval, fuzzy logic based, fuzzy logic, compared type fuzzy, interval matrix, interval matrix secondly, logic systems it2, type fuzzy logic, interval type fuzzy, extended interval matrix
detect safranin microscope, calibrate digital microscope, digital microscope camera, detection area stained, fuzzy logic controller, safranin microscope, detect safranin, color parameters microscope, digital microscope, parameters microscope camera, safranin detection, microscope camera, safranin detection digital, improve safranin detection, safranin microscope images, stained safranin biological
insulators epoxy resins, prediction lifetime epoxy, lifetime epoxy insulators, fuzzy logic membership, epoxy resins insulators, fuzzy logic algorithm, matlab fuzzy logic, using fuzzy logic, apply fuzzy logic, epoxy insulators epoxy, epoxy insulators prediction, epoxy insulators, insulators effect lifetime, using matlab fuzzy, epoxy insulators study, lifetimes epoxy resins
outputs type fuzzy, fuzzy sets, fuzzy sets type, fuzzy logic controller, type fuzzy sets, fuzzy logic systems, controller interval type, fuzzy logic, type reduced set, logic controller interval, sets type reduction, method type fuzzy, type fuzzy logic, interval type fuzzy, controller interval, type fuzzy
logic based control, vehicles agv using, automated guided vehicles, autonomous navigation mathematical, obstacle electric motor, fuzzy control agv, autonomous navigation, agvs automatic motion, automatic motion planning, fuzzy logic based, fuzzy control, fuzzy logic control, guided vehicles agv, fuzzy inference algorithm, automated guided vehicle, model fuzzy control
transformer using fuzzy, faults power transformer, transformer identify, power transformer using, situation transformer identify, transformer uses, transformer uses test, transformer, identify situation transformer, transformer using, transformer important power, core winding fuzzy, winding fuzzy logic, power transformer important, method power transformer, power transformer
type fuzzy control, fuzzy logic manuscript, fuzzy logic, fuzzy control strategy, rotor mimo control, sets control twin, control twin rotor, fuzzy control, control using interval, control twin, twin rotor, fuzzy logic sets, type fuzzy logic, interval type fuzzy, twin rotor multiinput, twin rotor mimo
concepts presented interval, fuzzy sets, generalization interval valued, sets generalization interval, sets interval type, interval type, valued fuzzy sets, type fuzzy sets, sets interval, fuzzy sets interval, interval valued, fuzzy sets particular, interval valued fuzzy, interval type fuzzy, sets interval valued, case interval type
control induction motor, using type fuzzy, classical type fuzzy, type fuzzy sets, induction motor drive, novel type fuzzy, understand type fuzzy, performance induction motor, fuzzy logic applications, fuzzy logic control, type fuzzy set, motor drive svpwm, type fuzzy logic, fuzzy sets type, sets type fuzzy, type fuzzy
fuzzy logic paper, hybrid watermarking scheme, performance watermarking technique, watermarking scheme using, watermarking scheme, improves performance watermarking, hybrid watermarking, contourlet transform fuzzy, using fuzzy logic, watermarking, using fuzzy, transform fuzzy logic, performance watermarking, develop hybrid watermarking, watermarking technique comparing, watermarking technique
goods storage uses, goods storage, process storing goods, fuzzy logic method, storage uses fuzzy, automatic goods storage, fuzzy logic, conveyors using fuzzy, uses fuzzy logic, using fuzzy logic, using fuzzy, research using fuzzy, storing goods, goods storage produce, automatic storage goods, storage goods moving
active passive filters, hybrid filter interval, hybrid filter conducted, active power filter, control hybrid filter, fuzzy logic hybrid, hybrid filter, filter improve power, fuzzy logic control, power filter ieee, power filter applied, techniques hybrid filter, power filter, hsapf hybrid shunt, hybrid shunt active, logic hybrid filter
soccer robot wheeled, soccer robots robocup, soccer robot, soccer robot controlled, ball wheeled soccer, soccer robot ersow, soccer robot various, soccer robots, kick ball wheeled, build football robot, robot wheeled soccer, wheeled soccer robot, development soccer robots, kicker wheeled soccer, football robot, possessed soccer robot
motor fuzzy membership, optimized fuzzy, genetic based fuzzy, fuzzy logic controller, dc motor speed, optimized fuzzy logic, logic controller design, algorithm dc motor, controller regulate speed, excited dc motor, motor fuzzy, based fuzzy logic, motor speed control, genetic algorithm dc, dc motor fuzzy, based genetic algorithm
predict performance students, based fuzzy reasoning, compared fuzzy logic, approach present fuzzy, fuzzy logic, performance using fuzzy, fuzzy reasoning logic, fuzzy logic good, using fuzzy logic, approach based fuzzy, using fuzzy, student performance using, fuzzy logic means, fuzzy reasoning, logic means student, fuzzy logic approach
aerial vehicle uav, type fuzzy controller, tracking control unmanned, conventional fuzzy controller, fuzzy logic controller, control unmanned aerial, fuzzy controller provides, uav proposed control, trajectory tracking uav, vehicle uav proposed, uav, fuzzy controller, control unmanned, vehicle uav, unmanned aerial vehicle, logic controller trajectory
function telecommunications network, process based fuzzy, routing, routing process modeling, devoted fuzzy controllers, fuzzy controllers, fuzzy logic details, simulation routing, fuzzy sets routing, logic details routing, fuzzy logic use, routing process based, routing process, based fuzzy logic, logic use fuzzy, simulation routing process
mobile robots robot, collision avoidance problem, path planning mobile, planning mobile robots, robots based fuzzy, planning based fuzzy, fuzzy logic algorithm, path planning based, robot path, based fuzzy logic, path planning, mobile robot path, fuzzy controller, mobile robots based, environment fuzzy control, robot path planning
classify phoneme request, techniques phonemes, techniques phonemes classification, analysis techniques phonemes, phoneme using method, techniques classify phoneme, vector classify phoneme, phonemes classification, phonemes class phoneme, phoneme classed, classify phoneme, base phonemes class, classed base phonemes, classify phoneme using, phonemes class, phonemes classification using
crop cultivation, crop cultivation knowledge, monitoring optimum crop, crop cultivation article, fuzzy logic network, crop cultivation fuzzy, optimum crop cultivation, cultivation knowledge fuzzy, cultivation fuzzy, crop cultivation based, cultivation fuzzy logic, analyzing optimum crop, cultivation based fuzzy, based fuzzy logic, fuzzy logic control, control optimum crop
query tuning, tuning queries fuzzy, queries fuzzy, syntax fuzzy logic, logic tuning queries, query tuning syntax, logic tuning, recommendations query tuning, queries fuzzy logic, fuzzy logic tuning, tuning queries query, queries query tuning, query tuning semantic, tuning queries, query tuning proposed, semantics fuzzy logic
type fuzzy control, fuzzy narx forward, inverse control cable, adaptive inverse control, model fuzzy adaptive, property fuzzy narx, adaptive inverse controller, type fuzzy adaptive, type fuzzy narx, forward model fuzzy, fuzzy adaptive, control cable driven, fuzzy narx model, fuzzy adaptive inverse, fuzzy control scheme, cable driven parallel
transformer incipient fault, logic method transformer, line diagnosis transformers, reliable assessment transformer, transformers proved diagnostic, fault diagnosis artificial, diagnosis transformers, transformers dissolved gas, fault exist transformer, assessment transformer conditions, transformer oil interpretative, diagnosis transformers dissolved, fuzzy logic gas, transformer conditions, power transformer, transformer conditions help
fraud detection, detection fraud complicated, new fraud patterns, fraud style need, fraud patterns, fraud patterns emerging, systems detect fraud, based fraud detection, techniques detect fraud, detect fraud adapt, fraud detection financial, detect fraud, fraud experts addition, logic based fraud, detect fraud financial, detection fraud
assessment fuzzy, unidimensional fuzzy pain, fuzzy pain, pain assessment representing, sexual pain assessment, general pain assessment, pain assessment particular, 3d fuzzy pain, fuzzy pain assessment, tridimensional fuzzy pain, pain assessment fuzzy, assessment tridimensional fuzzy, fuzzy pain intensity, pain assessment, pain assessment tridimensional, pain assessment able
adaptive neuro fuzzy, neuro fuzzy inference, fault detection based, bearing fault, vector machines method, fuzzy logic, fuzzy logic systems, type fuzzy logic, bearing fault detection, support vector machines, fuzzy inference systems, fuzzy fusion model, vector machines svms, fuzzy fusion, type fuzzy fusion, interval type fuzzy
performance it2fls trained, extreme learning machine, it2flss suitable modelling, fuzzy logic, fuzzy logic systems, fuzzy, prediction performance interval, prediction performance it2fls, extreme learning, it2fls trained using, series prediction simulation, type fuzzy logic, interval type fuzzy, logic systems it2flss, type fuzzy, uncertainty fou interval
using type fuzzy, fuzzy logic response, generalized type fuzzy, fuzzy logic modular, fuzzy logic, fuzzy logic previous, modular neural networks, integration modular neural, fuzzy logic task, logic modular neural, fuzzy logic improve, logic modular, type fuzzy logic, interval type fuzzy, modular neural, type fuzzy
edge detection paper, edge detection method, fuzzy logic edge, type fuzzy inference, obtained type fuzzy, generalized type fuzzy, type fuzzy edge, logic edge detection, interval type fuzzy, fuzzy edge, proposed type fuzzy, fuzzy logic gt2fis, type fuzzy logic, type fuzzy, fuzzy edge detection, edge detection
handoff decision algorithm, handoff based type, best handoff network, logic vehicular, vertical handoff algorithm, handoff network, handoff algorithm, vehicular heterogeneous networks, handoff algorithm based, handoff network simulation, handoff algorithm uses, vertical handoff based, handoff policy vehicular, logic vehicular heterogeneous, terminals handoff decision, fuzzy logic vehicular
maintenance traffic control, lives traffic control, fuzzy logic controller, traffic activity control, traffic control, traffic control intended, controller traffic control, traffic control traffic, control traffic, logic controller traffic, fuzzy systems connected, traffic control finest, control traffic management, traffic management urban, fuzzy systems, traffic management
fuzzy sets type, valued fuzzy sets, interval type, type fuzzy sets, complex fuzzy, complex fuzzy set, interval valued, complex fuzzy logic, definition interval valued, sets complex fuzzy, fuzzy sets complex, interval valued fuzzy, interval type fuzzy, valued complex fuzzy, sets type fuzzy, complex fuzzy sets
pendulum control algorithm, fuzzy logic controllers, fuzzy systems, control algorithm, genetic algorithms hgas, develop type fuzzy, hybrid genetic algorithms, optimization interval type, type fuzzy systems, fuzzy rules intelligent, fuzzy systems fss, reducing fuzzy rules, base genetic algorithms, type fuzzy logic, interval type fuzzy, logic controllers rule
model based fuzzy, control livestock sheds, livestock sheds, mamdani method fuzzy, livestock poultry sheds, fuzzy logic design, fuzzy logic controller, livestock sheds output, sheds using fuzzy, control livestock, based fuzzy, based fuzzy logic, poultry sheds, environment control livestock, livestock sheds using, fuzzy logic technique
modelling simulation fuzzy, linguistic fuzzy modelling, logic fuzzy, fuzzy logic controller, fuzzy logic, fuzzy modelling simulation, simulation fuzzy logic, valued logic fuzzy, fuzzy logic models, based fuzzy logic, digital analog conversion, logic controller digital, simulation fuzzy, logic fuzzy logic, fuzzy logic linguistic, interfacing based fuzzy
load balancing algorithms, load balance scheduling, load balancing, wireless networks fuzzy, novel load balancing, logic heterogeneous wireless, load balance, balancing algorithm, load balancing algorithm, balance scheduling algorithm, heterogeneous wireless networks, existing load balancing, load rate equalization, balance scheduling, balancing algorithm based, proposed load balancing
disease using fuzzy, selection fuzzy logic, cancer contribution fuzzy, uses fuzzy logic, mamdani fuzzy logic, fuzzy logic, using fuzzy logic, risk getting cancer, presented fuzzy logic, using fuzzy, cancer disease using, risk cancer, risks getting cancer, risk analysis cancer, fuzzy logic model, applying mamdani fuzzy
washing machine fuzzy, implementation washing machine, washing machine, enhancing washing machine, machine based fuzzy, fuzzy logic based, matlab fuzzy logic, rules washing machine, implemented washing machine, washing machine control, implement washing, washing machine based, washing machine utilization, designed implemented washing, design implement washing, machine fuzzy logic
fusion using fuzzy, level image fusion, images based fuzzy, fusion multi focus, multi focus images, image fusion, focus image fusion, focus images based, image fuzzy, image fuzzy rules, traditional image fusion, pixels image fuzzy, image fusion using, image fusion multi, image fusion methods, multi focus image
resource planning service, resource planner, operational resource planner, operational planner present, fuzzy logic, fuzzy logic based, resource planners, heuristic based search, resource planner build, based operational planner, logic based algorithms, operational resource planning, type fuzzy logic, interval type fuzzy, operational planner, resource planners match
reduction using fuzzy, reduced order model, order reduction, fuzzy logic algorithm, reduced order, order reduction challenging, reduction fuzzy logic, order reduction fuzzy, fuzzy algorithm used, approach fuzzy algorithm, order reduction using, fuzzy algorithm, order reduction taking, reduction fuzzy, obtain reduced order, model order reduction
different type fuzzy, uncertainty type fuzzy, fuzzy logic, fuzzy logic systems, existing type fuzzy, fuzzy membership functions, fuzzy membership, novel type fuzzy, fuzzy arithmetic, perform fuzzy arithmetic, fuzzy logic prediction, type fuzzy logic, interval type fuzzy, fuzzy membership function, type fuzzy, type fuzzy membership
cooking using intelligent, intelligent controller fuzzy, cooking matlab, rice cooking matlab, fuzzy logic controller, logic rice cooking, matlab fuzzy logic, rice cooking using, rice cooking, logic controller, logic toolbox fuzzytech, fuzzy logic rice, software matlab fuzzy, controller fuzzy logic, cooking matlab fuzzy, fuzzy logic toolbox
building fuzzy ontologies, ontologies fuzzy concept, ontologies fuzzy, fuzzy concept, ontologies fuzzy formal, create fuzzy concept, fuzzy formal contexts, fuzzy concept lattice, fuzzy concept lattices, fuzzy ontologies fuzzy, fuzzy closure approach, fuzzy closure operator, creating fuzzy ontologies, fuzzy ontologies, fuzzy closure, approach fuzzy closure
trust model, commerce trustworthiness, trust models, fuzzy based, certain trust model, trust models subjective, trust different commerce, fuzzy logic, fuzzy logic based, commerce trustworthiness especially, trust model depends, domain fuzzy based, trust people commerce, model commerce trustworthiness, trust model commerce, trust model considers
uncertain paint loss, estimate paint, fuzzy logic paint, paint consumption rate, developed estimate paint, cost estimation method, propose cost estimation, logic paint cost, characteristics cost estimation, accurate cost estimation, paint loss complicated, cost estimation products, estimate paint cost, paint cost, cost estimation, paint cost estimation
